Day,Temperature,Ad_male
0,22.06,0
1,21.79,
2,22.09,
3,23.09,
4,22.3,
5,20.54,
6,21.53,
7,22.2,
8,19.92,0
9,21.27,
10,22.76,
11,23.8,
12,23.07,
13,20.11,
14,19.75,
15,20.94,2
16,21.97,
17,22.62,
18,23.53,
19,25.93,
20,24.89,
21,23.25,
22,23.34,9.33333
23,21.72,
24,21.41,
25,18.63,
26,21.22,
27,21.29,
28,22.67,
29,22.69,24
30,24.68,
31,24.58,
32,24.72,
33,25.34,
34,25.37,
35,26.04,
36,24.7,19.3333
37,24.64,
38,25.8,
39,26.9,
40,24.98,
41,24.03,
42,24.44,
43,25.37,
44,27.04,31.66666
45,26.66,
46,24.14,
47,24.52,
48,25.89,
49,24.96,
50,25.05,
51,25.26,14.33333
52,25.69,
53,24.33,
54,26.81,
55,27.39,
56,25.47,
57,25.11,
58,25.95,
59,27.5,
60,28.08,
61,29.13,
62,29,
63,17,
64,17,
65,17,
66,17,
67,17,
68,17,
69,17,
70,17,
71,17,
72,17,
73,17,
74,17,
75,17,
76,17,
77,17,2
78,17,
79,17,
80,17,
81,17,
82,17,
83,17,
84,17,
85,17,
86,17,
87,17,
88,17,
89,17,
90,17,
91,17,
92,17,
93,17,
94,17,
95,17,
96,17,
97,17,
98,17,
99,17,
100,17,
101,17,
102,17,2
103,17,
104,17,
105,17,
106,17,
107,17,
108,17,
109,17,
110,17,
111,17,
112,17,
113,17,
114,17,
115,17,
116,17,
117,17,
118,17,
119,17,
120,17,
121,17,
122,17,
123,17,
124,17,
125,17,
126,17,
127,17,
