;a_EP;a_Err_EP;T_L_EP;T_L_Err_EP;T_M_EP;T_M_Err_EP;m_EP;m_Err_EP;a_PA;a_Err_PA;T_L_PA;T_L_Err_PA;T_M_PA;T_M_Err_PA;m_PA;m_Err_PA;a_Sur;a_Err_Sur;T_L_Sur;T_L_Err_Sur;T_M_Sur;T_M_Err_Sur;m_Sur;m_Err_Sur;ChiSquare
Iteration_388;0.000302602;;0.980924966;;27;;2.509464467;;1.16E-05;;3.432928018;;35;;2.857806404;;3.22E-05;;-1.124997364;;28;;2.565779369;;1346.251579
Iteration_336;0.000306944;;1.723731557;;31.34097256;;5.201928262;;2.41E-05;;4.201053166;;30;;5;;4.32E-05;;-1.416537895;;28;;3.5;;1353.673996
Iteration_59;0.000162557;;0.766842799;;35;;3.476328742;;3.75E-05;;5.615482754;;30;;2.797012049;;4.30E-05;;-0.5;;32;;3.009400966;;1355.742182
Iteration_451;0.000211583;;2.5711865;;27.30587271;;3.323525359;;7.27E-05;;5.681202053;;33.79445427;;4.970892418;;6.52E-05;;-5.975257172;;28;;3.5;;1375.910581
Iteration_459;0.000104413;;1.50080466;;27;;2.50222879;;0.000201836;;3.859156342;;30;;2.305788526;;3.01E-05;;-0.951965667;;28;;2.512690165;;1400.19679
Iteration_519;0.000145495;;1.53034332;;27;;3.446876528;;0.000164874;;6;;30;;4.999909452;;3.86E-05;;-1.413957358;;32;;3.36299082;;1408.921045
Iteration_63;0.000181533;;1.306082274;;27;;4.422529149;;7.16E-05;;3.31733964;;30;;3.089155912;;5.85E-05;;-0.5;;28;;3.5;;1419.507247
Iteration_413;0.000101602;;0.97777455;;27;;2.903139211;;0.000185478;;3.425988378;;32.70371962;;2.101460786;;3.00E-05;;-0.580625853;;28.88175388;;3.5;;1427.826148
Iteration_192;0.000239134;;1.252957046;;27;;2.500051822;;2.28E-05;;6;;35;;4.719280715;;3.00E-05;;-1.328986993;;32;;3.5;;1431.58197
Iteration_624;0.000166236;;1.30674171;;27;;4.110405937;;6.92E-05;;2.83333906;;33.4517406;;3.035778967;;4.49E-05;;-1.742883823;;28;;3.5;;1447.615978
Iteration_264;0.000446452;;4.995916906;;35;;4.54372656;;1.49E-05;;4.98749955;;35;;3.19583243;;3.84E-05;;-2.846821215;;28;;1.718405876;;1458.541832
Iteration_703;0.000145286;;1.011856146;;27;;3.007806934;;0.000100915;;6;;30;;5;;3.00E-05;;-0.857159997;;28.8846662;;2.485548311;;1494.02222
Iteration_332;0.000127681;;1.085311879;;27;;3.089134202;;9.94E-05;;3.140232554;;35;;3.553766447;;3.00E-05;;-0.751923839;;31.54796374;;3.5;;1511.068434
Iteration_677;0.000113643;;0.854199861;;27;;2.511925917;;0.000159794;;1.797479708;;30;;5;;3.02E-05;;-0.734213355;;32;;3.5;;1522.032665
Iteration_73;0.000136787;;1.051405392;;27;;2.501989934;;0.000126628;;6;;30;;4.903971036;;3.88E-05;;-1.028779196;;28;;1.577593719;;1530.865584
Iteration_252;0.000211506;;0.940692636;;30.88137638;;4.506614426;;3.38E-05;;2.797467071;;34.98627282;;3.756448503;;3.00E-05;;-0.653074539;;32;;2.113546588;;1535.559883
Iteration_302;0.000152722;;0.608172575;;27;;2.853319322;;6.11E-05;;3.436095212;;30;;3.507007149;;5.09E-05;;-1.388772051;;28;;3.5;;1567.726718
Iteration_172;0.000131868;;0.5;;27;;3.264271447;;0.000133804;;6;;35;;4.895579167;;3.04E-05;;-0.792363426;;32;;3.490756601;;1584.482861
Iteration_700;0.000108831;;1.45903747;;35;;2.5;;3.62E-05;;6;;30;;2.440422559;;3.00E-05;;-0.5;;32;;2.531516205;;1591.554573
Iteration_423;9.47E-05;;1.231342805;;31.62727267;;2.914294068;;9.92E-05;;3.546987788;;30;;2.100061401;;3.10E-05;;-0.896747307;;32;;2.591829132;;1611.854154
Iteration_643;0.000132259;;0.552877463;;27;;3.989698642;;0.000112607;;2.437891036;;30;;3.274124452;;3.00E-05;;-1.696217016;;28;;3.5;;1634.62133
Iteration_224;0.000498946;;0.754367615;;27;;2.502478966;;1.15E-05;;6;;35;;4.837436181;;3.00E-05;;-0.5;;32;;3.348936289;;1680.946379
Iteration_77;0.00029936;;1.254566502;;27;;2.871306337;;3.63E-05;;5.429473481;;30;;4.88222022;;4.22E-05;;-0.5;;28.64996665;;1.5;;1699.676403
Iteration_522;9.73E-05;;0.648952527;;27;;2.500017982;;0.00022382;;5.101725028;;33.69348039;;5;;3.00E-05;;-1.526053364;;32;;3.5;;1712.605893
Iteration_262;0.000138901;;0.5;;35;;2.900282924;;2.80E-05;;3.485861577;;32.00839308;;4.849261503;;3.00E-05;;-0.978291957;;28;;3.5;;1715.382785
Iteration_156;0.000129566;;1.564875289;;27;;3.068335799;;0.000116238;;6;;30;;3.469289092;;3.05E-05;;-1.910897517;;32;;3.5;;1729.207491
Iteration_756;0.000158611;;0.669442779;;27;;4.538827214;;0.00014616;;2.363623241;;35;;4.824005685;;3.00E-05;;-1.109272593;;28;;1.5;;1812.393642
Iteration_544;0.000286633;;1.031913458;;27;;3.978537893;;3.30E-05;;4.898459749;;30;;3.314647881;;4.87E-05;;-0.986679301;;32;;2.463932363;;1821.371072
Iteration_299;0.000164393;;1.359802987;;32.10768865;;3.259695347;;2.82E-05;;3.459490636;;35;;5;;3.22E-05;;-1.440962019;;32;;3.5;;1827.441866
Iteration_415;8.31E-05;;0.529370747;;32.29329944;;2.500840102;;9.95E-05;;6;;35;;3.103926181;;4.29E-05;;-1.855597723;;28;;3.5;;1846.035902
Iteration_278;0.000142374;;0.5;;27;;3.167841106;;0.000120659;;6;;35;;5;;3.21E-05;;-1.05913523;;32;;3.5;;1874.1207
Iteration_739;9.22E-05;;1.258445932;;30.79367196;;2.500002839;;0.000106915;;6;;34.19989148;;4.99259196;;3.00E-05;;-1.153258327;;32;;3.414709828;;1887.564837
