0;Chain_1;Chain_5;Chain_6;Chain_7;Chain_15;Chain_16;Chain_24;Chain_26;Chain_33;Chain_35;Chain_36;Chain_43;Chain_44;Chain_48;Chain_54;Chain_63;Chain_67;Chain_73;Chain_81;Chain_82;Chain_88;Chain_90;Chain_92;Chain_93;Chain_94;Chain_95;Chain_104;Chain_106;Chain_107;Chain_111;Chain_112;Chain_116;Chain_117;Chain_118;Chain_119;Chain_120;Chain_124;Chain_125;Chain_127;Chain_130;Chain_131;Chain_132;Chain_133;Chain_134;Chain_136;Chain_141;Chain_147;Chain_151;Chain_162;Chain_163;Chain_164;Chain_166;Chain_169;Chain_170;Chain_172;Chain_175;Chain_179;Chain_180;Chain_182;Chain_186;Chain_189;Chain_203;Chain_205;Chain_206;Chain_211;Chain_212;Chain_215;Chain_218;Chain_219;Chain_221;Chain_225;Chain_226;Chain_229;Chain_237;Chain_242;Chain_245;Chain_247;Chain_253;Chain_254;Chain_256;Chain_258;Chain_264;Chain_265;Chain_266;Chain_269;Chain_271;Chain_279;Chain_282;Chain_283;Chain_288;Chain_289;Chain_293;Chain_294;Chain_296;Chain_299;Chain_302;Chain_303;Chain_305;Chain_307;Chain_308;Chain_317;Chain_319;Chain_328;Chain_330;Chain_332;Chain_336;Chain_342;Chain_344;Chain_345;Chain_350;Chain_352;Chain_354;Chain_359;Chain_362;Chain_364;Chain_369;Chain_379;Chain_383
1;1.086664845;1.131333491;0.766787195;0.269230484;1.088334179;0.799197826;2.00864039;1.62121549;0.494073948;1.49510126;0.783176279;1.111161705;0.797868943;3.253878183;1.243131245;0.856757373;3.475494676;0.291486307;1.009501658;0.750159153;2.599355404;1.343793086;1.600257313;0.748362766;1.634599927;1.082154761;1.32832534;1.299811401;0.438476644;1.24132744;0.554766457;1.123550298;0.002312696;1.719500393;0.977905469;0.423753885;1.947908677;1.859811595;1.469239061;2.848301024;0.069622111;1.621845268;1.023566852;0.458856923;2.761294726;3.062390834;0.956807;0.432360402;1.024779803;1.679161098;1.211607316;1.333505394;1.543459153;2.052872357;3.434186896;1.208595572;0.561276725;0.427864316;1.377523786;1.484339206;2.146466166;1.438453056;1.126085612;0.473234727;3.484087314;1.659562032;2.624112328;2.035538158;4.407680921;2.523537788;3.08706915;1.045058094;1.253014985;2.366838224;1.812364552;2.105013807;0.799260996;1.274450949;2.425602186;4.070925258;0.852785975;0.590431755;1.182088118;0.733281098;2.447976883;4.219026331;0.681932983;0.617618933;2.565097869;1.236162882;2.779160717;3.230311785;1.423935037;2.063462171;0.784890133;1.59947017;0.933506523;0.596849427;0.356700388;1.179594358;1.372315718;0.844729249;1.306449192;1.235154289;2.372697507;0.94051353;0.736330286;0.932650687;2.711176048;1.624051298;0.761279274;0.580345655;1.007921742;3.337538898;1.223487818;0.888503688;1.054572336;2.822954283
2;1.280905851;2.782595575;1.315625491;1.159009454;1.013687932;0.64999178;1.019704656;2.68329388;0.796936579;0.698611471;1.188769067;-0.083956077;0.850377294;1.696230816;1.095297889;0.917620233;1.118615939;0.291486307;0.872995495;0.732321763;0.483159358;1.601125473;1.477765098;2.309796864;1.520138038;0.752510907;1.560852158;1.569308331;1.03017298;1.762365196;0.142155062;0.753750513;2.908410213;1.448375632;0.471636623;1.083236425;0.646364888;1.216649666;1.940783905;1.762434775;1.148513001;1.288324065;0.464538186;2.13998242;0.758553792;0.983597566;0.196850478;1.832519685;0.400441291;1.391665603;1.29442573;1.175958849;0.928155535;2.071802543;0.933172362;1.369338684;3.838407445;2.811789614;1.244637795;1.988689881;-0.546772505;4.11733775;0.907236268;1.96765557;1.396688983;1.837077767;2.122922968;0.496244047;0.704588113;1.226319136;0.872785286;0.342000339;0.320304948;2.354380913;1.17033111;2.522236597;1.009485376;1.669719707;1.931861741;1.959811748;0.70865394;0.664994705;1.042743119;1.160691758;0.998243328;1.480538624;0.838009856;0.617618933;2.368036696;1.210924167;0.577523629;2.608808337;0.710267848;0.548050592;1.498983883;1.070158663;0.918276402;0.596849427;0.905011742;2.455796545;0.623393654;1.448040477;0.226338127;1.454841632;1.349938522;2.668072129;0.963568773;1.160715092;0.427750029;0.437734815;1.549523301;0.812468991;1.158566212;2.907992702;2.080815908;0.77968533;1.235964129;1.208365262
3;1.086664845;1.131333491;0.766787195;0.269230484;1.088334179;0.799197826;2.00864039;1.62121549;0.494073948;1.49510126;0.783176279;1.111161705;0.797868943;3.253878183;1.243131245;0.856757373;3.475494676;0.291486307;1.009501658;0.750159153;2.599355404;1.343793086;1.600257313;0.748362766;1.634599927;1.082154761;1.32832534;1.299811401;0.438476644;1.24132744;0.554766457;1.123550298;0.281497035;1.719500393;0.977905469;0.423753885;1.947908677;1.859811595;1.469239061;2.848301024;0.069622111;1.621845268;1.023566852;0.458856923;2.761294726;3.062390834;0.956807;0.432360402;1.024779803;1.679161098;1.211607316;1.333505394;1.543459153;2.052872357;3.434186896;1.208595572;0.561276725;0.427864316;1.377523786;1.484339206;2.146466166;1.438453056;1.126085612;0.473234727;3.484087314;1.659562032;2.624112328;2.035538158;4.407680921;2.523537788;3.08706915;1.045058094;1.253014985;2.366838224;1.812364552;2.105013807;0.799260996;1.274450949;2.425602186;4.070925258;0.852785975;0.590431755;1.182088118;0.733281098;2.447976883;4.219026331;0.681932983;0.617618933;2.565097869;1.236162882;2.779160717;3.230311785;1.423935037;2.063462171;0.784890133;1.59947017;0.933506523;0.596849427;0.356700388;1.179594358;1.372315718;0.844729249;1.306449192;1.235154289;2.372697507;0.94051353;0.736330286;0.932650687;2.711176048;1.624051298;0.761279274;0.580345655;1.007921742;3.337538898;1.223487818;0.888503688;1.054572336;2.822954283
4;1.280905851;2.782595575;1.315625491;1.159009454;1.013687932;0.64999178;1.019704656;2.68329388;0.796936579;0.698611471;1.188769067;-0.083956077;0.850377294;1.696230816;1.095297889;0.917620233;1.118615939;0.291486307;0.872995495;0.732321763;0.483159358;0.359448979;1.477765098;2.309796864;1.520138038;0.752510907;1.560852158;1.569308331;1.03017298;1.762365196;0.142155062;0.753750513;2.908410213;1.448375632;0.471636623;1.083236425;0.646364888;1.216649666;1.940783905;1.533564562;1.148513001;1.288324065;0.464538186;2.13998242;0.758553792;0.983597566;0.196850478;1.832519685;0.400441291;1.391665603;1.29442573;1.175958849;0.928155535;2.071802543;0.933172362;1.369338684;3.838407445;2.811789614;1.244637795;1.988689881;-0.546772505;4.11733775;0.907236268;1.96765557;1.396688983;1.837077767;2.122922968;0.496244047;0.704588113;1.226319136;0.872785286;0.342000339;0.320304948;2.354380913;1.17033111;2.522236597;1.009485376;1.669719707;1.931861741;1.959811748;0.70865394;0.664994705;1.042743119;1.160691758;0.998243328;1.480538624;0.838009856;0.617618933;2.368036696;1.210924167;0.577523629;2.608808337;0.710267848;0.548050592;1.498983883;1.070158663;0.918276402;0.596849427;0.905011742;2.455796545;0.623393654;1.448040477;0.226338127;1.454841632;1.349938522;2.668072129;0.963568773;1.160715092;0.427750029;0.437734815;1.549523301;0.812468991;1.158566212;2.907992702;2.080815908;0.77968533;1.235964129;1.208365262
5;1.086664845;1.131333491;0.766787195;0.269230484;1.088334179;0.799197826;2.00864039;1.62121549;0.494073948;1.49510126;0.783176279;1.111161705;0.797868943;3.253878183;1.243131245;0.856757373;3.475494676;0.291486307;1.009501658;0.750159153;2.599355404;1.343793086;1.600257313;0.748362766;1.634599927;1.082154761;1.32832534;1.299811401;0.438476644;1.24132744;0.554766457;1.123550298;0.281497035;1.719500393;0.977905469;0.423753885;1.947908677;1.859811595;1.469239061;2.848301024;0.069622111;1.621845268;1.023566852;0.458856923;2.761294726;3.062390834;0.956807;0.432360402;1.024779803;1.679161098;1.211607316;1.333505394;1.543459153;2.052872357;3.434186896;1.208595572;0.561276725;0.427864316;1.377523786;1.484339206;2.146466166;1.438453056;1.126085612;0.473234727;3.484087314;1.659562032;2.624112328;2.035538158;4.407680921;2.523537788;3.08706915;1.045058094;1.253014985;2.366838224;1.812364552;2.105013807;0.799260996;1.274450949;2.425602186;4.070925258;0.852785975;0.590431755;1.182088118;0.733281098;2.447976883;4.219026331;0.681932983;0.617618933;2.565097869;1.236162882;2.779160717;3.230311785;1.423935037;2.063462171;0.784890133;1.59947017;0.933506523;0.596849427;0.356700388;1.179594358;1.372315718;0.844729249;1.306449192;1.235154289;2.372697507;0.94051353;0.736330286;0.932650687;2.711176048;1.624051298;0.761279274;0.580345655;1.007921742;3.337538898;1.223487818;0.888503688;1.054572336;2.822954283
6;1.280905851;2.782595575;1.315625491;1.159009454;1.013687932;0.64999178;1.019704656;2.68329388;0.796936579;0.698611471;1.188769067;-0.083956077;0.850377294;1.696230816;1.095297889;0.917620233;1.118615939;0.291486307;0.872995495;0.732321763;0.483159358;0.359448979;1.477765098;2.309796864;1.520138038;0.752510907;1.560852158;1.569308331;1.03017298;1.762365196;0.142155062;0.753750513;2.908410213;1.448375632;0.471636623;1.083236425;0.646364888;1.216649666;1.940783905;1.533564562;1.148513001;1.288324065;0.464538186;2.13998242;0.758553792;0.983597566;0.196850478;1.832519685;0.400441291;1.391665603;1.29442573;1.175958849;0.928155535;2.071802543;0.933172362;1.369338684;3.838407445;2.811789614;1.244637795;1.988689881;-0.546772505;4.11733775;0.907236268;1.96765557;1.396688983;1.837077767;2.122922968;0.496244047;0.704588113;1.226319136;0.872785286;0.342000339;0.320304948;2.354380913;1.17033111;2.522236597;1.009485376;1.669719707;1.931861741;1.959811748;0.70865394;0.664994705;1.042743119;1.160691758;0.998243328;1.480538624;0.838009856;0.617618933;2.368036696;1.210924167;0.577523629;2.608808337;0.710267848;0.548050592;1.498983883;1.070158663;0.918276402;0.596849427;0.905011742;2.455796545;0.623393654;1.448040477;0.226338127;1.454841632;1.349938522;2.668072129;0.963568773;1.160715092;0.427750029;0.437734815;1.549523301;0.812468991;1.158566212;2.907992702;2.080815908;0.77968533;1.235964129;1.234249285
7;1.086664845;1.131333491;0.766787195;0.269230484;1.088334179;0.799197826;2.00864039;1.62121549;0.494073948;1.49510126;0.783176279;1.111161705;0.797868943;3.253878183;1.243131245;0.856757373;3.475494676;0.291486307;1.009501658;0.750159153;2.599355404;1.343793086;1.600257313;0.748362766;1.634599927;1.082154761;1.32832534;1.299811401;0.438476644;1.24132744;0.554766457;1.123550298;0.281497035;1.719500393;0.977905469;0.423753885;1.947908677;1.859811595;1.469239061;2.848301024;0.069622111;1.621845268;1.023566852;0.458856923;2.761294726;3.062390834;0.956807;0.432360402;1.024779803;1.679161098;1.211607316;1.333505394;1.470274897;2.052872357;3.434186896;1.208595572;0.561276725;0.427864316;1.377523786;4.131431547;2.146466166;1.438453056;1.126085612;0.473234727;3.484087314;1.659562032;2.624112328;2.035538158;4.407680921;2.523537788;3.08706915;1.045058094;1.253014985;2.366838224;1.812364552;2.105013807;0.799260996;1.274450949;2.425602186;4.070925258;0.852785975;0.590431755;1.182088118;0.733281098;2.447976883;4.219026331;0.681932983;0.617618933;2.565097869;1.236162882;2.779160717;3.230311785;1.423935037;2.063462171;1.075085038;1.59947017;0.933506523;0.596849427;0.356700388;1.179594358;1.372315718;0.844729249;1.306449192;1.235154289;2.372697507;0.94051353;0.736330286;0.932650687;2.711176048;1.624051298;0.761279274;0.580345655;1.007921742;3.337538898;1.223487818;0.888503688;1.054572336;2.822954283
8;1.280905851;2.782595575;1.315625491;1.159009454;1.013687932;0.64999178;1.019704656;2.68329388;0.796936579;0.698611471;1.188769067;-0.083956077;0.850377294;1.696230816;1.095297889;0.917620233;1.118615939;0.291486307;0.872995495;0.732321763;0.483159358;0.359448979;1.477765098;2.309796864;1.520138038;0.752510907;1.560852158;1.569308331;1.03017298;1.762365196;0.142155062;0.753750513;2.908410213;1.448375632;0.471636623;1.083236425;0.646364888;1.216649666;1.940783905;1.533564562;1.148513001;1.288324065;0.464538186;2.13998242;0.758553792;0.983597566;0.196850478;1.832519685;0.400441291;1.391665603;1.29442573;1.175958849;0.928155535;2.071802543;0.933172362;1.369338684;3.838407445;2.811789614;1.244637795;1.988689881;-0.546772505;4.11733775;0.907236268;1.96765557;1.396688983;1.837077767;2.122922968;0.496244047;0.704588113;1.226319136;0.872785286;1.335920382;0.320304948;2.354380913;1.17033111;2.522236597;1.009485376;1.669719707;1.931861741;1.959811748;0.70865394;0.664994705;1.042743119;1.160691758;0.998243328;1.480538624;0.838009856;0.617618933;2.368036696;1.210924167;0.577523629;2.608808337;0.710267848;0.548050592;1.498983883;1.070158663;0.918276402;0.596849427;0.905011742;2.455796545;0.623393654;1.448040477;0.226338127;1.454841632;1.349938522;2.668072129;0.963568773;1.160715092;0.427750029;0.437734815;1.549523301;0.812468991;1.158566212;2.907992702;2.080815908;0.77968533;1.235964129;1.234249285
9;1.086664845;1.131333491;0.766787195;0.269230484;1.088334179;0.799197826;2.00864039;1.62121549;0.494073948;1.49510126;0.783176279;1.111161705;0.797868943;3.253878183;1.243131245;0.856757373;3.475494676;0.291486307;1.009501658;0.750159153;2.599355404;1.343793086;1.600257313;0.748362766;1.634599927;1.082154761;1.32832534;1.299811401;0.438476644;1.24132744;0.554766457;1.123550298;0.281497035;1.719500393;0.977905469;0.423753885;1.947908677;1.859811595;1.469239061;2.848301024;0.069622111;1.621845268;1.023566852;0.458856923;2.761294726;3.062390834;0.956807;0.432360402;1.024779803;1.679161098;1.211607316;1.333505394;1.470274897;2.052872357;3.434186896;1.208595572;0.561276725;0.427864316;1.377523786;4.131431547;2.146466166;1.438453056;1.126085612;0.473234727;3.484087314;1.659562032;2.624112328;2.035538158;4.407680921;2.523537788;3.08706915;1.045058094;1.253014985;2.366838224;1.812364552;2.105013807;0.799260996;1.274450949;2.425602186;4.070925258;0.852785975;0.590431755;1.182088118;0.733281098;2.447976883;4.219026331;0.681932983;0.617618933;2.565097869;1.236162882;2.779160717;3.230311785;1.423935037;2.063462171;1.075085038;1.59947017;0.933506523;0.596849427;0.356700388;1.179594358;1.372315718;0.844729249;1.306449192;1.235154289;2.372697507;0.94051353;0.736330286;0.932650687;2.711176048;1.624051298;0.761279274;1.548454564;1.007921742;3.337538898;1.195489773;0.888503688;1.054572336;2.822954283
10;1.280905851;2.782595575;0.87264517;1.159009454;1.013687932;0.64999178;1.997688466;2.68329388;0.796936579;0.698611471;1.188769067;-0.083956077;0.850377294;1.696230816;1.095297889;0.917620233;1.118615939;0.291486307;0.872995495;0.732321763;0.483159358;0.359448979;1.477765098;2.309796864;1.520138038;0.752510907;1.560852158;1.569308331;1.03017298;1.762365196;0.142155062;0.753750513;2.908410213;1.448375632;0.471636623;1.083236425;0.646364888;1.216649666;1.940783905;1.533564562;1.148513001;1.288324065;0.464538186;2.13998242;0.758553792;0.983597566;0.196850478;1.832519685;0.400441291;1.391665603;1.29442573;1.175958849;0.928155535;2.071802543;0.933172362;1.369338684;3.838407445;2.811789614;1.244637795;1.988689881;-0.546772505;4.11733775;0.907236268;1.96765557;1.396688983;1.837077767;2.122922968;0.496244047;0.704588113;1.226319136;0.872785286;1.335920382;0.320304948;2.354380913;1.17033111;2.522236597;1.009485376;1.669719707;1.931861741;1.959811748;0.70865394;0.664994705;1.042743119;1.160691758;0.998243328;1.480538624;0.838009856;0.617618933;2.368036696;1.210924167;0.577523629;2.608808337;0.710267848;0.548050592;1.498983883;1.070158663;0.918276402;0.596849427;0.905011742;2.455796545;0.623393654;1.448040477;0.226338127;1.454841632;1.349938522;2.668072129;0.963568773;1.160715092;0.427750029;0.437734815;1.549523301;0.812468991;1.158566212;2.907992702;2.080815908;0.77968533;1.235964129;1.234249285
