0;Chain_1;Chain_5;Chain_6;Chain_7;Chain_15;Chain_16;Chain_24;Chain_26;Chain_33;Chain_35;Chain_36;Chain_43;Chain_44;Chain_48;Chain_54;Chain_63;Chain_67;Chain_73;Chain_81;Chain_82;Chain_88;Chain_90;Chain_92;Chain_93;Chain_94;Chain_95;Chain_104;Chain_106;Chain_107;Chain_111;Chain_112;Chain_116;Chain_117;Chain_118;Chain_119;Chain_120;Chain_124;Chain_125;Chain_127;Chain_130;Chain_131;Chain_132;Chain_133;Chain_134;Chain_136;Chain_141;Chain_147;Chain_151;Chain_162;Chain_163;Chain_164;Chain_166;Chain_169;Chain_170;Chain_172;Chain_175;Chain_179;Chain_180;Chain_182;Chain_186;Chain_189;Chain_203;Chain_205;Chain_206;Chain_211;Chain_212;Chain_215;Chain_218;Chain_219;Chain_221;Chain_225;Chain_226;Chain_229;Chain_237;Chain_242;Chain_245;Chain_247;Chain_253;Chain_254;Chain_256;Chain_258;Chain_264;Chain_265;Chain_266;Chain_269;Chain_271;Chain_279;Chain_282;Chain_283;Chain_288;Chain_289;Chain_293;Chain_294;Chain_296;Chain_299;Chain_302;Chain_303;Chain_305;Chain_307;Chain_308;Chain_317;Chain_319;Chain_328;Chain_330;Chain_332;Chain_336;Chain_342;Chain_344;Chain_345;Chain_350;Chain_352;Chain_354;Chain_359;Chain_362;Chain_364;Chain_369;Chain_379;Chain_383
1;6.146313612;4.891490911;5.465223363;1.413331482;2.076607508;2.820958465;3.252673545;3.03556476;3.616576682;1.654693365;6.353263585;2.332756807;5.705704304;5.284256141;3.674993917;3.709141832;6.723481608;6.381304754;7.310441243;6.423807045;2.871750085;3.833861652;8.437167343;2.427477525;7.184289034;2.522478723;3.763682953;5.206528636;4.844438725;2.692186292;3.754283161;0.670416369;3.999675606;5.572260365;0.174267925;6.352815869;4.284537275;4.422993992;5.664515883;2.724293385;4.906231029;4.839541404;1.336078951;5.236052404;3.814417337;6.685132011;3.233764996;3.638109995;5.840993581;4.210764291;4.837794205;3.880751833;6.662906007;3.433954919;4.881455213;4.267085289;5.295500255;3.336633503;3.848670238;2.276458365;5.763982275;3.26860612;1.231282509;5.802480683;5.640005837;3.998941428;1.970509875;5.231003882;1.587770352;4.236832394;3.026939832;5.182401365;5.572721455;7.001076302;5.423118154;4.996740558;3.865648354;4.575959515;10.20274605;2.223171629;5.527296378;3.635348076;7.562432777;6.12732057;5.540037486;8.438766644;6.80293;6.717812332;2.853089279;3.046557455;2.531898033;2.491985511;7.254598628;4.390739953;3.417537818;2.785253431;6.101655755;3.036720024;6.396580128;4.584816711;3.531774824;6.424604763;5.397716108;6.282744449;6.885767035;7.327887678;3.770381504;1.542608465;2.002661281;5.607138856;5.686494683;5.181617991;6.968586097;3.781767349;5.360712527;6.440829349;7.957414089;5.445289586
2;3.091502249;2.205856648;3.542795797;2.540588176;5.335275297;6.896780418;3.177488159;6.651110146;3.723220973;3.730891098;7.320436721;3.708038358;4.022774212;3.343937684;3.194493518;11.15301875;5.573282418;6.381304754;3.866552622;5.395132541;6.183079933;3.593847624;4.683224207;2.637351114;3.334357165;7.834150189;1.964419474;3.544151906;4.188417779;4.399939876;0.203302294;0.374266666;2.701079992;7.707122054;1.5393044;6.496246382;3.153940972;4.392740831;4.839177477;6.141690781;1.82127115;2.387270612;5.69667373;3.74103378;7.260021211;1.880779877;6.482192943;2.539746082;4.32324934;4.393396195;0.378770966;1.152152851;6.542441423;6.460084014;3.69555496;4.549709254;7.398459776;6.98594686;1.670684837;5.900759031;4.831368269;7.539446523;5.394576685;4.919844224;4.006370514;3.50698668;3.323585777;5.348939188;2.944783564;4.179830884;7.387724388;4.715786311;1.740605228;2.091209738;4.724953387;7.119736026;5.728778983;4.219335505;2.142634238;4.372512537;4.871901318;7.361191508;2.469790554;2.924757023;5.479493869;2.890531658;5.344534176;6.717812332;5.792292543;3.531232661;2.953358936;5.152179879;5.060544973;3.544544092;2.164167397;6.061674514;9.164230218;3.036720024;7.531610497;2.181058433;5.982715735;9.320033733;6.444040542;3.180886545;2.279631079;5.728039357;3.877849736;3.77530722;5.038728561;9.720399876;6.751286865;5.455977019;4.685428691;10.53549098;4.414811236;6.279344408;4.700973822;0.854895766
3;6.146313612;4.891490911;5.465223363;1.413331482;2.076607508;2.820958465;3.252673545;3.03556476;3.616576682;1.654693365;6.353263585;2.332756807;5.705704304;5.284256141;3.674993917;3.709141832;6.723481608;6.381304754;7.310441243;6.423807045;2.871750085;3.833861652;8.437167343;2.427477525;7.184289034;2.522478723;3.763682953;5.206528636;4.844438725;2.692186292;3.754283161;0.670416369;4.480163769;5.572260365;0.174267925;6.352815869;4.284537275;4.422993992;5.664515883;2.724293385;4.906231029;4.839541404;1.336078951;5.236052404;3.814417337;6.685132011;3.233764996;3.638109995;5.840993581;4.210764291;4.837794205;3.880751833;6.662906007;3.433954919;4.881455213;4.267085289;5.295500255;3.336633503;3.848670238;2.276458365;5.763982275;3.26860612;1.231282509;5.802480683;5.640005837;3.998941428;1.970509875;5.231003882;1.587770352;4.236832394;3.026939832;5.182401365;5.572721455;7.001076302;5.423118154;4.996740558;3.865648354;4.575959515;10.20274605;2.223171629;5.527296378;3.635348076;7.562432777;6.12732057;5.540037486;8.438766644;6.80293;6.717812332;2.853089279;3.046557455;2.531898033;2.491985511;7.254598628;4.390739953;3.417537818;2.785253431;6.101655755;3.036720024;6.396580128;4.584816711;3.531774824;6.424604763;5.397716108;6.282744449;6.885767035;7.327887678;3.770381504;1.542608465;2.002661281;5.607138856;5.686494683;5.181617991;6.968586097;3.781767349;5.360712527;6.440829349;7.957414089;5.445289586
4;3.091502249;2.205856648;3.542795797;2.540588176;5.335275297;6.896780418;3.177488159;6.651110146;3.723220973;3.730891098;7.320436721;3.708038358;4.022774212;3.343937684;3.194493518;11.15301875;5.573282418;6.381304754;3.866552622;5.395132541;6.183079933;2.490694472;4.683224207;2.637351114;3.334357165;7.834150189;1.964419474;3.544151906;4.188417779;4.399939876;0.203302294;0.374266666;2.701079992;7.707122054;1.5393044;6.496246382;3.153940972;4.392740831;4.839177477;7.739033252;1.82127115;2.387270612;5.69667373;3.74103378;7.260021211;1.880779877;6.482192943;2.539746082;4.32324934;4.393396195;0.378770966;1.152152851;6.542441423;6.460084014;3.69555496;4.549709254;7.398459776;6.98594686;1.670684837;5.900759031;4.831368269;7.539446523;5.394576685;4.919844224;4.006370514;3.50698668;3.323585777;5.348939188;2.944783564;4.179830884;7.387724388;4.715786311;1.740605228;2.091209738;4.724953387;7.119736026;5.728778983;4.219335505;2.142634238;4.372512537;4.871901318;7.361191508;2.469790554;2.924757023;5.479493869;2.890531658;5.344534176;6.717812332;5.792292543;3.531232661;2.953358936;5.152179879;5.060544973;3.544544092;2.164167397;6.061674514;9.164230218;3.036720024;7.531610497;2.181058433;5.982715735;9.320033733;6.444040542;3.180886545;2.279631079;5.728039357;3.877849736;3.77530722;5.038728561;9.720399876;6.751286865;5.455977019;4.685428691;10.53549098;4.414811236;6.279344408;4.700973822;0.854895766
5;6.146313612;4.891490911;5.465223363;1.413331482;2.076607508;2.820958465;3.252673545;3.03556476;3.616576682;1.654693365;6.353263585;2.332756807;5.705704304;5.284256141;3.674993917;3.709141832;6.723481608;6.381304754;7.310441243;6.423807045;2.871750085;3.833861652;8.437167343;2.427477525;7.184289034;2.522478723;3.763682953;5.206528636;4.844438725;2.692186292;3.754283161;0.670416369;4.480163769;5.572260365;0.174267925;6.352815869;4.284537275;4.422993992;5.664515883;2.724293385;4.906231029;4.839541404;1.336078951;5.236052404;3.814417337;6.685132011;3.233764996;3.638109995;5.840993581;4.210764291;4.837794205;3.880751833;6.662906007;3.433954919;4.881455213;4.267085289;5.295500255;3.336633503;3.848670238;2.276458365;5.763982275;3.26860612;1.231282509;5.802480683;5.640005837;3.998941428;1.970509875;5.231003882;1.587770352;4.236832394;3.026939832;5.182401365;5.572721455;7.001076302;5.423118154;4.996740558;3.865648354;4.575959515;10.20274605;2.223171629;5.527296378;3.635348076;7.562432777;6.12732057;5.540037486;8.438766644;6.80293;6.717812332;2.853089279;3.046557455;2.531898033;2.491985511;7.254598628;4.390739953;3.417537818;2.785253431;6.101655755;3.036720024;6.396580128;4.584816711;3.531774824;6.424604763;5.397716108;6.282744449;6.885767035;7.327887678;3.770381504;1.542608465;2.002661281;5.607138856;5.686494683;5.181617991;6.968586097;3.781767349;5.360712527;6.440829349;7.957414089;5.445289586
6;3.091502249;2.205856648;3.542795797;2.540588176;5.335275297;6.896780418;3.177488159;6.651110146;3.723220973;3.730891098;7.320436721;3.708038358;4.022774212;3.343937684;3.194493518;11.15301875;5.573282418;6.381304754;3.866552622;5.395132541;6.183079933;2.490694472;4.683224207;2.637351114;3.334357165;7.834150189;1.964419474;3.544151906;4.188417779;4.399939876;0.203302294;0.374266666;2.701079992;7.707122054;1.5393044;6.496246382;3.153940972;4.392740831;4.839177477;7.739033252;1.82127115;2.387270612;5.69667373;3.74103378;7.260021211;1.880779877;6.482192943;2.539746082;4.32324934;4.393396195;0.378770966;1.152152851;6.542441423;6.460084014;3.69555496;4.549709254;7.398459776;6.98594686;1.670684837;5.900759031;4.831368269;7.539446523;5.394576685;4.919844224;4.006370514;3.50698668;3.323585777;5.348939188;2.944783564;4.179830884;7.387724388;4.715786311;1.740605228;2.091209738;4.724953387;7.119736026;5.728778983;4.219335505;2.142634238;4.372512537;4.871901318;7.361191508;2.469790554;2.924757023;5.479493869;2.890531658;5.344534176;6.717812332;5.792292543;3.531232661;2.953358936;5.152179879;5.060544973;3.544544092;2.164167397;6.061674514;9.164230218;3.036720024;7.531610497;2.181058433;5.982715735;9.320033733;6.444040542;3.180886545;2.279631079;5.728039357;3.877849736;3.77530722;5.038728561;9.720399876;6.751286865;5.455977019;4.685428691;10.53549098;4.414811236;6.279344408;4.700973822;5.875017636
7;6.146313612;4.891490911;5.465223363;1.413331482;2.076607508;2.820958465;3.252673545;3.03556476;3.616576682;1.654693365;6.353263585;2.332756807;5.705704304;5.284256141;3.674993917;3.709141832;6.723481608;6.381304754;7.310441243;6.423807045;2.871750085;3.833861652;8.437167343;2.427477525;7.184289034;2.522478723;3.763682953;5.206528636;4.844438725;2.692186292;3.754283161;0.670416369;4.480163769;5.572260365;0.174267925;6.352815869;4.284537275;4.422993992;5.664515883;2.724293385;4.906231029;4.839541404;1.336078951;5.236052404;3.814417337;6.685132011;3.233764996;3.638109995;5.840993581;4.210764291;4.837794205;3.880751833;4.393375785;3.433954919;4.881455213;4.267085289;5.295500255;3.336633503;3.848670238;2.246195698;5.763982275;3.26860612;1.231282509;5.802480683;5.640005837;3.998941428;1.970509875;5.231003882;1.587770352;4.236832394;3.026939832;5.182401365;5.572721455;7.001076302;5.423118154;4.996740558;3.865648354;4.575959515;10.20274605;2.223171629;5.527296378;3.635348076;7.562432777;6.12732057;5.540037486;8.438766644;6.80293;6.717812332;2.853089279;3.046557455;2.531898033;2.491985511;7.254598628;4.390739953;5.127447001;2.785253431;6.101655755;3.036720024;6.396580128;4.584816711;3.531774824;6.424604763;5.397716108;6.282744449;6.885767035;7.327887678;3.770381504;1.542608465;2.002661281;5.607138856;5.686494683;5.181617991;6.968586097;3.781767349;5.360712527;6.440829349;7.957414089;5.445289586
8;3.091502249;2.205856648;3.542795797;2.540588176;5.335275297;6.896780418;3.177488159;6.651110146;3.723220973;3.730891098;7.320436721;3.708038358;4.022774212;3.343937684;3.194493518;11.15301875;5.573282418;6.381304754;3.866552622;5.395132541;6.183079933;2.490694472;4.683224207;2.637351114;3.334357165;7.834150189;1.964419474;3.544151906;4.188417779;4.399939876;0.203302294;0.374266666;2.701079992;7.707122054;1.5393044;6.496246382;3.153940972;4.392740831;4.839177477;7.739033252;1.82127115;2.387270612;5.69667373;3.74103378;7.260021211;1.880779877;6.482192943;2.539746082;4.32324934;4.393396195;0.378770966;1.152152851;6.542441423;6.460084014;3.69555496;4.549709254;7.398459776;6.98594686;1.670684837;5.900759031;4.831368269;7.539446523;5.394576685;4.919844224;4.006370514;3.50698668;3.323585777;5.348939188;2.944783564;4.179830884;7.387724388;2.709790436;1.740605228;2.091209738;4.724953387;7.119736026;5.728778983;4.219335505;2.142634238;4.372512537;4.871901318;7.361191508;2.469790554;2.924757023;5.479493869;2.890531658;5.344534176;6.717812332;5.792292543;3.531232661;2.953358936;5.152179879;5.060544973;3.544544092;2.164167397;6.061674514;9.164230218;3.036720024;7.531610497;2.181058433;5.982715735;9.320033733;6.444040542;3.180886545;2.279631079;5.728039357;3.877849736;3.77530722;5.038728561;9.720399876;6.751286865;5.455977019;4.685428691;10.53549098;4.414811236;6.279344408;4.700973822;5.875017636
9;6.146313612;4.891490911;5.465223363;1.413331482;2.076607508;2.820958465;3.252673545;3.03556476;3.616576682;1.654693365;6.353263585;2.332756807;5.705704304;5.284256141;3.674993917;3.709141832;6.723481608;6.381304754;7.310441243;6.423807045;2.871750085;3.833861652;8.437167343;2.427477525;7.184289034;2.522478723;3.763682953;5.206528636;4.844438725;2.692186292;3.754283161;0.670416369;4.480163769;5.572260365;0.174267925;6.352815869;4.284537275;4.422993992;5.664515883;2.724293385;4.906231029;4.839541404;1.336078951;5.236052404;3.814417337;6.685132011;3.233764996;3.638109995;5.840993581;4.210764291;4.837794205;3.880751833;4.393375785;3.433954919;4.881455213;4.267085289;5.295500255;3.336633503;3.848670238;2.246195698;5.763982275;3.26860612;1.231282509;5.802480683;5.640005837;3.998941428;1.970509875;5.231003882;1.587770352;4.236832394;3.026939832;5.182401365;5.572721455;7.001076302;5.423118154;4.996740558;3.865648354;4.575959515;10.20274605;2.223171629;5.527296378;3.635348076;7.562432777;6.12732057;5.540037486;8.438766644;6.80293;6.717812332;2.853089279;3.046557455;2.531898033;2.491985511;7.254598628;4.390739953;5.127447001;2.785253431;6.101655755;3.036720024;6.396580128;4.584816711;3.531774824;6.424604763;5.397716108;6.282744449;6.885767035;7.327887678;3.770381504;1.542608465;2.002661281;5.607138856;5.686494683;6.191743729;6.968586097;3.781767349;2.910377022;6.440829349;7.957414089;5.445289586
10;3.091502249;2.205856648;3.099063025;2.540588176;5.335275297;6.896780418;3.803627219;6.651110146;3.723220973;3.730891098;7.320436721;3.708038358;4.022774212;3.343937684;3.194493518;11.15301875;5.573282418;6.381304754;3.866552622;5.395132541;6.183079933;2.490694472;4.683224207;2.637351114;3.334357165;7.834150189;1.964419474;3.544151906;4.188417779;4.399939876;0.203302294;0.374266666;2.701079992;7.707122054;1.5393044;6.496246382;3.153940972;4.392740831;4.839177477;7.739033252;1.82127115;2.387270612;5.69667373;3.74103378;7.260021211;1.880779877;6.482192943;2.539746082;4.32324934;4.393396195;0.378770966;1.152152851;6.542441423;6.460084014;3.69555496;4.549709254;7.398459776;6.98594686;1.670684837;5.900759031;4.831368269;7.539446523;5.394576685;4.919844224;4.006370514;3.50698668;3.323585777;5.348939188;2.944783564;4.179830884;7.387724388;2.709790436;1.740605228;2.091209738;4.724953387;7.119736026;5.728778983;4.219335505;2.142634238;4.372512537;4.871901318;7.361191508;2.469790554;2.924757023;5.479493869;2.890531658;5.344534176;6.717812332;5.792292543;3.531232661;2.953358936;5.152179879;5.060544973;3.544544092;2.164167397;6.061674514;9.164230218;3.036720024;7.531610497;2.181058433;5.982715735;9.320033733;6.444040542;3.180886545;2.279631079;5.728039357;3.877849736;3.77530722;5.038728561;9.720399876;6.751286865;5.455977019;4.685428691;10.53549098;4.414811236;6.279344408;4.700973822;5.875017636
