0;Chain_1;Chain_5;Chain_6;Chain_7;Chain_15;Chain_16;Chain_24;Chain_26;Chain_33;Chain_35;Chain_36;Chain_43;Chain_44;Chain_48;Chain_54;Chain_63;Chain_67;Chain_73;Chain_81;Chain_82;Chain_88;Chain_90;Chain_92;Chain_93;Chain_94;Chain_95;Chain_104;Chain_106;Chain_107;Chain_111;Chain_112;Chain_116;Chain_117;Chain_118;Chain_119;Chain_120;Chain_124;Chain_125;Chain_127;Chain_130;Chain_131;Chain_132;Chain_133;Chain_134;Chain_136;Chain_141;Chain_147;Chain_151;Chain_162;Chain_163;Chain_164;Chain_166;Chain_169;Chain_170;Chain_172;Chain_175;Chain_179;Chain_180;Chain_182;Chain_186;Chain_189;Chain_203;Chain_205;Chain_206;Chain_211;Chain_212;Chain_215;Chain_218;Chain_219;Chain_221;Chain_225;Chain_226;Chain_229;Chain_237;Chain_242;Chain_245;Chain_247;Chain_253;Chain_254;Chain_256;Chain_258;Chain_264;Chain_265;Chain_266;Chain_269;Chain_271;Chain_279;Chain_282;Chain_283;Chain_288;Chain_289;Chain_293;Chain_294;Chain_296;Chain_299;Chain_302;Chain_303;Chain_305;Chain_307;Chain_308;Chain_317;Chain_319;Chain_328;Chain_330;Chain_332;Chain_336;Chain_342;Chain_344;Chain_345;Chain_350;Chain_352;Chain_354;Chain_359;Chain_362;Chain_364;Chain_369;Chain_379;Chain_383
1;40.40757988;34.66689158;28.95588594;54.6784444;32.97415572;33.2511339;50.92341599;30.734425;43.15797294;35.40186001;45.44733771;46.48705808;36.03093648;37.07580199;34.86932013;29.74903287;47.5237449;29.07462088;22.19826866;26.08108977;45.61996322;53.71299806;47.75773255;43.38692551;44.26995187;40.15935575;44.70493211;26.87331466;69.64243418;30.33711933;43.20980694;22.96564437;26.70963632;27.36754546;52.3537902;32.13970524;34.34845072;34.28925132;28.83795698;37.90807649;25.68630335;51.6724139;24.93127352;35.31045477;27.41464371;26.57704848;28.09618732;29.97399414;29.84377281;25.18289423;40.27660741;34.96625228;43.20640628;47.62664808;40.1442601;29.46819293;38.7959483;27.5208963;57.30450017;37.81527047;36.89870886;42.80932289;34.76044363;39.15874562;38.04097432;31.74386786;29.21287568;43.59024784;29.42918083;33.07758264;64.92015717;27.89740224;58.51300474;39.56023899;27.66760368;29.09113814;37.21800109;37.23920088;36.77176053;29.67350966;36.71149944;27.81605926;39.67312139;68.67992933;30.64229573;33.484598;43.30430259;52.30449846;39.42102061;27.06311323;37.7182244;29.14215358;32.49070381;39.937718;24.89340272;39.70342757;64.22232673;43.74807339;38.71359056;40.02577539;40.81359322;32.07535728;46.68409492;40.3882976;41.36315868;42.75493903;39.87999637;40.05070289;26.27700248;32.91790962;33.66786834;27.57754042;32.02148012;33.1723539;46.06707427;28.55037639;42.43857776;24.83467705
2;42.06709415;28.64498204;23.62217549;41.06777747;29.29538477;80.254285;40.65832746;31.6279393;40.38962978;29.59930371;25.933475;36.89989576;38.56354421;34.11641115;33.93798777;45.39966906;34.01635143;29.07462088;34.89284798;63.24882831;38.03177163;30.31009153;49.77572027;33.92971167;28.87510189;30.97640366;27.54476367;30.17286171;49.06682834;37.43356723;43.75368485;32.06475393;37.08101038;29.16301898;34.81331345;43.26446767;35.78334893;43.53090459;36.70578591;46.00913823;42.02674789;41.56256683;45.14934646;24.9538712;37.73073593;42.68656027;32.88774996;47.66435782;29.83713753;29.36584367;46.18390783;43.5360875;26.0803833;46.28233186;42.3578796;35.14082219;27.90189097;31.09714209;31.38907369;28.74819147;47.12262932;30.95511657;39.26629738;51.15381351;28.23969843;39.07327438;26.0861724;37.32635705;27.0311205;27.51216438;28.92595476;44.96112785;26.32912749;44.23718398;34.93516265;25.95987815;22.95364702;28.0940579;40.26435414;35.6237869;29.10676522;32.5684631;28.61215209;26.5662116;29.66068132;31.43701008;44.43962012;52.30449846;36.05552616;27.78529806;34.06554382;24.97102566;50.98361076;59.65103417;29.83004979;40.63074154;61.26333033;43.74807339;43.31130979;34.17064503;55.55801367;28.15392469;43.67083684;35.60697171;39.68610195;50.00123321;32.56181297;35.18474739;25.67264585;28.4408499;26.48855615;29.83031889;28.77001038;36.32192771;32.51277062;54.15518361;22.32865358;37.45960144
3;40.40757988;34.66689158;28.95588594;54.6784444;32.97415572;33.2511339;50.92341599;30.734425;43.15797294;35.40186001;45.44733771;46.48705808;36.03093648;37.07580199;34.86932013;29.74903287;47.5237449;29.07462088;22.19826866;26.08108977;45.61996322;53.71299806;47.75773255;43.38692551;44.26995187;40.15935575;44.70493211;26.87331466;69.64243418;30.33711933;43.20980694;22.96564437;44.48416595;27.36754546;52.3537902;32.13970524;34.34845072;34.28925132;28.83795698;37.90807649;25.68630335;51.6724139;24.93127352;35.31045477;27.41464371;26.57704848;28.09618732;29.97399414;29.84377281;25.18289423;40.27660741;34.96625228;43.20640628;47.62664808;40.1442601;29.46819293;38.7959483;27.5208963;57.30450017;37.81527047;36.89870886;42.80932289;34.76044363;39.15874562;38.04097432;31.74386786;29.21287568;43.59024784;29.42918083;33.07758264;64.92015717;27.89740224;58.51300474;39.56023899;27.66760368;29.09113814;37.21800109;37.23920088;36.77176053;29.67350966;36.71149944;27.81605926;39.67312139;68.67992933;30.64229573;33.484598;43.30430259;52.30449846;39.42102061;27.06311323;37.7182244;29.14215358;32.49070381;39.937718;24.89340272;39.70342757;64.22232673;43.74807339;38.71359056;40.02577539;40.81359322;32.07535728;46.68409492;40.3882976;41.36315868;42.75493903;39.87999637;40.05070289;26.27700248;32.91790962;33.66786834;27.57754042;32.02148012;33.1723539;46.06707427;28.55037639;42.43857776;24.83467705
4;42.06709415;28.64498204;23.62217549;41.06777747;29.29538477;80.254285;40.65832746;31.6279393;40.38962978;29.59930371;25.933475;36.89989576;38.56354421;34.11641115;33.93798777;45.39966906;34.01635143;29.07462088;34.89284798;63.24882831;38.03177163;28.83021594;49.77572027;33.92971167;28.87510189;30.97640366;27.54476367;30.17286171;49.06682834;37.43356723;43.75368485;32.06475393;37.08101038;29.16301898;34.81331345;43.26446767;35.78334893;43.53090459;36.70578591;32.752558;42.02674789;41.56256683;45.14934646;24.9538712;37.73073593;42.68656027;32.88774996;47.66435782;29.83713753;29.36584367;46.18390783;43.5360875;26.0803833;46.28233186;42.3578796;35.14082219;27.90189097;31.09714209;31.38907369;28.74819147;47.12262932;30.95511657;39.26629738;51.15381351;28.23969843;39.07327438;26.0861724;37.32635705;27.0311205;27.51216438;28.92595476;44.96112785;26.32912749;44.23718398;34.93516265;25.95987815;22.95364702;28.0940579;40.26435414;35.6237869;29.10676522;32.5684631;28.61215209;26.5662116;29.66068132;31.43701008;44.43962012;52.30449846;36.05552616;27.78529806;34.06554382;24.97102566;50.98361076;59.65103417;29.83004979;40.63074154;61.26333033;43.74807339;43.31130979;34.17064503;55.55801367;28.15392469;43.67083684;35.60697171;39.68610195;50.00123321;32.56181297;35.18474739;25.67264585;28.4408499;26.48855615;29.83031889;28.77001038;36.32192771;32.51277062;54.15518361;22.32865358;37.45960144
5;40.40757988;34.66689158;28.95588594;54.6784444;32.97415572;33.2511339;50.92341599;30.734425;43.15797294;35.40186001;45.44733771;46.48705808;36.03093648;37.07580199;34.86932013;29.74903287;47.5237449;29.07462088;22.19826866;26.08108977;45.61996322;53.71299806;47.75773255;43.38692551;44.26995187;40.15935575;44.70493211;26.87331466;69.64243418;30.33711933;43.20980694;22.96564437;44.48416595;27.36754546;52.3537902;32.13970524;34.34845072;34.28925132;28.83795698;37.90807649;25.68630335;51.6724139;24.93127352;35.31045477;27.41464371;26.57704848;28.09618732;29.97399414;29.84377281;25.18289423;40.27660741;34.96625228;43.20640628;47.62664808;40.1442601;29.46819293;38.7959483;27.5208963;57.30450017;37.81527047;36.89870886;42.80932289;34.76044363;39.15874562;38.04097432;31.74386786;29.21287568;43.59024784;29.42918083;33.07758264;64.92015717;27.89740224;58.51300474;39.56023899;27.66760368;29.09113814;37.21800109;37.23920088;36.77176053;29.67350966;36.71149944;27.81605926;39.67312139;68.67992933;30.64229573;33.484598;43.30430259;52.30449846;39.42102061;27.06311323;37.7182244;29.14215358;32.49070381;39.937718;24.89340272;39.70342757;64.22232673;43.74807339;38.71359056;40.02577539;40.81359322;32.07535728;46.68409492;40.3882976;41.36315868;42.75493903;39.87999637;40.05070289;26.27700248;32.91790962;33.66786834;27.57754042;32.02148012;33.1723539;46.06707427;28.55037639;42.43857776;24.83467705
6;42.06709415;28.64498204;23.62217549;41.06777747;29.29538477;80.254285;40.65832746;31.6279393;40.38962978;29.59930371;25.933475;36.89989576;38.56354421;34.11641115;33.93798777;45.39966906;34.01635143;29.07462088;34.89284798;63.24882831;38.03177163;28.83021594;49.77572027;33.92971167;28.87510189;30.97640366;27.54476367;30.17286171;49.06682834;37.43356723;43.75368485;32.06475393;37.08101038;29.16301898;34.81331345;43.26446767;35.78334893;43.53090459;36.70578591;32.752558;42.02674789;41.56256683;45.14934646;24.9538712;37.73073593;42.68656027;32.88774996;47.66435782;29.83713753;29.36584367;46.18390783;43.5360875;26.0803833;46.28233186;42.3578796;35.14082219;27.90189097;31.09714209;31.38907369;28.74819147;47.12262932;30.95511657;39.26629738;51.15381351;28.23969843;39.07327438;26.0861724;37.32635705;27.0311205;27.51216438;28.92595476;44.96112785;26.32912749;44.23718398;34.93516265;25.95987815;22.95364702;28.0940579;40.26435414;35.6237869;29.10676522;32.5684631;28.61215209;26.5662116;29.66068132;31.43701008;44.43962012;52.30449846;36.05552616;27.78529806;34.06554382;24.97102566;50.98361076;59.65103417;29.83004979;40.63074154;61.26333033;43.74807339;43.31130979;34.17064503;55.55801367;28.15392469;43.67083684;35.60697171;39.68610195;50.00123321;32.56181297;35.18474739;25.67264585;28.4408499;26.48855615;29.83031889;28.77001038;36.32192771;32.51277062;54.15518361;22.32865358;32.9506446
7;40.40757988;34.66689158;28.95588594;54.6784444;32.97415572;33.2511339;50.92341599;30.734425;43.15797294;35.40186001;45.44733771;46.48705808;36.03093648;37.07580199;34.86932013;29.74903287;47.5237449;29.07462088;22.19826866;26.08108977;45.61996322;53.71299806;47.75773255;43.38692551;44.26995187;40.15935575;44.70493211;26.87331466;69.64243418;30.33711933;43.20980694;22.96564437;44.48416595;27.36754546;52.3537902;32.13970524;34.34845072;34.28925132;28.83795698;37.90807649;25.68630335;51.6724139;24.93127352;35.31045477;27.41464371;26.57704848;28.09618732;29.97399414;29.84377281;25.18289423;40.27660741;34.96625228;43.40724781;47.62664808;40.1442601;29.46819293;38.7959483;27.5208963;57.30450017;26.12924746;36.89870886;42.80932289;34.76044363;39.15874562;38.04097432;31.74386786;29.21287568;43.59024784;29.42918083;33.07758264;64.92015717;27.89740224;58.51300474;39.56023899;27.66760368;29.09113814;37.21800109;37.23920088;36.77176053;29.67350966;36.71149944;27.81605926;39.67312139;68.67992933;30.64229573;33.484598;43.30430259;52.30449846;39.42102061;27.06311323;37.7182244;29.14215358;32.49070381;39.937718;55.2431767;39.70342757;64.22232673;43.74807339;38.71359056;40.02577539;40.81359322;32.07535728;46.68409492;40.3882976;41.36315868;42.75493903;39.87999637;40.05070289;26.27700248;32.91790962;33.66786834;27.57754042;32.02148012;33.1723539;46.06707427;28.55037639;42.43857776;24.83467705
8;42.06709415;28.64498204;23.62217549;41.06777747;29.29538477;80.254285;40.65832746;31.6279393;40.38962978;29.59930371;25.933475;36.89989576;38.56354421;34.11641115;33.93798777;45.39966906;34.01635143;29.07462088;34.89284798;63.24882831;38.03177163;28.83021594;49.77572027;33.92971167;28.87510189;30.97640366;27.54476367;30.17286171;49.06682834;37.43356723;43.75368485;32.06475393;37.08101038;29.16301898;34.81331345;43.26446767;35.78334893;43.53090459;36.70578591;32.752558;42.02674789;41.56256683;45.14934646;24.9538712;37.73073593;42.68656027;32.88774996;47.66435782;29.83713753;29.36584367;46.18390783;43.5360875;26.0803833;46.28233186;42.3578796;35.14082219;27.90189097;31.09714209;31.38907369;28.74819147;47.12262932;30.95511657;39.26629738;51.15381351;28.23969843;39.07327438;26.0861724;37.32635705;27.0311205;27.51216438;28.92595476;26.14506101;26.32912749;44.23718398;34.93516265;25.95987815;22.95364702;28.0940579;40.26435414;35.6237869;29.10676522;32.5684631;28.61215209;26.5662116;29.66068132;31.43701008;44.43962012;52.30449846;36.05552616;27.78529806;34.06554382;24.97102566;50.98361076;59.65103417;29.83004979;40.63074154;61.26333033;43.74807339;43.31130979;34.17064503;55.55801367;28.15392469;43.67083684;35.60697171;39.68610195;50.00123321;32.56181297;35.18474739;25.67264585;28.4408499;26.48855615;29.83031889;28.77001038;36.32192771;32.51277062;54.15518361;22.32865358;32.9506446
9;40.40757988;34.66689158;28.95588594;54.6784444;32.97415572;33.2511339;50.92341599;30.734425;43.15797294;35.40186001;45.44733771;46.48705808;36.03093648;37.07580199;34.86932013;29.74903287;47.5237449;29.07462088;22.19826866;26.08108977;45.61996322;53.71299806;47.75773255;43.38692551;44.26995187;40.15935575;44.70493211;26.87331466;69.64243418;30.33711933;43.20980694;22.96564437;44.48416595;27.36754546;52.3537902;32.13970524;34.34845072;34.28925132;28.83795698;37.90807649;25.68630335;51.6724139;24.93127352;35.31045477;27.41464371;26.57704848;28.09618732;29.97399414;29.84377281;25.18289423;40.27660741;34.96625228;43.40724781;47.62664808;40.1442601;29.46819293;38.7959483;27.5208963;57.30450017;26.12924746;36.89870886;42.80932289;34.76044363;39.15874562;38.04097432;31.74386786;29.21287568;43.59024784;29.42918083;33.07758264;64.92015717;27.89740224;58.51300474;39.56023899;27.66760368;29.09113814;37.21800109;37.23920088;36.77176053;29.67350966;36.71149944;27.81605926;39.67312139;68.67992933;30.64229573;33.484598;43.30430259;52.30449846;39.42102061;27.06311323;37.7182244;29.14215358;32.49070381;39.937718;55.2431767;39.70342757;64.22232673;43.74807339;38.71359056;40.02577539;40.81359322;32.07535728;46.68409492;40.3882976;41.36315868;42.75493903;39.87999637;40.05070289;26.27700248;32.91790962;33.66786834;54.31647779;32.02148012;33.1723539;35.40015431;28.55037639;42.43857776;24.83467705
10;42.06709415;28.64498204;33.08323532;41.06777747;29.29538477;80.254285;32.77015163;31.6279393;40.38962978;29.59930371;25.933475;36.89989576;38.56354421;34.11641115;33.93798777;45.39966906;34.01635143;29.07462088;34.89284798;63.24882831;38.03177163;28.83021594;49.77572027;33.92971167;28.87510189;30.97640366;27.54476367;30.17286171;49.06682834;37.43356723;43.75368485;32.06475393;37.08101038;29.16301898;34.81331345;43.26446767;35.78334893;43.53090459;36.70578591;32.752558;42.02674789;41.56256683;45.14934646;24.9538712;37.73073593;42.68656027;32.88774996;47.66435782;29.83713753;29.36584367;46.18390783;43.5360875;26.0803833;46.28233186;42.3578796;35.14082219;27.90189097;31.09714209;31.38907369;28.74819147;47.12262932;30.95511657;39.26629738;51.15381351;28.23969843;39.07327438;26.0861724;37.32635705;27.0311205;27.51216438;28.92595476;26.14506101;26.32912749;44.23718398;34.93516265;25.95987815;22.95364702;28.0940579;40.26435414;35.6237869;29.10676522;32.5684631;28.61215209;26.5662116;29.66068132;31.43701008;44.43962012;52.30449846;36.05552616;27.78529806;34.06554382;24.97102566;50.98361076;59.65103417;29.83004979;40.63074154;61.26333033;43.74807339;43.31130979;34.17064503;55.55801367;28.15392469;43.67083684;35.60697171;39.68610195;50.00123321;32.56181297;35.18474739;25.67264585;28.4408499;26.48855615;29.83031889;28.77001038;36.32192771;32.51277062;54.15518361;22.32865358;32.9506446
