0;Chain_1;Chain_5;Chain_6;Chain_7;Chain_15;Chain_16;Chain_24;Chain_26;Chain_33;Chain_35;Chain_36;Chain_43;Chain_44;Chain_48;Chain_54;Chain_63;Chain_67;Chain_73;Chain_81;Chain_82;Chain_88;Chain_90;Chain_92;Chain_93;Chain_94;Chain_95;Chain_104;Chain_106;Chain_107;Chain_111;Chain_112;Chain_116;Chain_117;Chain_118;Chain_119;Chain_120;Chain_124;Chain_125;Chain_127;Chain_130;Chain_131;Chain_132;Chain_133;Chain_134;Chain_136;Chain_141;Chain_147;Chain_151;Chain_162;Chain_163;Chain_164;Chain_166;Chain_169;Chain_170;Chain_172;Chain_175;Chain_179;Chain_180;Chain_182;Chain_186;Chain_189;Chain_203;Chain_205;Chain_206;Chain_211;Chain_212;Chain_215;Chain_218;Chain_219;Chain_221;Chain_225;Chain_226;Chain_229;Chain_237;Chain_242;Chain_245;Chain_247;Chain_253;Chain_254;Chain_256;Chain_258;Chain_264;Chain_265;Chain_266;Chain_269;Chain_271;Chain_279;Chain_282;Chain_283;Chain_288;Chain_289;Chain_293;Chain_294;Chain_296;Chain_299;Chain_302;Chain_303;Chain_305;Chain_307;Chain_308;Chain_317;Chain_319;Chain_328;Chain_330;Chain_332;Chain_336;Chain_342;Chain_344;Chain_345;Chain_350;Chain_352;Chain_354;Chain_359;Chain_362;Chain_364;Chain_369;Chain_379;Chain_383
1;27.17092917;26.55083444;73.81276817;33.82763836;26.32273268;33.27372462;38.60523747;27.13635115;26.22554159;32.14639217;28.84011888;28.35848024;28.68607142;22.38943829;37.30681851;32.12990192;38.59421292;31.3775265;28.2468923;32.03907729;28.64171887;25.16087128;39.04048437;31.07021604;33.52556517;28.50526633;24.21238717;38.10323785;32.80583302;32.89678129;22.69812328;37.55048679;26.91136536;33.02550027;25.50107897;45.42681256;26.98665095;59.62612779;27.11369998;44.71713993;27.70135163;27.26917928;40.57943166;30.08390301;29.75244737;38.80199925;41.92864735;36.17507574;44.52200937;30.52167456;46.24030388;25.16666931;61.37677785;32.9332884;35.70833599;43.85267449;34.29927631;34.67858968;33.59166823;25.10751487;33.07768463;37.07612174;49.75220267;36.03787405;44.74441519;36.37331326;36.75271196;28.65485118;30.08600103;34.04374429;43.31191304;35.77135116;39.17095002;26.72329111;34.68263536;29.63623184;41.96437516;29.93663716;37.89897773;25.75394214;24.90106991;30.02729769;32.36754848;41.49457866;38.68790552;25.0899037;35.80283383;25.44047332;24.87231221;27.88091211;38.91705658;30.6702391;25.58238534;38.89280491;32.13193692;26.50199726;49.97057267;25.2631341;47.95787099;28.03667452;28.0948087;26.44627865;46.12454997;38.37216213;26.43225038;33.89649532;26.92250677;30.08195813;35.25088279;47.08706113;52.60828575;32.92021023;39.50932395;52.81205779;50.9662262;37.95526903;45.49810219;50.79404613
2;34.72865953;25.91282918;50.90425701;32.23477731;28.99199084;37.54402163;24.75859772;41.36747373;27.82653216;38.97827798;36.13405087;38.12309693;29.23031616;25.48580543;33.16594555;29.22070105;39.49092662;31.3775265;26.36159423;54.65559606;44.68735624;40.91317166;30.10662645;32.11248659;41.19812226;34.73657794;34.29427261;30.04685089;25.63579555;35.64985173;32.95001079;36.33940107;29.99195063;40.47837793;30.77084142;38.55184777;29.68079449;28.82770145;35.17192893;34.56191933;31.09726739;33.74356891;33.98611048;34.9419591;47.29178506;24.61341874;27.61897627;32.51229955;39.09765359;37.79150238;25.44747396;41.87312291;29.0801842;35.34669412;43.32199489;40.87301576;26.9825728;34.36149411;27.33893473;50.50108337;50.97860689;50.4707407;29.98126279;47.14103252;30.82319671;32.03281112;61.51760663;24.84264876;55.75104642;27.55519443;41.1079395;33.54788827;27.29490493;28.88637248;26.6600663;45.1637983;29.95771132;32.69266569;41.1845658;50.10481283;35.82009478;64.78560371;35.36989692;36.11077657;28.17087335;44.49770063;40.79594677;25.44047332;23.90402032;41.03923358;39.0200131;32.48662241;40.35709969;33.3409418;34.74086446;29.33033185;25.58419779;25.2631341;26.37746273;33.29308407;46.48562338;50.5523552;21.85863326;32.98248926;33.70985984;46.32036539;32.73651708;53.98298636;43.86555587;35.74075731;40.00062029;33.67876329;40.51955621;27.94700267;31.83728971;29.05837768;55.69938317;43.02469401
3;27.17092917;26.55083444;73.81276817;33.82763836;26.32273268;33.27372462;38.60523747;27.13635115;26.22554159;32.14639217;28.84011888;28.35848024;28.68607142;22.38943829;37.30681851;32.12990192;38.59421292;31.3775265;28.2468923;32.03907729;28.64171887;25.16087128;39.04048437;31.07021604;33.52556517;28.50526633;24.21238717;38.10323785;32.80583302;32.89678129;22.69812328;37.55048679;27.60335053;33.02550027;25.50107897;45.42681256;26.98665095;59.62612779;27.11369998;44.71713993;27.70135163;27.26917928;40.57943166;30.08390301;29.75244737;38.80199925;41.92864735;36.17507574;44.52200937;30.52167456;46.24030388;25.16666931;61.37677785;32.9332884;35.70833599;43.85267449;34.29927631;34.67858968;33.59166823;25.10751487;33.07768463;37.07612174;49.75220267;36.03787405;44.74441519;36.37331326;36.75271196;28.65485118;30.08600103;34.04374429;43.31191304;35.77135116;39.17095002;26.72329111;34.68263536;29.63623184;41.96437516;29.93663716;37.89897773;25.75394214;24.90106991;30.02729769;32.36754848;41.49457866;38.68790552;25.0899037;35.80283383;25.44047332;24.87231221;27.88091211;38.91705658;30.6702391;25.58238534;38.89280491;32.13193692;26.50199726;49.97057267;25.2631341;47.95787099;28.03667452;28.0948087;26.44627865;46.12454997;38.37216213;26.43225038;33.89649532;26.92250677;30.08195813;35.25088279;47.08706113;52.60828575;32.92021023;39.50932395;52.81205779;50.9662262;37.95526903;45.49810219;50.79404613
4;34.72865953;25.91282918;50.90425701;32.23477731;28.99199084;37.54402163;24.75859772;41.36747373;27.82653216;38.97827798;36.13405087;38.12309693;29.23031616;25.48580543;33.16594555;29.22070105;39.49092662;31.3775265;26.36159423;54.65559606;44.68735624;52.60019955;30.10662645;32.11248659;41.19812226;34.73657794;34.29427261;30.04685089;25.63579555;35.64985173;32.95001079;36.33940107;29.99195063;40.47837793;30.77084142;38.55184777;29.68079449;28.82770145;35.17192893;31.87348455;31.09726739;33.74356891;33.98611048;34.9419591;47.29178506;24.61341874;27.61897627;32.51229955;39.09765359;37.79150238;25.44747396;41.87312291;29.0801842;35.34669412;43.32199489;40.87301576;26.9825728;34.36149411;27.33893473;50.50108337;50.97860689;50.4707407;29.98126279;47.14103252;30.82319671;32.03281112;61.51760663;24.84264876;55.75104642;27.55519443;41.1079395;33.54788827;27.29490493;28.88637248;26.6600663;45.1637983;29.95771132;32.69266569;41.1845658;50.10481283;35.82009478;64.78560371;35.36989692;36.11077657;28.17087335;44.49770063;40.79594677;25.44047332;23.90402032;41.03923358;39.0200131;32.48662241;40.35709969;33.3409418;34.74086446;29.33033185;25.58419779;25.2631341;26.37746273;33.29308407;46.48562338;50.5523552;21.85863326;32.98248926;33.70985984;46.32036539;32.73651708;53.98298636;43.86555587;35.74075731;40.00062029;33.67876329;40.51955621;27.94700267;31.83728971;29.05837768;55.69938317;43.02469401
5;27.17092917;26.55083444;73.81276817;33.82763836;26.32273268;33.27372462;38.60523747;27.13635115;26.22554159;32.14639217;28.84011888;28.35848024;28.68607142;22.38943829;37.30681851;32.12990192;38.59421292;31.3775265;28.2468923;32.03907729;28.64171887;25.16087128;39.04048437;31.07021604;33.52556517;28.50526633;24.21238717;38.10323785;32.80583302;32.89678129;22.69812328;37.55048679;27.60335053;33.02550027;25.50107897;45.42681256;26.98665095;59.62612779;27.11369998;44.71713993;27.70135163;27.26917928;40.57943166;30.08390301;29.75244737;38.80199925;41.92864735;36.17507574;44.52200937;30.52167456;46.24030388;25.16666931;61.37677785;32.9332884;35.70833599;43.85267449;34.29927631;34.67858968;33.59166823;25.10751487;33.07768463;37.07612174;49.75220267;36.03787405;44.74441519;36.37331326;36.75271196;28.65485118;30.08600103;34.04374429;43.31191304;35.77135116;39.17095002;26.72329111;34.68263536;29.63623184;41.96437516;29.93663716;37.89897773;25.75394214;24.90106991;30.02729769;32.36754848;41.49457866;38.68790552;25.0899037;35.80283383;25.44047332;24.87231221;27.88091211;38.91705658;30.6702391;25.58238534;38.89280491;32.13193692;26.50199726;49.97057267;25.2631341;47.95787099;28.03667452;28.0948087;26.44627865;46.12454997;38.37216213;26.43225038;33.89649532;26.92250677;30.08195813;35.25088279;47.08706113;52.60828575;32.92021023;39.50932395;52.81205779;50.9662262;37.95526903;45.49810219;50.79404613
6;34.72865953;25.91282918;50.90425701;32.23477731;28.99199084;37.54402163;24.75859772;41.36747373;27.82653216;38.97827798;36.13405087;38.12309693;29.23031616;25.48580543;33.16594555;29.22070105;39.49092662;31.3775265;26.36159423;54.65559606;44.68735624;52.60019955;30.10662645;32.11248659;41.19812226;34.73657794;34.29427261;30.04685089;25.63579555;35.64985173;32.95001079;36.33940107;29.99195063;40.47837793;30.77084142;38.55184777;29.68079449;28.82770145;35.17192893;31.87348455;31.09726739;33.74356891;33.98611048;34.9419591;47.29178506;24.61341874;27.61897627;32.51229955;39.09765359;37.79150238;25.44747396;41.87312291;29.0801842;35.34669412;43.32199489;40.87301576;26.9825728;34.36149411;27.33893473;50.50108337;50.97860689;50.4707407;29.98126279;47.14103252;30.82319671;32.03281112;61.51760663;24.84264876;55.75104642;27.55519443;41.1079395;33.54788827;27.29490493;28.88637248;26.6600663;45.1637983;29.95771132;32.69266569;41.1845658;50.10481283;35.82009478;64.78560371;35.36989692;36.11077657;28.17087335;44.49770063;40.79594677;25.44047332;23.90402032;41.03923358;39.0200131;32.48662241;40.35709969;33.3409418;34.74086446;29.33033185;25.58419779;25.2631341;26.37746273;33.29308407;46.48562338;50.5523552;21.85863326;32.98248926;33.70985984;46.32036539;32.73651708;53.98298636;43.86555587;35.74075731;40.00062029;33.67876329;40.51955621;27.94700267;31.83728971;29.05837768;55.69938317;35.54178845
7;27.17092917;26.55083444;73.81276817;33.82763836;26.32273268;33.27372462;38.60523747;27.13635115;26.22554159;32.14639217;28.84011888;28.35848024;28.68607142;22.38943829;37.30681851;32.12990192;38.59421292;31.3775265;28.2468923;32.03907729;28.64171887;25.16087128;39.04048437;31.07021604;33.52556517;28.50526633;24.21238717;38.10323785;32.80583302;32.89678129;22.69812328;37.55048679;27.60335053;33.02550027;25.50107897;45.42681256;26.98665095;59.62612779;27.11369998;44.71713993;27.70135163;27.26917928;40.57943166;30.08390301;29.75244737;38.80199925;41.92864735;36.17507574;44.52200937;30.52167456;46.24030388;25.16666931;34.20918967;32.9332884;35.70833599;43.85267449;34.29927631;34.67858968;33.59166823;28.42272416;33.07768463;37.07612174;49.75220267;36.03787405;44.74441519;36.37331326;36.75271196;28.65485118;30.08600103;34.04374429;43.31191304;35.77135116;39.17095002;26.72329111;34.68263536;29.63623184;41.96437516;29.93663716;37.89897773;25.75394214;24.90106991;30.02729769;32.36754848;41.49457866;38.68790552;25.0899037;35.80283383;25.44047332;24.87231221;27.88091211;38.91705658;30.6702391;25.58238534;38.89280491;25.80762629;26.50199726;49.97057267;25.2631341;47.95787099;28.03667452;28.0948087;26.44627865;46.12454997;38.37216213;26.43225038;33.89649532;26.92250677;30.08195813;35.25088279;47.08706113;52.60828575;32.92021023;39.50932395;52.81205779;50.9662262;37.95526903;45.49810219;50.79404613
8;34.72865953;25.91282918;50.90425701;32.23477731;28.99199084;37.54402163;24.75859772;41.36747373;27.82653216;38.97827798;36.13405087;38.12309693;29.23031616;25.48580543;33.16594555;29.22070105;39.49092662;31.3775265;26.36159423;54.65559606;44.68735624;52.60019955;30.10662645;32.11248659;41.19812226;34.73657794;34.29427261;30.04685089;25.63579555;35.64985173;32.95001079;36.33940107;29.99195063;40.47837793;30.77084142;38.55184777;29.68079449;28.82770145;35.17192893;31.87348455;31.09726739;33.74356891;33.98611048;34.9419591;47.29178506;24.61341874;27.61897627;32.51229955;39.09765359;37.79150238;25.44747396;41.87312291;29.0801842;35.34669412;43.32199489;40.87301576;26.9825728;34.36149411;27.33893473;50.50108337;50.97860689;50.4707407;29.98126279;47.14103252;30.82319671;32.03281112;61.51760663;24.84264876;55.75104642;27.55519443;41.1079395;38.45036701;27.29490493;28.88637248;26.6600663;45.1637983;29.95771132;32.69266569;41.1845658;50.10481283;35.82009478;64.78560371;35.36989692;36.11077657;28.17087335;44.49770063;40.79594677;25.44047332;23.90402032;41.03923358;39.0200131;32.48662241;40.35709969;33.3409418;34.74086446;29.33033185;25.58419779;25.2631341;26.37746273;33.29308407;46.48562338;50.5523552;21.85863326;32.98248926;33.70985984;46.32036539;32.73651708;53.98298636;43.86555587;35.74075731;40.00062029;33.67876329;40.51955621;27.94700267;31.83728971;29.05837768;55.69938317;35.54178845
9;27.17092917;26.55083444;73.81276817;33.82763836;26.32273268;33.27372462;38.60523747;27.13635115;26.22554159;32.14639217;28.84011888;28.35848024;28.68607142;22.38943829;37.30681851;32.12990192;38.59421292;31.3775265;28.2468923;32.03907729;28.64171887;25.16087128;39.04048437;31.07021604;33.52556517;28.50526633;24.21238717;38.10323785;32.80583302;32.89678129;22.69812328;37.55048679;27.60335053;33.02550027;25.50107897;45.42681256;26.98665095;59.62612779;27.11369998;44.71713993;27.70135163;27.26917928;40.57943166;30.08390301;29.75244737;38.80199925;41.92864735;36.17507574;44.52200937;30.52167456;46.24030388;25.16666931;34.20918967;32.9332884;35.70833599;43.85267449;34.29927631;34.67858968;33.59166823;28.42272416;33.07768463;37.07612174;49.75220267;36.03787405;44.74441519;36.37331326;36.75271196;28.65485118;30.08600103;34.04374429;43.31191304;35.77135116;39.17095002;26.72329111;34.68263536;29.63623184;41.96437516;29.93663716;37.89897773;25.75394214;24.90106991;30.02729769;32.36754848;41.49457866;38.68790552;25.0899037;35.80283383;25.44047332;24.87231221;27.88091211;38.91705658;30.6702391;25.58238534;38.89280491;25.80762629;26.50199726;49.97057267;25.2631341;47.95787099;28.03667452;28.0948087;26.44627865;46.12454997;38.37216213;26.43225038;33.89649532;26.92250677;30.08195813;35.25088279;47.08706113;52.60828575;49.89557111;39.50932395;52.81205779;29.01277827;37.95526903;45.49810219;50.79404613
10;34.72865953;25.91282918;26.75817314;32.23477731;28.99199084;37.54402163;34.57605799;41.36747373;27.82653216;38.97827798;36.13405087;38.12309693;29.23031616;25.48580543;33.16594555;29.22070105;39.49092662;31.3775265;26.36159423;54.65559606;44.68735624;52.60019955;30.10662645;32.11248659;41.19812226;34.73657794;34.29427261;30.04685089;25.63579555;35.64985173;32.95001079;36.33940107;29.99195063;40.47837793;30.77084142;38.55184777;29.68079449;28.82770145;35.17192893;31.87348455;31.09726739;33.74356891;33.98611048;34.9419591;47.29178506;24.61341874;27.61897627;32.51229955;39.09765359;37.79150238;25.44747396;41.87312291;29.0801842;35.34669412;43.32199489;40.87301576;26.9825728;34.36149411;27.33893473;50.50108337;50.97860689;50.4707407;29.98126279;47.14103252;30.82319671;32.03281112;61.51760663;24.84264876;55.75104642;27.55519443;41.1079395;38.45036701;27.29490493;28.88637248;26.6600663;45.1637983;29.95771132;32.69266569;41.1845658;50.10481283;35.82009478;64.78560371;35.36989692;36.11077657;28.17087335;44.49770063;40.79594677;25.44047332;23.90402032;41.03923358;39.0200131;32.48662241;40.35709969;33.3409418;34.74086446;29.33033185;25.58419779;25.2631341;26.37746273;33.29308407;46.48562338;50.5523552;21.85863326;32.98248926;33.70985984;46.32036539;32.73651708;53.98298636;43.86555587;35.74075731;40.00062029;33.67876329;40.51955621;27.94700267;31.83728971;29.05837768;55.69938317;35.54178845
