0;Chain_1;Chain_5;Chain_6;Chain_7;Chain_15;Chain_16;Chain_24;Chain_26;Chain_33;Chain_35;Chain_36;Chain_43;Chain_44;Chain_48;Chain_54;Chain_63;Chain_67;Chain_73;Chain_81;Chain_82;Chain_88;Chain_90;Chain_92;Chain_93;Chain_94;Chain_95;Chain_104;Chain_106;Chain_107;Chain_111;Chain_112;Chain_116;Chain_117;Chain_118;Chain_119;Chain_120;Chain_124;Chain_125;Chain_127;Chain_130;Chain_131;Chain_132;Chain_133;Chain_134;Chain_136;Chain_141;Chain_147;Chain_151;Chain_162;Chain_163;Chain_164;Chain_166;Chain_169;Chain_170;Chain_172;Chain_175;Chain_179;Chain_180;Chain_182;Chain_186;Chain_189;Chain_203;Chain_205;Chain_206;Chain_211;Chain_212;Chain_215;Chain_218;Chain_219;Chain_221;Chain_225;Chain_226;Chain_229;Chain_237;Chain_242;Chain_245;Chain_247;Chain_253;Chain_254;Chain_256;Chain_258;Chain_264;Chain_265;Chain_266;Chain_269;Chain_271;Chain_279;Chain_282;Chain_283;Chain_288;Chain_289;Chain_293;Chain_294;Chain_296;Chain_299;Chain_302;Chain_303;Chain_305;Chain_307;Chain_308;Chain_317;Chain_319;Chain_328;Chain_330;Chain_332;Chain_336;Chain_342;Chain_344;Chain_345;Chain_350;Chain_352;Chain_354;Chain_359;Chain_362;Chain_364;Chain_369;Chain_379;Chain_383
1;25.07315205;18.70857379;12.96445537;9.640338642;17.09397642;8.820804861;26.50476415;23.78318467;13.75413922;44.94156287;33.17565571;30.97085141;29.40833541;13.20088047;14.33643272;11.18580874;13.89569919;28.45461273;40.12951771;15.18800942;17.35744362;11.98474386;25.67529285;23.01495673;43.94866752;15.58707771;5.252055601;13.00954205;16.63112324;31.64745051;10.33503674;16.05774071;23.54601537;7.885375519;17.12217933;31.0126423;28.85193685;30.89670759;19.04697153;36.6335695;16.06633458;21.11821232;19.61962932;33.33639841;29.38857319;11.5992134;23.72747163;35.59872606;29.01722304;4.113231191;-8.391395514;10.33925412;35.28125125;35.30401744;28.65367167;29.23568724;46.92172818;5.04983915;14.43701095;20.87021263;14.98277161;29.69897111;12.20811526;25.12263549;49.63480614;17.33971152;8.850524825;27.74046737;11.8271352;21.78734909;7.33134929;13.33123543;30.62009884;29.86908742;28.50718488;10.25943802;30.90213029;44.76923888;27.40085182;9.345424647;12.41918418;8.483707867;28.71577692;16.86382568;14.23757161;20.70954857;59.42878558;14.74663379;24.20860963;12.03203016;16.71486378;4.804026183;15.38121426;33.04706659;43.29575613;42.79448305;25.13816756;18.49335872;29.48156332;12.19035447;7.353783672;24.12258744;15.25336055;22.6025778;15.42168441;14.58413752;13.10216524;11.13561688;3.435286773;39.70854072;43.68962755;21.88640604;19.83634857;19.4512974;43.27653534;28.78436886;44.33314107;14.76969684
2;14.89958971;27.41388034;16.95241796;38.30715598;24.35637864;11.33150041;16.44058622;23.74311337;44.70016117;13.84717722;-0.062025017;21.53748598;16.30242254;16.88993155;23.19328201;7.829609806;12.14587168;28.45461273;17.56303504;12.59251696;43.77445498;20.43858267;26.53667586;14.33275933;21.2955441;41.23864073;20.28125284;10.45183803;36.01623329;36.32020328;62.53146566;36.25231809;42.91611301;-4.106239105;9.419104373;13.76012699;15.26499833;8.770950878;13.94206023;28.74040229;44.99862325;29.41181826;25.57329587;15.63711845;9.908681276;19.40558389;46.66862613;44.2210644;13.43201173;14.57216541;27.02524301;0.138855045;3.732370662;27.20521376;30.18610491;23.93709486;12.47857329;12.7239368;15.25582388;24.01300988;38.82492527;29.13510105;33.29176786;33.58887987;39.69509058;26.9079376;36.1535954;23.7494967;25.57710166;8.482177311;13.55529931;28.73149481;20.6480803;21.72104898;10.30341332;23.10414132;16.7328626;15.70644652;14.86019827;13.34992314;13.24335351;4.707531397;34.81592412;9.357917073;12.88454992;13.35860628;29.31566314;14.74663379;12.30519563;22.33544133;31.33266786;11.73000099;37.6024607;34.79932511;17.55973352;17.71563995;20.57463481;18.49335872;8.225516636;33.31917882;64.03498306;41.08132705;0.660580027;22.13337119;32.95192211;28.58980922;25.53752371;36.73629134;29.17564775;5.885992976;34.79769812;43.52251827;16.85852403;28.23778001;30.64725891;8.943407889;13.70157403;4.508125151
3;25.07315205;18.70857379;12.96445537;9.640338642;17.09397642;8.820804861;26.50476415;23.78318467;13.75413922;44.94156287;33.17565571;30.97085141;29.40833541;13.20088047;14.33643272;11.18580874;13.89569919;28.45461273;40.12951771;15.18800942;17.35744362;11.98474386;25.67529285;23.01495673;43.94866752;15.58707771;5.252055601;13.00954205;16.63112324;31.64745051;10.33503674;16.05774071;13.42581071;7.885375519;17.12217933;31.0126423;28.85193685;30.89670759;19.04697153;36.6335695;16.06633458;21.11821232;19.61962932;33.33639841;29.38857319;11.5992134;23.72747163;35.59872606;29.01722304;4.113231191;-8.391395514;10.33925412;35.28125125;35.30401744;28.65367167;29.23568724;46.92172818;5.04983915;14.43701095;20.87021263;14.98277161;29.69897111;12.20811526;25.12263549;49.63480614;17.33971152;8.850524825;27.74046737;11.8271352;21.78734909;7.33134929;13.33123543;30.62009884;29.86908742;28.50718488;10.25943802;30.90213029;44.76923888;27.40085182;9.345424647;12.41918418;8.483707867;28.71577692;16.86382568;14.23757161;20.70954857;59.42878558;14.74663379;24.20860963;12.03203016;16.71486378;4.804026183;15.38121426;33.04706659;43.29575613;42.79448305;25.13816756;18.49335872;29.48156332;12.19035447;7.353783672;24.12258744;15.25336055;22.6025778;15.42168441;14.58413752;13.10216524;11.13561688;3.435286773;39.70854072;43.68962755;21.88640604;19.83634857;19.4512974;43.27653534;28.78436886;44.33314107;14.76969684
4;14.89958971;27.41388034;16.95241796;38.30715598;24.35637864;11.33150041;16.44058622;23.74311337;44.70016117;13.84717722;-0.062025017;21.53748598;16.30242254;16.88993155;23.19328201;7.829609806;12.14587168;28.45461273;17.56303504;12.59251696;43.77445498;17.00809679;26.53667586;14.33275933;21.2955441;41.23864073;20.28125284;10.45183803;36.01623329;36.32020328;62.53146566;36.25231809;42.91611301;-4.106239105;9.419104373;13.76012699;15.26499833;8.770950878;13.94206023;33.65630218;44.99862325;29.41181826;25.57329587;15.63711845;9.908681276;19.40558389;46.66862613;44.2210644;13.43201173;14.57216541;27.02524301;0.138855045;3.732370662;27.20521376;30.18610491;23.93709486;12.47857329;12.7239368;15.25582388;24.01300988;38.82492527;29.13510105;33.29176786;33.58887987;39.69509058;26.9079376;36.1535954;23.7494967;25.57710166;8.482177311;13.55529931;28.73149481;20.6480803;21.72104898;10.30341332;23.10414132;16.7328626;15.70644652;14.86019827;13.34992314;13.24335351;4.707531397;34.81592412;9.357917073;12.88454992;13.35860628;29.31566314;14.74663379;12.30519563;22.33544133;31.33266786;11.73000099;37.6024607;34.79932511;17.55973352;17.71563995;20.57463481;18.49335872;8.225516636;33.31917882;64.03498306;41.08132705;0.660580027;22.13337119;32.95192211;28.58980922;25.53752371;36.73629134;29.17564775;5.885992976;34.79769812;43.52251827;16.85852403;28.23778001;30.64725891;8.943407889;13.70157403;4.508125151
5;25.07315205;18.70857379;12.96445537;9.640338642;17.09397642;8.820804861;26.50476415;23.78318467;13.75413922;44.94156287;33.17565571;30.97085141;29.40833541;13.20088047;14.33643272;11.18580874;13.89569919;28.45461273;40.12951771;15.18800942;17.35744362;11.98474386;25.67529285;23.01495673;43.94866752;15.58707771;5.252055601;13.00954205;16.63112324;31.64745051;10.33503674;16.05774071;13.42581071;7.885375519;17.12217933;31.0126423;28.85193685;30.89670759;19.04697153;36.6335695;16.06633458;21.11821232;19.61962932;33.33639841;29.38857319;11.5992134;23.72747163;35.59872606;29.01722304;4.113231191;-8.391395514;10.33925412;35.28125125;35.30401744;28.65367167;29.23568724;46.92172818;5.04983915;14.43701095;20.87021263;14.98277161;29.69897111;12.20811526;25.12263549;49.63480614;17.33971152;8.850524825;27.74046737;11.8271352;21.78734909;7.33134929;13.33123543;30.62009884;29.86908742;28.50718488;10.25943802;30.90213029;44.76923888;27.40085182;9.345424647;12.41918418;8.483707867;28.71577692;16.86382568;14.23757161;20.70954857;59.42878558;14.74663379;24.20860963;12.03203016;16.71486378;4.804026183;15.38121426;33.04706659;43.29575613;42.79448305;25.13816756;18.49335872;29.48156332;12.19035447;7.353783672;24.12258744;15.25336055;22.6025778;15.42168441;14.58413752;13.10216524;11.13561688;3.435286773;39.70854072;43.68962755;21.88640604;19.83634857;19.4512974;43.27653534;28.78436886;44.33314107;14.76969684
6;14.89958971;27.41388034;16.95241796;38.30715598;24.35637864;11.33150041;16.44058622;23.74311337;44.70016117;13.84717722;-0.062025017;21.53748598;16.30242254;16.88993155;23.19328201;7.829609806;12.14587168;28.45461273;17.56303504;12.59251696;43.77445498;17.00809679;26.53667586;14.33275933;21.2955441;41.23864073;20.28125284;10.45183803;36.01623329;36.32020328;62.53146566;36.25231809;42.91611301;-4.106239105;9.419104373;13.76012699;15.26499833;8.770950878;13.94206023;33.65630218;44.99862325;29.41181826;25.57329587;15.63711845;9.908681276;19.40558389;46.66862613;44.2210644;13.43201173;14.57216541;27.02524301;0.138855045;3.732370662;27.20521376;30.18610491;23.93709486;12.47857329;12.7239368;15.25582388;24.01300988;38.82492527;29.13510105;33.29176786;33.58887987;39.69509058;26.9079376;36.1535954;23.7494967;25.57710166;8.482177311;13.55529931;28.73149481;20.6480803;21.72104898;10.30341332;23.10414132;16.7328626;15.70644652;14.86019827;13.34992314;13.24335351;4.707531397;34.81592412;9.357917073;12.88454992;13.35860628;29.31566314;14.74663379;12.30519563;22.33544133;31.33266786;11.73000099;37.6024607;34.79932511;17.55973352;17.71563995;20.57463481;18.49335872;8.225516636;33.31917882;64.03498306;41.08132705;0.660580027;22.13337119;32.95192211;28.58980922;25.53752371;36.73629134;29.17564775;5.885992976;34.79769812;43.52251827;16.85852403;28.23778001;30.64725891;8.943407889;13.70157403;27.15600874
7;25.07315205;18.70857379;12.96445537;9.640338642;17.09397642;8.820804861;26.50476415;23.78318467;13.75413922;44.94156287;33.17565571;30.97085141;29.40833541;13.20088047;14.33643272;11.18580874;13.89569919;28.45461273;40.12951771;15.18800942;17.35744362;11.98474386;25.67529285;23.01495673;43.94866752;15.58707771;5.252055601;13.00954205;16.63112324;31.64745051;10.33503674;16.05774071;13.42581071;7.885375519;17.12217933;31.0126423;28.85193685;30.89670759;19.04697153;36.6335695;16.06633458;21.11821232;19.61962932;33.33639841;29.38857319;11.5992134;23.72747163;35.59872606;29.01722304;4.113231191;-8.391395514;10.33925412;25.81507065;35.30401744;28.65367167;29.23568724;46.92172818;5.04983915;14.43701095;16.57546711;14.98277161;29.69897111;12.20811526;25.12263549;49.63480614;17.33971152;8.850524825;27.74046737;11.8271352;21.78734909;7.33134929;13.33123543;30.62009884;29.86908742;28.50718488;10.25943802;30.90213029;44.76923888;27.40085182;9.345424647;12.41918418;8.483707867;28.71577692;16.86382568;14.23757161;20.70954857;59.42878558;14.74663379;24.20860963;12.03203016;16.71486378;4.804026183;15.38121426;33.04706659;16.94225716;42.79448305;25.13816756;18.49335872;29.48156332;12.19035447;7.353783672;24.12258744;15.25336055;22.6025778;15.42168441;14.58413752;13.10216524;11.13561688;3.435286773;39.70854072;43.68962755;21.88640604;19.83634857;19.4512974;43.27653534;28.78436886;44.33314107;14.76969684
8;14.89958971;27.41388034;16.95241796;38.30715598;24.35637864;11.33150041;16.44058622;23.74311337;44.70016117;13.84717722;-0.062025017;21.53748598;16.30242254;16.88993155;23.19328201;7.829609806;12.14587168;28.45461273;17.56303504;12.59251696;43.77445498;17.00809679;26.53667586;14.33275933;21.2955441;41.23864073;20.28125284;10.45183803;36.01623329;36.32020328;62.53146566;36.25231809;42.91611301;-4.106239105;9.419104373;13.76012699;15.26499833;8.770950878;13.94206023;33.65630218;44.99862325;29.41181826;25.57329587;15.63711845;9.908681276;19.40558389;46.66862613;44.2210644;13.43201173;14.57216541;27.02524301;0.138855045;3.732370662;27.20521376;30.18610491;23.93709486;12.47857329;12.7239368;15.25582388;24.01300988;38.82492527;29.13510105;33.29176786;33.58887987;39.69509058;26.9079376;36.1535954;23.7494967;25.57710166;8.482177311;13.55529931;16.25744595;20.6480803;21.72104898;10.30341332;23.10414132;16.7328626;15.70644652;14.86019827;13.34992314;13.24335351;4.707531397;34.81592412;9.357917073;12.88454992;13.35860628;29.31566314;14.74663379;12.30519563;22.33544133;31.33266786;11.73000099;37.6024607;34.79932511;17.55973352;17.71563995;20.57463481;18.49335872;8.225516636;33.31917882;64.03498306;41.08132705;0.660580027;22.13337119;32.95192211;28.58980922;25.53752371;36.73629134;29.17564775;5.885992976;34.79769812;43.52251827;16.85852403;28.23778001;30.64725891;8.943407889;13.70157403;27.15600874
9;25.07315205;18.70857379;12.96445537;9.640338642;17.09397642;8.820804861;26.50476415;23.78318467;13.75413922;44.94156287;33.17565571;30.97085141;29.40833541;13.20088047;14.33643272;11.18580874;13.89569919;28.45461273;40.12951771;15.18800942;17.35744362;11.98474386;25.67529285;23.01495673;43.94866752;15.58707771;5.252055601;13.00954205;16.63112324;31.64745051;10.33503674;16.05774071;13.42581071;7.885375519;17.12217933;31.0126423;28.85193685;30.89670759;19.04697153;36.6335695;16.06633458;21.11821232;19.61962932;33.33639841;29.38857319;11.5992134;23.72747163;35.59872606;29.01722304;4.113231191;-8.391395514;10.33925412;25.81507065;35.30401744;28.65367167;29.23568724;46.92172818;5.04983915;14.43701095;16.57546711;14.98277161;29.69897111;12.20811526;25.12263549;49.63480614;17.33971152;8.850524825;27.74046737;11.8271352;21.78734909;7.33134929;13.33123543;30.62009884;29.86908742;28.50718488;10.25943802;30.90213029;44.76923888;27.40085182;9.345424647;12.41918418;8.483707867;28.71577692;16.86382568;14.23757161;20.70954857;59.42878558;14.74663379;24.20860963;12.03203016;16.71486378;4.804026183;15.38121426;33.04706659;16.94225716;42.79448305;25.13816756;18.49335872;29.48156332;12.19035447;7.353783672;24.12258744;15.25336055;22.6025778;15.42168441;14.58413752;13.10216524;11.13561688;3.435286773;39.70854072;43.68962755;43.45507992;19.83634857;19.4512974;25.54777172;28.78436886;44.33314107;14.76969684
10;14.89958971;27.41388034;20.77640495;38.30715598;24.35637864;11.33150041;28.94828273;23.74311337;44.70016117;13.84717722;-0.062025017;21.53748598;16.30242254;16.88993155;23.19328201;7.829609806;12.14587168;28.45461273;17.56303504;12.59251696;43.77445498;17.00809679;26.53667586;14.33275933;21.2955441;41.23864073;20.28125284;10.45183803;36.01623329;36.32020328;62.53146566;36.25231809;42.91611301;-4.106239105;9.419104373;13.76012699;15.26499833;8.770950878;13.94206023;33.65630218;44.99862325;29.41181826;25.57329587;15.63711845;9.908681276;19.40558389;46.66862613;44.2210644;13.43201173;14.57216541;27.02524301;0.138855045;3.732370662;27.20521376;30.18610491;23.93709486;12.47857329;12.7239368;15.25582388;24.01300988;38.82492527;29.13510105;33.29176786;33.58887987;39.69509058;26.9079376;36.1535954;23.7494967;25.57710166;8.482177311;13.55529931;16.25744595;20.6480803;21.72104898;10.30341332;23.10414132;16.7328626;15.70644652;14.86019827;13.34992314;13.24335351;4.707531397;34.81592412;9.357917073;12.88454992;13.35860628;29.31566314;14.74663379;12.30519563;22.33544133;31.33266786;11.73000099;37.6024607;34.79932511;17.55973352;17.71563995;20.57463481;18.49335872;8.225516636;33.31917882;64.03498306;41.08132705;0.660580027;22.13337119;32.95192211;28.58980922;25.53752371;36.73629134;29.17564775;5.885992976;34.79769812;43.52251827;16.85852403;28.23778001;30.64725891;8.943407889;13.70157403;27.15600874
