0;Chain_1;Chain_5;Chain_6;Chain_7;Chain_15;Chain_16;Chain_24;Chain_26;Chain_33;Chain_35;Chain_36;Chain_43;Chain_44;Chain_48;Chain_54;Chain_63;Chain_67;Chain_73;Chain_81;Chain_82;Chain_88;Chain_90;Chain_92;Chain_93;Chain_94;Chain_95;Chain_104;Chain_106;Chain_107;Chain_111;Chain_112;Chain_116;Chain_117;Chain_118;Chain_119;Chain_120;Chain_124;Chain_125;Chain_127;Chain_130;Chain_131;Chain_132;Chain_133;Chain_134;Chain_136;Chain_141;Chain_147;Chain_151;Chain_162;Chain_163;Chain_164;Chain_166;Chain_169;Chain_170;Chain_172;Chain_175;Chain_179;Chain_180;Chain_182;Chain_186;Chain_189;Chain_203;Chain_205;Chain_206;Chain_211;Chain_212;Chain_215;Chain_218;Chain_219;Chain_221;Chain_225;Chain_226;Chain_229;Chain_237;Chain_242;Chain_245;Chain_247;Chain_253;Chain_254;Chain_256;Chain_258;Chain_264;Chain_265;Chain_266;Chain_269;Chain_271;Chain_279;Chain_282;Chain_283;Chain_288;Chain_289;Chain_293;Chain_294;Chain_296;Chain_299;Chain_302;Chain_303;Chain_305;Chain_307;Chain_308;Chain_317;Chain_319;Chain_328;Chain_330;Chain_332;Chain_336;Chain_342;Chain_344;Chain_345;Chain_350;Chain_352;Chain_354;Chain_359;Chain_362;Chain_364;Chain_369;Chain_379;Chain_383
1;3.12E-05;3.41E-05;1.02E-05;3.33E-05;1.96E-05;9.55E-06;2.99E-05;2.86E-05;2.87E-05;7.93E-05;1.69E-05;3.93E-05;2.62E-05;0.000109511;3.12E-05;8.80E-06;1.17E-05;4.21E-05;3.73E-05;2.07E-05;3.36E-05;2.91E-05;2.52E-05;2.87E-05;0.000102364;2.19E-05;2.09E-05;3.81E-05;9.11E-06;1.33E-05;1.27E-05;1.07E-05;1.30E-05;1.97E-05;2.33E-05;2.47E-05;1.48E-05;4.46E-05;1.65E-05;2.46E-05;2.51E-05;4.84E-05;2.81E-05;4.51E-05;2.38E-05;7.34E-05;2.53E-05;3.46E-05;4.24E-05;1.16E-05;1.63E-05;3.46E-05;2.88E-05;3.59E-05;9.29E-05;4.05E-05;3.22E-05;3.31E-05;1.19E-05;1.26E-05;1.31E-05;2.02E-05;5.61E-06;2.09E-05;7.80E-05;8.02E-06;1.42E-05;3.41E-05;6.61E-05;2.47E-05;2.97E-05;1.02E-05;4.23E-05;7.17E-05;1.81E-05;1.44E-05;4.27E-05;1.98E-05;5.81E-05;0.000112078;3.34E-05;9.65E-06;5.90E-05;1.25E-05;7.55E-05;8.28E-05;1.81E-05;5.24E-05;3.73E-05;1.26E-05;1.01E-05;2.72E-05;4.53E-05;3.29E-05;1.90E-05;1.76E-05;1.41E-05;5.79E-05;4.82E-05;8.76E-06;9.69E-06;2.21E-05;2.38E-05;1.40E-05;2.52E-05;2.56E-05;2.69E-05;1.55E-05;2.57E-05;1.05E-05;3.76E-05;5.46E-05;4.54E-05;2.95E-05;4.85E-05;2.94E-05;2.10E-05;3.49E-05
2;5.83E-05;5.44E-05;0.00010802;1.53E-05;2.81E-05;3.70E-05;2.69E-05;2.51E-05;6.73E-05;1.55E-05;1.92E-05;1.58E-05;4.92E-05;1.53E-05;6.38E-06;5.86E-05;7.56E-06;4.21E-05;1.31E-05;1.62E-05;5.79E-05;1.89E-05;1.82E-05;2.99E-05;2.04E-05;5.72E-05;1.02E-05;2.38E-05;4.21E-05;2.40E-05;1.50E-05;3.71E-05;2.04E-05;2.32E-05;5.35E-05;5.45E-05;3.02E-05;3.71E-05;2.67E-05;1.84E-05;3.14E-05;3.84E-05;5.38E-05;1.98E-05;4.85E-05;6.66E-06;6.12E-05;3.32E-05;2.04E-05;1.42E-05;2.89E-05;8.37E-06;7.05E-05;2.66E-05;3.54E-05;1.10E-05;8.15E-05;4.00E-05;1.21E-05;3.07E-05;5.41E-05;0.000104191;2.24E-05;1.67E-05;2.51E-05;3.10E-05;2.87E-05;4.83E-05;1.20E-05;1.66E-05;3.33E-05;3.99E-05;4.75E-05;1.03E-05;1.87E-05;2.18E-05;3.41E-05;3.43E-05;1.25E-05;1.66E-05;1.07E-05;6.33E-05;1.16E-05;3.85E-05;8.78E-06;2.44E-05;2.26E-05;5.24E-05;8.97E-05;6.80E-06;4.38E-05;7.05E-05;3.12E-05;3.16E-05;1.75E-05;1.86E-05;4.07E-05;5.79E-05;4.13E-05;2.52E-05;3.03E-05;5.07E-05;2.75E-05;2.26E-05;9.76E-06;2.63E-05;1.93E-05;1.08E-05;1.68E-05;2.88E-05;4.05E-05;5.79E-05;1.15E-05;9.31E-05;2.70E-05;7.73E-06;5.58E-05;2.58E-06
3;3.12E-05;3.41E-05;1.02E-05;3.33E-05;1.96E-05;9.55E-06;2.99E-05;2.86E-05;2.87E-05;7.93E-05;1.69E-05;3.93E-05;2.62E-05;0.000109511;3.12E-05;8.80E-06;1.17E-05;4.21E-05;3.73E-05;2.07E-05;3.36E-05;2.91E-05;2.52E-05;2.87E-05;0.000102364;2.19E-05;2.09E-05;3.81E-05;9.11E-06;1.33E-05;1.27E-05;1.07E-05;2.27E-05;1.97E-05;2.33E-05;2.47E-05;1.48E-05;4.46E-05;1.65E-05;2.46E-05;2.51E-05;4.84E-05;2.81E-05;4.51E-05;2.38E-05;7.34E-05;2.53E-05;3.46E-05;4.24E-05;1.16E-05;1.63E-05;3.46E-05;2.88E-05;3.59E-05;9.29E-05;4.05E-05;3.22E-05;3.31E-05;1.19E-05;1.26E-05;1.31E-05;2.02E-05;5.61E-06;2.09E-05;7.80E-05;8.02E-06;1.42E-05;3.41E-05;6.61E-05;2.47E-05;2.97E-05;1.02E-05;4.23E-05;7.17E-05;1.81E-05;1.44E-05;4.27E-05;1.98E-05;5.81E-05;0.000112078;3.34E-05;9.65E-06;5.90E-05;1.25E-05;7.55E-05;8.28E-05;1.81E-05;5.24E-05;3.73E-05;1.26E-05;1.01E-05;2.72E-05;4.53E-05;3.29E-05;1.90E-05;1.76E-05;1.41E-05;5.79E-05;4.82E-05;8.76E-06;9.69E-06;2.21E-05;2.38E-05;1.40E-05;2.52E-05;2.56E-05;2.69E-05;1.55E-05;2.57E-05;1.05E-05;3.76E-05;5.46E-05;4.54E-05;2.95E-05;4.85E-05;2.94E-05;2.10E-05;3.49E-05
4;5.83E-05;5.44E-05;0.00010802;1.53E-05;2.81E-05;3.70E-05;2.69E-05;2.51E-05;6.73E-05;1.55E-05;1.92E-05;1.58E-05;4.92E-05;1.53E-05;6.38E-06;5.86E-05;7.56E-06;4.21E-05;1.31E-05;1.62E-05;5.79E-05;9.02E-06;1.82E-05;2.99E-05;2.04E-05;5.72E-05;1.02E-05;2.38E-05;4.21E-05;2.40E-05;1.50E-05;3.71E-05;2.04E-05;2.32E-05;5.35E-05;5.45E-05;3.02E-05;3.71E-05;2.67E-05;5.18E-05;3.14E-05;3.84E-05;5.38E-05;1.98E-05;4.85E-05;6.66E-06;6.12E-05;3.32E-05;2.04E-05;1.42E-05;2.89E-05;8.37E-06;7.05E-05;2.66E-05;3.54E-05;1.10E-05;8.15E-05;4.00E-05;1.21E-05;3.07E-05;5.41E-05;0.000104191;2.24E-05;1.67E-05;2.51E-05;3.10E-05;2.87E-05;4.83E-05;1.20E-05;1.66E-05;3.33E-05;3.99E-05;4.75E-05;1.03E-05;1.87E-05;2.18E-05;3.41E-05;3.43E-05;1.25E-05;1.66E-05;1.07E-05;6.33E-05;1.16E-05;3.85E-05;8.78E-06;2.44E-05;2.26E-05;5.24E-05;8.97E-05;6.80E-06;4.38E-05;7.05E-05;3.12E-05;3.16E-05;1.75E-05;1.86E-05;4.07E-05;5.79E-05;4.13E-05;2.52E-05;3.03E-05;5.07E-05;2.75E-05;2.26E-05;9.76E-06;2.63E-05;1.93E-05;1.08E-05;1.68E-05;2.88E-05;4.05E-05;5.79E-05;1.15E-05;9.31E-05;2.70E-05;7.73E-06;5.58E-05;2.58E-06
5;3.12E-05;3.41E-05;1.02E-05;3.33E-05;1.96E-05;9.55E-06;2.99E-05;2.86E-05;2.87E-05;7.93E-05;1.69E-05;3.93E-05;2.62E-05;0.000109511;3.12E-05;8.80E-06;1.17E-05;4.21E-05;3.73E-05;2.07E-05;3.36E-05;2.91E-05;2.52E-05;2.87E-05;0.000102364;2.19E-05;2.09E-05;3.81E-05;9.11E-06;1.33E-05;1.27E-05;1.07E-05;2.27E-05;1.97E-05;2.33E-05;2.47E-05;1.48E-05;4.46E-05;1.65E-05;2.46E-05;2.51E-05;4.84E-05;2.81E-05;4.51E-05;2.38E-05;7.34E-05;2.53E-05;3.46E-05;4.24E-05;1.16E-05;1.63E-05;3.46E-05;2.88E-05;3.59E-05;9.29E-05;4.05E-05;3.22E-05;3.31E-05;1.19E-05;1.26E-05;1.31E-05;2.02E-05;5.61E-06;2.09E-05;7.80E-05;8.02E-06;1.42E-05;3.41E-05;6.61E-05;2.47E-05;2.97E-05;1.02E-05;4.23E-05;7.17E-05;1.81E-05;1.44E-05;4.27E-05;1.98E-05;5.81E-05;0.000112078;3.34E-05;9.65E-06;5.90E-05;1.25E-05;7.55E-05;8.28E-05;1.81E-05;5.24E-05;3.73E-05;1.26E-05;1.01E-05;2.72E-05;4.53E-05;3.29E-05;1.90E-05;1.76E-05;1.41E-05;5.79E-05;4.82E-05;8.76E-06;9.69E-06;2.21E-05;2.38E-05;1.40E-05;2.52E-05;2.56E-05;2.69E-05;1.55E-05;2.57E-05;1.05E-05;3.76E-05;5.46E-05;4.54E-05;2.95E-05;4.85E-05;2.94E-05;2.10E-05;3.49E-05
6;5.83E-05;5.44E-05;0.00010802;1.53E-05;2.81E-05;3.70E-05;2.69E-05;2.51E-05;6.73E-05;1.55E-05;1.92E-05;1.58E-05;4.92E-05;1.53E-05;6.38E-06;5.86E-05;7.56E-06;4.21E-05;1.31E-05;1.62E-05;5.79E-05;9.02E-06;1.82E-05;2.99E-05;2.04E-05;5.72E-05;1.02E-05;2.38E-05;4.21E-05;2.40E-05;1.50E-05;3.71E-05;2.04E-05;2.32E-05;5.35E-05;5.45E-05;3.02E-05;3.71E-05;2.67E-05;5.18E-05;3.14E-05;3.84E-05;5.38E-05;1.98E-05;4.85E-05;6.66E-06;6.12E-05;3.32E-05;2.04E-05;1.42E-05;2.89E-05;8.37E-06;7.05E-05;2.66E-05;3.54E-05;1.10E-05;8.15E-05;4.00E-05;1.21E-05;3.07E-05;5.41E-05;0.000104191;2.24E-05;1.67E-05;2.51E-05;3.10E-05;2.87E-05;4.83E-05;1.20E-05;1.66E-05;3.33E-05;3.99E-05;4.75E-05;1.03E-05;1.87E-05;2.18E-05;3.41E-05;3.43E-05;1.25E-05;1.66E-05;1.07E-05;6.33E-05;1.16E-05;3.85E-05;8.78E-06;2.44E-05;2.26E-05;5.24E-05;8.97E-05;6.80E-06;4.38E-05;7.05E-05;3.12E-05;3.16E-05;1.75E-05;1.86E-05;4.07E-05;5.79E-05;4.13E-05;2.52E-05;3.03E-05;5.07E-05;2.75E-05;2.26E-05;9.76E-06;2.63E-05;1.93E-05;1.08E-05;1.68E-05;2.88E-05;4.05E-05;5.79E-05;1.15E-05;9.31E-05;2.70E-05;7.73E-06;5.58E-05;2.83E-05
7;3.12E-05;3.41E-05;1.02E-05;3.33E-05;1.96E-05;9.55E-06;2.99E-05;2.86E-05;2.87E-05;7.93E-05;1.69E-05;3.93E-05;2.62E-05;0.000109511;3.12E-05;8.80E-06;1.17E-05;4.21E-05;3.73E-05;2.07E-05;3.36E-05;2.91E-05;2.52E-05;2.87E-05;0.000102364;2.19E-05;2.09E-05;3.81E-05;9.11E-06;1.33E-05;1.27E-05;1.07E-05;2.27E-05;1.97E-05;2.33E-05;2.47E-05;1.48E-05;4.46E-05;1.65E-05;2.46E-05;2.51E-05;4.84E-05;2.81E-05;4.51E-05;2.38E-05;7.34E-05;2.53E-05;3.46E-05;4.24E-05;1.16E-05;1.63E-05;3.46E-05;2.98E-05;3.59E-05;9.29E-05;4.05E-05;3.22E-05;3.31E-05;1.19E-05;4.42E-05;1.31E-05;2.02E-05;5.61E-06;2.09E-05;7.80E-05;8.02E-06;1.42E-05;3.41E-05;6.61E-05;2.47E-05;2.97E-05;1.02E-05;4.23E-05;7.17E-05;1.81E-05;1.44E-05;4.27E-05;1.98E-05;5.81E-05;0.000112078;3.34E-05;9.65E-06;5.90E-05;1.25E-05;7.55E-05;8.28E-05;1.81E-05;5.24E-05;3.73E-05;1.26E-05;1.01E-05;2.72E-05;4.53E-05;3.29E-05;1.93E-05;1.76E-05;1.41E-05;5.79E-05;4.82E-05;8.76E-06;9.69E-06;2.21E-05;2.38E-05;1.40E-05;2.52E-05;2.56E-05;2.69E-05;1.55E-05;2.57E-05;1.05E-05;3.76E-05;5.46E-05;4.54E-05;2.95E-05;4.85E-05;2.94E-05;2.10E-05;3.49E-05
8;5.83E-05;5.44E-05;0.00010802;1.53E-05;2.81E-05;3.70E-05;2.69E-05;2.51E-05;6.73E-05;1.55E-05;1.92E-05;1.58E-05;4.92E-05;1.53E-05;6.38E-06;5.86E-05;7.56E-06;4.21E-05;1.31E-05;1.62E-05;5.79E-05;9.02E-06;1.82E-05;2.99E-05;2.04E-05;5.72E-05;1.02E-05;2.38E-05;4.21E-05;2.40E-05;1.50E-05;3.71E-05;2.04E-05;2.32E-05;5.35E-05;5.45E-05;3.02E-05;3.71E-05;2.67E-05;5.18E-05;3.14E-05;3.84E-05;5.38E-05;1.98E-05;4.85E-05;6.66E-06;6.12E-05;3.32E-05;2.04E-05;1.42E-05;2.89E-05;8.37E-06;7.05E-05;2.66E-05;3.54E-05;1.10E-05;8.15E-05;4.00E-05;1.21E-05;3.07E-05;5.41E-05;0.000104191;2.24E-05;1.67E-05;2.51E-05;3.10E-05;2.87E-05;4.83E-05;1.20E-05;1.66E-05;3.33E-05;9.67E-06;4.75E-05;1.03E-05;1.87E-05;2.18E-05;3.41E-05;3.43E-05;1.25E-05;1.66E-05;1.07E-05;6.33E-05;1.16E-05;3.85E-05;8.78E-06;2.44E-05;2.26E-05;5.24E-05;8.97E-05;6.80E-06;4.38E-05;7.05E-05;3.12E-05;3.16E-05;1.75E-05;1.86E-05;4.07E-05;5.79E-05;4.13E-05;2.52E-05;3.03E-05;5.07E-05;2.75E-05;2.26E-05;9.76E-06;2.63E-05;1.93E-05;1.08E-05;1.68E-05;2.88E-05;4.05E-05;5.79E-05;1.15E-05;9.31E-05;2.70E-05;7.73E-06;5.58E-05;2.83E-05
9;3.12E-05;3.41E-05;1.02E-05;3.33E-05;1.96E-05;9.55E-06;2.99E-05;2.86E-05;2.87E-05;7.93E-05;1.69E-05;3.93E-05;2.62E-05;0.000109511;3.12E-05;8.80E-06;1.17E-05;4.21E-05;3.73E-05;2.07E-05;3.36E-05;2.91E-05;2.52E-05;2.87E-05;0.000102364;2.19E-05;2.09E-05;3.81E-05;9.11E-06;1.33E-05;1.27E-05;1.07E-05;2.27E-05;1.97E-05;2.33E-05;2.47E-05;1.48E-05;4.46E-05;1.65E-05;2.46E-05;2.51E-05;4.84E-05;2.81E-05;4.51E-05;2.38E-05;7.34E-05;2.53E-05;3.46E-05;4.24E-05;1.16E-05;1.63E-05;3.46E-05;2.98E-05;3.59E-05;9.29E-05;4.05E-05;3.22E-05;3.31E-05;1.19E-05;4.42E-05;1.31E-05;2.02E-05;5.61E-06;2.09E-05;7.80E-05;8.02E-06;1.42E-05;3.41E-05;6.61E-05;2.47E-05;2.97E-05;1.02E-05;4.23E-05;7.17E-05;1.81E-05;1.44E-05;4.27E-05;1.98E-05;5.81E-05;0.000112078;3.34E-05;9.65E-06;5.90E-05;1.25E-05;7.55E-05;8.28E-05;1.81E-05;5.24E-05;3.73E-05;1.26E-05;1.01E-05;2.72E-05;4.53E-05;3.29E-05;1.93E-05;1.76E-05;1.41E-05;5.79E-05;4.82E-05;8.76E-06;9.69E-06;2.21E-05;2.38E-05;1.40E-05;2.52E-05;2.56E-05;2.69E-05;1.55E-05;2.57E-05;1.05E-05;3.76E-05;3.96E-05;4.54E-05;2.95E-05;2.07E-05;2.94E-05;2.10E-05;3.49E-05
10;5.83E-05;5.44E-05;1.45E-05;1.53E-05;2.81E-05;3.70E-05;2.29E-05;2.51E-05;6.73E-05;1.55E-05;1.92E-05;1.58E-05;4.92E-05;1.53E-05;6.38E-06;5.86E-05;7.56E-06;4.21E-05;1.31E-05;1.62E-05;5.79E-05;9.02E-06;1.82E-05;2.99E-05;2.04E-05;5.72E-05;1.02E-05;2.38E-05;4.21E-05;2.40E-05;1.50E-05;3.71E-05;2.04E-05;2.32E-05;5.35E-05;5.45E-05;3.02E-05;3.71E-05;2.67E-05;5.18E-05;3.14E-05;3.84E-05;5.38E-05;1.98E-05;4.85E-05;6.66E-06;6.12E-05;3.32E-05;2.04E-05;1.42E-05;2.89E-05;8.37E-06;7.05E-05;2.66E-05;3.54E-05;1.10E-05;8.15E-05;4.00E-05;1.21E-05;3.07E-05;5.41E-05;0.000104191;2.24E-05;1.67E-05;2.51E-05;3.10E-05;2.87E-05;4.83E-05;1.20E-05;1.66E-05;3.33E-05;9.67E-06;4.75E-05;1.03E-05;1.87E-05;2.18E-05;3.41E-05;3.43E-05;1.25E-05;1.66E-05;1.07E-05;6.33E-05;1.16E-05;3.85E-05;8.78E-06;2.44E-05;2.26E-05;5.24E-05;8.97E-05;6.80E-06;4.38E-05;7.05E-05;3.12E-05;3.16E-05;1.75E-05;1.86E-05;4.07E-05;5.79E-05;4.13E-05;2.52E-05;3.03E-05;5.07E-05;2.75E-05;2.26E-05;9.76E-06;2.63E-05;1.93E-05;1.08E-05;1.68E-05;2.88E-05;4.05E-05;5.79E-05;1.15E-05;9.31E-05;2.70E-05;7.73E-06;5.58E-05;2.83E-05
