0;Chain_1;Chain_5;Chain_6;Chain_7;Chain_15;Chain_16;Chain_24;Chain_26;Chain_33;Chain_35;Chain_36;Chain_43;Chain_44;Chain_48;Chain_54;Chain_63;Chain_67;Chain_73;Chain_81;Chain_82;Chain_88;Chain_90;Chain_92;Chain_93;Chain_94;Chain_95;Chain_104;Chain_106;Chain_107;Chain_111;Chain_112;Chain_116;Chain_117;Chain_118;Chain_119;Chain_120;Chain_124;Chain_125;Chain_127;Chain_130;Chain_131;Chain_132;Chain_133;Chain_134;Chain_136;Chain_141;Chain_147;Chain_151;Chain_162;Chain_163;Chain_164;Chain_166;Chain_169;Chain_170;Chain_172;Chain_175;Chain_179;Chain_180;Chain_182;Chain_186;Chain_189;Chain_203;Chain_205;Chain_206;Chain_211;Chain_212;Chain_215;Chain_218;Chain_219;Chain_221;Chain_225;Chain_226;Chain_229;Chain_237;Chain_242;Chain_245;Chain_247;Chain_253;Chain_254;Chain_256;Chain_258;Chain_264;Chain_265;Chain_266;Chain_269;Chain_271;Chain_279;Chain_282;Chain_283;Chain_288;Chain_289;Chain_293;Chain_294;Chain_296;Chain_299;Chain_302;Chain_303;Chain_305;Chain_307;Chain_308;Chain_317;Chain_319;Chain_328;Chain_330;Chain_332;Chain_336;Chain_342;Chain_344;Chain_345;Chain_350;Chain_352;Chain_354;Chain_359;Chain_362;Chain_364;Chain_369;Chain_379;Chain_383
1;5.70E-05;1.87E-05;2.99E-05;3.05E-05;6.24E-05;2.46E-05;6.23E-05;1.20E-05;5.49E-05;3.35E-05;4.39E-05;3.03E-05;4.41E-05;8.68E-05;6.27E-05;2.12E-05;8.96E-05;6.39E-05;1.31E-05;4.89E-05;4.39E-05;6.68E-05;2.56E-05;2.49E-05;1.25E-05;5.55E-05;3.00E-05;2.09E-05;3.63E-05;3.34E-05;5.42E-05;2.09E-05;6.73E-06;3.66E-05;2.85E-05;4.59E-05;1.87E-05;3.75E-05;3.44E-05;3.07E-05;7.47E-05;2.63E-05;1.49E-06;3.52E-05;7.36E-06;0.000114984;3.77E-05;3.46E-05;4.74E-05;3.76E-05;1.70E-05;4.99E-05;5.29E-05;1.30E-05;5.28E-05;4.59E-05;4.35E-05;3.86E-05;7.34E-05;3.25E-05;5.89E-05;1.41E-05;3.37E-05;5.19E-05;1.94E-05;3.02E-05;4.16E-05;3.23E-05;7.52E-05;3.42E-05;6.53E-05;3.57E-05;3.21E-05;3.51E-05;1.61E-05;3.27E-05;3.89E-05;1.05E-05;5.58E-05;8.84E-05;4.26E-05;7.72E-05;5.18E-05;5.20E-05;3.37E-05;5.72E-05;1.34E-05;5.50E-05;4.53E-05;3.87E-05;4.76E-05;5.05E-05;8.02E-05;4.36E-05;4.10E-06;3.09E-05;2.50E-05;6.18E-06;3.82E-05;3.26E-05;2.98E-05;2.22E-05;2.63E-05;5.81E-05;4.61E-05;2.88E-05;6.80E-05;3.02E-05;2.86E-05;9.92E-06;2.54E-05;4.63E-05;5.03E-05;1.63E-05;4.51E-05;5.12E-05;4.95E-05;4.35E-05
2;4.64E-05;-6.02E-06;8.66E-05;3.99E-05;2.79E-05;3.58E-05;1.40E-05;4.38E-05;5.68E-06;5.64E-05;4.34E-05;2.58E-05;1.25E-05;3.86E-05;5.01E-05;4.05E-05;2.39E-05;6.39E-05;2.63E-05;5.27E-05;3.27E-05;2.98E-05;5.89E-05;2.82E-05;3.26E-05;3.89E-05;4.01E-05;2.28E-05;3.27E-05;5.06E-05;4.68E-05;4.55E-05;2.81E-05;4.41E-05;4.60E-05;6.05E-05;4.29E-05;5.87E-05;2.60E-05;2.67E-05;4.01E-05;5.44E-05;4.09E-05;4.09E-05;5.40E-05;3.16E-05;2.59E-05;3.03E-05;3.70E-05;2.13E-05;1.18E-05;3.96E-05;2.65E-05;4.11E-05;6.18E-05;1.40E-05;5.97E-05;5.30E-05;1.38E-05;3.79E-05;5.88E-05;4.89E-05;2.64E-06;8.93E-06;1.91E-05;2.15E-05;3.06E-05;5.39E-05;2.95E-05;3.71E-05;3.31E-05;4.93E-05;6.03E-05;3.24E-05;4.77E-05;-5.66E-06;1.81E-05;5.02E-05;6.05E-05;3.42E-06;5.31E-05;4.94E-05;2.42E-05;3.78E-05;4.42E-05;4.83E-05;4.36E-05;5.50E-05;7.56E-05;3.91E-05;4.67E-05;5.31E-05;1.48E-05;5.89E-05;2.34E-05;2.53E-05;1.50E-05;6.18E-06;3.34E-05;3.00E-05;3.44E-05;5.99E-05;5.21E-05;2.94E-05;3.63E-05;3.53E-05;3.98E-05;1.12E-05;2.89E-05;7.91E-05;4.84E-05;2.55E-05;4.39E-05;7.20E-05;3.59E-05;1.79E-05;4.37E-05;4.53E-05
3;5.70E-05;1.87E-05;2.99E-05;3.05E-05;6.24E-05;2.46E-05;6.23E-05;1.20E-05;5.49E-05;3.35E-05;4.39E-05;3.03E-05;4.41E-05;8.68E-05;6.27E-05;2.12E-05;8.96E-05;6.39E-05;1.31E-05;4.89E-05;4.39E-05;6.68E-05;2.56E-05;2.49E-05;1.25E-05;5.55E-05;3.00E-05;2.09E-05;3.63E-05;3.34E-05;5.42E-05;2.09E-05;4.91E-05;3.66E-05;2.85E-05;4.59E-05;1.87E-05;3.75E-05;3.44E-05;3.07E-05;7.47E-05;2.63E-05;1.49E-06;3.52E-05;7.36E-06;0.000114984;3.77E-05;3.46E-05;4.74E-05;3.76E-05;1.70E-05;4.99E-05;5.29E-05;1.30E-05;5.28E-05;4.59E-05;4.35E-05;3.86E-05;7.34E-05;3.25E-05;5.89E-05;1.41E-05;3.37E-05;5.19E-05;1.94E-05;3.02E-05;4.16E-05;3.23E-05;7.52E-05;3.42E-05;6.53E-05;3.57E-05;3.21E-05;3.51E-05;1.61E-05;3.27E-05;3.89E-05;1.05E-05;5.58E-05;8.84E-05;4.26E-05;7.72E-05;5.18E-05;5.20E-05;3.37E-05;5.72E-05;1.34E-05;5.50E-05;4.53E-05;3.87E-05;4.76E-05;5.05E-05;8.02E-05;4.36E-05;4.10E-06;3.09E-05;2.50E-05;6.18E-06;3.82E-05;3.26E-05;2.98E-05;2.22E-05;2.63E-05;5.81E-05;4.61E-05;2.88E-05;6.80E-05;3.02E-05;2.86E-05;9.92E-06;2.54E-05;4.63E-05;5.03E-05;1.63E-05;4.51E-05;5.12E-05;4.95E-05;4.35E-05
4;4.64E-05;-6.02E-06;8.66E-05;3.99E-05;2.79E-05;3.58E-05;1.40E-05;4.38E-05;5.68E-06;5.64E-05;4.34E-05;2.58E-05;1.25E-05;3.86E-05;5.01E-05;4.05E-05;2.39E-05;6.39E-05;2.63E-05;5.27E-05;3.27E-05;1.02E-05;5.89E-05;2.82E-05;3.26E-05;3.89E-05;4.01E-05;2.28E-05;3.27E-05;5.06E-05;4.68E-05;4.55E-05;2.81E-05;4.41E-05;4.60E-05;6.05E-05;4.29E-05;5.87E-05;2.60E-05;3.84E-05;4.01E-05;5.44E-05;4.09E-05;4.09E-05;5.40E-05;3.16E-05;2.59E-05;3.03E-05;3.70E-05;2.13E-05;1.18E-05;3.96E-05;2.65E-05;4.11E-05;6.18E-05;1.40E-05;5.97E-05;5.30E-05;1.38E-05;3.79E-05;5.88E-05;4.89E-05;2.64E-06;8.93E-06;1.91E-05;2.15E-05;3.06E-05;5.39E-05;2.95E-05;3.71E-05;3.31E-05;4.93E-05;6.03E-05;3.24E-05;4.77E-05;-5.66E-06;1.81E-05;5.02E-05;6.05E-05;3.42E-06;5.31E-05;4.94E-05;2.42E-05;3.78E-05;4.42E-05;4.83E-05;4.36E-05;5.50E-05;7.56E-05;3.91E-05;4.67E-05;5.31E-05;1.48E-05;5.89E-05;2.34E-05;2.53E-05;1.50E-05;6.18E-06;3.34E-05;3.00E-05;3.44E-05;5.99E-05;5.21E-05;2.94E-05;3.63E-05;3.53E-05;3.98E-05;1.12E-05;2.89E-05;7.91E-05;4.84E-05;2.55E-05;4.39E-05;7.20E-05;3.59E-05;1.79E-05;4.37E-05;4.53E-05
5;5.70E-05;1.87E-05;2.99E-05;3.05E-05;6.24E-05;2.46E-05;6.23E-05;1.20E-05;5.49E-05;3.35E-05;4.39E-05;3.03E-05;4.41E-05;8.68E-05;6.27E-05;2.12E-05;8.96E-05;6.39E-05;1.31E-05;4.89E-05;4.39E-05;6.68E-05;2.56E-05;2.49E-05;1.25E-05;5.55E-05;3.00E-05;2.09E-05;3.63E-05;3.34E-05;5.42E-05;2.09E-05;4.91E-05;3.66E-05;2.85E-05;4.59E-05;1.87E-05;3.75E-05;3.44E-05;3.07E-05;7.47E-05;2.63E-05;1.49E-06;3.52E-05;7.36E-06;0.000114984;3.77E-05;3.46E-05;4.74E-05;3.76E-05;1.70E-05;4.99E-05;5.29E-05;1.30E-05;5.28E-05;4.59E-05;4.35E-05;3.86E-05;7.34E-05;3.25E-05;5.89E-05;1.41E-05;3.37E-05;5.19E-05;1.94E-05;3.02E-05;4.16E-05;3.23E-05;7.52E-05;3.42E-05;6.53E-05;3.57E-05;3.21E-05;3.51E-05;1.61E-05;3.27E-05;3.89E-05;1.05E-05;5.58E-05;8.84E-05;4.26E-05;7.72E-05;5.18E-05;5.20E-05;3.37E-05;5.72E-05;1.34E-05;5.50E-05;4.53E-05;3.87E-05;4.76E-05;5.05E-05;8.02E-05;4.36E-05;4.10E-06;3.09E-05;2.50E-05;6.18E-06;3.82E-05;3.26E-05;2.98E-05;2.22E-05;2.63E-05;5.81E-05;4.61E-05;2.88E-05;6.80E-05;3.02E-05;2.86E-05;9.92E-06;2.54E-05;4.63E-05;5.03E-05;1.63E-05;4.51E-05;5.12E-05;4.95E-05;4.35E-05
6;4.64E-05;-6.02E-06;8.66E-05;3.99E-05;2.79E-05;3.58E-05;1.40E-05;4.38E-05;5.68E-06;5.64E-05;4.34E-05;2.58E-05;1.25E-05;3.86E-05;5.01E-05;4.05E-05;2.39E-05;6.39E-05;2.63E-05;5.27E-05;3.27E-05;1.02E-05;5.89E-05;2.82E-05;3.26E-05;3.89E-05;4.01E-05;2.28E-05;3.27E-05;5.06E-05;4.68E-05;4.55E-05;2.81E-05;4.41E-05;4.60E-05;6.05E-05;4.29E-05;5.87E-05;2.60E-05;3.84E-05;4.01E-05;5.44E-05;4.09E-05;4.09E-05;5.40E-05;3.16E-05;2.59E-05;3.03E-05;3.70E-05;2.13E-05;1.18E-05;3.96E-05;2.65E-05;4.11E-05;6.18E-05;1.40E-05;5.97E-05;5.30E-05;1.38E-05;3.79E-05;5.88E-05;4.89E-05;2.64E-06;8.93E-06;1.91E-05;2.15E-05;3.06E-05;5.39E-05;2.95E-05;3.71E-05;3.31E-05;4.93E-05;6.03E-05;3.24E-05;4.77E-05;-5.66E-06;1.81E-05;5.02E-05;6.05E-05;3.42E-06;5.31E-05;4.94E-05;2.42E-05;3.78E-05;4.42E-05;4.83E-05;4.36E-05;5.50E-05;7.56E-05;3.91E-05;4.67E-05;5.31E-05;1.48E-05;5.89E-05;2.34E-05;2.53E-05;1.50E-05;6.18E-06;3.34E-05;3.00E-05;3.44E-05;5.99E-05;5.21E-05;2.94E-05;3.63E-05;3.53E-05;3.98E-05;1.12E-05;2.89E-05;7.91E-05;4.84E-05;2.55E-05;4.39E-05;7.20E-05;3.59E-05;1.79E-05;4.37E-05;5.57E-06
7;5.70E-05;1.87E-05;2.99E-05;3.05E-05;6.24E-05;2.46E-05;6.23E-05;1.20E-05;5.49E-05;3.35E-05;4.39E-05;3.03E-05;4.41E-05;8.68E-05;6.27E-05;2.12E-05;8.96E-05;6.39E-05;1.31E-05;4.89E-05;4.39E-05;6.68E-05;2.56E-05;2.49E-05;1.25E-05;5.55E-05;3.00E-05;2.09E-05;3.63E-05;3.34E-05;5.42E-05;2.09E-05;4.91E-05;3.66E-05;2.85E-05;4.59E-05;1.87E-05;3.75E-05;3.44E-05;3.07E-05;7.47E-05;2.63E-05;1.49E-06;3.52E-05;7.36E-06;0.000114984;3.77E-05;3.46E-05;4.74E-05;3.76E-05;1.70E-05;4.99E-05;4.16E-05;1.30E-05;5.28E-05;4.59E-05;4.35E-05;3.86E-05;7.34E-05;2.86E-05;5.89E-05;1.41E-05;3.37E-05;5.19E-05;1.94E-05;3.02E-05;4.16E-05;3.23E-05;7.52E-05;3.42E-05;6.53E-05;3.57E-05;3.21E-05;3.51E-05;1.61E-05;3.27E-05;3.89E-05;1.05E-05;5.58E-05;8.84E-05;4.26E-05;7.72E-05;5.18E-05;5.20E-05;3.37E-05;5.72E-05;1.34E-05;5.50E-05;4.53E-05;3.87E-05;4.76E-05;5.05E-05;8.02E-05;4.36E-05;6.67E-05;3.09E-05;2.50E-05;6.18E-06;3.82E-05;3.26E-05;2.98E-05;2.22E-05;2.63E-05;5.81E-05;4.61E-05;2.88E-05;6.80E-05;3.02E-05;2.86E-05;9.92E-06;2.54E-05;4.63E-05;5.03E-05;1.63E-05;4.51E-05;5.12E-05;4.95E-05;4.35E-05
8;4.64E-05;-6.02E-06;8.66E-05;3.99E-05;2.79E-05;3.58E-05;1.40E-05;4.38E-05;5.68E-06;5.64E-05;4.34E-05;2.58E-05;1.25E-05;3.86E-05;5.01E-05;4.05E-05;2.39E-05;6.39E-05;2.63E-05;5.27E-05;3.27E-05;1.02E-05;5.89E-05;2.82E-05;3.26E-05;3.89E-05;4.01E-05;2.28E-05;3.27E-05;5.06E-05;4.68E-05;4.55E-05;2.81E-05;4.41E-05;4.60E-05;6.05E-05;4.29E-05;5.87E-05;2.60E-05;3.84E-05;4.01E-05;5.44E-05;4.09E-05;4.09E-05;5.40E-05;3.16E-05;2.59E-05;3.03E-05;3.70E-05;2.13E-05;1.18E-05;3.96E-05;2.65E-05;4.11E-05;6.18E-05;1.40E-05;5.97E-05;5.30E-05;1.38E-05;3.79E-05;5.88E-05;4.89E-05;2.64E-06;8.93E-06;1.91E-05;2.15E-05;3.06E-05;5.39E-05;2.95E-05;3.71E-05;3.31E-05;2.12E-05;6.03E-05;3.24E-05;4.77E-05;-5.66E-06;1.81E-05;5.02E-05;6.05E-05;3.42E-06;5.31E-05;4.94E-05;2.42E-05;3.78E-05;4.42E-05;4.83E-05;4.36E-05;5.50E-05;7.56E-05;3.91E-05;4.67E-05;5.31E-05;1.48E-05;5.89E-05;2.34E-05;2.53E-05;1.50E-05;6.18E-06;3.34E-05;3.00E-05;3.44E-05;5.99E-05;5.21E-05;2.94E-05;3.63E-05;3.53E-05;3.98E-05;1.12E-05;2.89E-05;7.91E-05;4.84E-05;2.55E-05;4.39E-05;7.20E-05;3.59E-05;1.79E-05;4.37E-05;5.57E-06
9;5.70E-05;1.87E-05;2.99E-05;3.05E-05;6.24E-05;2.46E-05;6.23E-05;1.20E-05;5.49E-05;3.35E-05;4.39E-05;3.03E-05;4.41E-05;8.68E-05;6.27E-05;2.12E-05;8.96E-05;6.39E-05;1.31E-05;4.89E-05;4.39E-05;6.68E-05;2.56E-05;2.49E-05;1.25E-05;5.55E-05;3.00E-05;2.09E-05;3.63E-05;3.34E-05;5.42E-05;2.09E-05;4.91E-05;3.66E-05;2.85E-05;4.59E-05;1.87E-05;3.75E-05;3.44E-05;3.07E-05;7.47E-05;2.63E-05;1.49E-06;3.52E-05;7.36E-06;0.000114984;3.77E-05;3.46E-05;4.74E-05;3.76E-05;1.70E-05;4.99E-05;4.16E-05;1.30E-05;5.28E-05;4.59E-05;4.35E-05;3.86E-05;7.34E-05;2.86E-05;5.89E-05;1.41E-05;3.37E-05;5.19E-05;1.94E-05;3.02E-05;4.16E-05;3.23E-05;7.52E-05;3.42E-05;6.53E-05;3.57E-05;3.21E-05;3.51E-05;1.61E-05;3.27E-05;3.89E-05;1.05E-05;5.58E-05;8.84E-05;4.26E-05;7.72E-05;5.18E-05;5.20E-05;3.37E-05;5.72E-05;1.34E-05;5.50E-05;4.53E-05;3.87E-05;4.76E-05;5.05E-05;8.02E-05;4.36E-05;6.67E-05;3.09E-05;2.50E-05;6.18E-06;3.82E-05;3.26E-05;2.98E-05;2.22E-05;2.63E-05;5.81E-05;4.61E-05;2.88E-05;6.80E-05;3.02E-05;2.86E-05;9.92E-06;2.54E-05;5.61E-05;5.03E-05;1.63E-05;2.94E-05;5.12E-05;4.95E-05;4.35E-05
10;4.64E-05;-6.02E-06;4.01E-05;3.99E-05;2.79E-05;3.58E-05;2.39E-05;4.38E-05;5.68E-06;5.64E-05;4.34E-05;2.58E-05;1.25E-05;3.86E-05;5.01E-05;4.05E-05;2.39E-05;6.39E-05;2.63E-05;5.27E-05;3.27E-05;1.02E-05;5.89E-05;2.82E-05;3.26E-05;3.89E-05;4.01E-05;2.28E-05;3.27E-05;5.06E-05;4.68E-05;4.55E-05;2.81E-05;4.41E-05;4.60E-05;6.05E-05;4.29E-05;5.87E-05;2.60E-05;3.84E-05;4.01E-05;5.44E-05;4.09E-05;4.09E-05;5.40E-05;3.16E-05;2.59E-05;3.03E-05;3.70E-05;2.13E-05;1.18E-05;3.96E-05;2.65E-05;4.11E-05;6.18E-05;1.40E-05;5.97E-05;5.30E-05;1.38E-05;3.79E-05;5.88E-05;4.89E-05;2.64E-06;8.93E-06;1.91E-05;2.15E-05;3.06E-05;5.39E-05;2.95E-05;3.71E-05;3.31E-05;2.12E-05;6.03E-05;3.24E-05;4.77E-05;-5.66E-06;1.81E-05;5.02E-05;6.05E-05;3.42E-06;5.31E-05;4.94E-05;2.42E-05;3.78E-05;4.42E-05;4.83E-05;4.36E-05;5.50E-05;7.56E-05;3.91E-05;4.67E-05;5.31E-05;1.48E-05;5.89E-05;2.34E-05;2.53E-05;1.50E-05;6.18E-06;3.34E-05;3.00E-05;3.44E-05;5.99E-05;5.21E-05;2.94E-05;3.63E-05;3.53E-05;3.98E-05;1.12E-05;2.89E-05;7.91E-05;4.84E-05;2.55E-05;4.39E-05;7.20E-05;3.59E-05;1.79E-05;4.37E-05;5.57E-06
