0;Chain_1;Chain_5;Chain_6;Chain_7;Chain_15;Chain_16;Chain_24;Chain_26;Chain_33;Chain_35;Chain_36;Chain_43;Chain_44;Chain_48;Chain_54;Chain_63;Chain_67;Chain_73;Chain_81;Chain_82;Chain_88;Chain_90;Chain_92;Chain_93;Chain_94;Chain_95;Chain_104;Chain_106;Chain_107;Chain_111;Chain_112;Chain_116;Chain_117;Chain_118;Chain_119;Chain_120;Chain_124;Chain_125;Chain_127;Chain_130;Chain_131;Chain_132;Chain_133;Chain_134;Chain_136;Chain_141;Chain_147;Chain_151;Chain_162;Chain_163;Chain_164;Chain_166;Chain_169;Chain_170;Chain_172;Chain_175;Chain_179;Chain_180;Chain_182;Chain_186;Chain_189;Chain_203;Chain_205;Chain_206;Chain_211;Chain_212;Chain_215;Chain_218;Chain_219;Chain_221;Chain_225;Chain_226;Chain_229;Chain_237;Chain_242;Chain_245;Chain_247;Chain_253;Chain_254;Chain_256;Chain_258;Chain_264;Chain_265;Chain_266;Chain_269;Chain_271;Chain_279;Chain_282;Chain_283;Chain_288;Chain_289;Chain_293;Chain_294;Chain_296;Chain_299;Chain_302;Chain_303;Chain_305;Chain_307;Chain_308;Chain_317;Chain_319;Chain_328;Chain_330;Chain_332;Chain_336;Chain_342;Chain_344;Chain_345;Chain_350;Chain_352;Chain_354;Chain_359;Chain_362;Chain_364;Chain_369;Chain_379;Chain_383
1;4.07065082;4.363463319;1.821724137;4.933109936;5.117880619;2.064203104;2.2936546;8.354927442;3.85931033;6.373181806;4.493913391;4.720360854;3.749017039;3.003918855;6.662178995;1.637136321;4.954972442;4.097066772;0.343318258;3.644699039;7.606985582;6.177312007;3.999358979;6.572682265;3.387223656;5.160797495;5.681329663;6.127469332;5.005962694;4.499528929;1.815232837;2.443807851;2.385466217;4.634896203;2.926076312;3.33251285;3.696342262;4.567106821;2.860013781;5.877889204;9.062457561;5.688341161;3.615589913;3.525780731;4.471967148;4.294632531;4.497376437;4.765456735;3.934500765;3.36389356;3.711050531;3.785348719;9.479282618;5.071242567;5.310961619;2.193885849;2.860936646;5.061257822;6.11565745;1.976820181;4.957458002;2.711471152;3.83856436;5.483578324;4.797056063;3.572094307;4.367296085;5.85259198;2.704172805;4.776767316;6.541568124;2.309741375;3.268485797;5.285292641;5.583091701;5.774577704;3.104985424;6.89170203;4.792817269;2.516011862;4.119523903;3.105885171;3.059222033;5.360278624;5.284195889;3.207965252;2.911751439;4.340898705;7.111091434;1.9173639;9.784787194;4.300939962;3.525568746;7.428866915;3.542177147;4.044588548;6.06949161;5.201969872;3.0201967;3.621116471;5.988042581;2.934299553;5.73355294;6.112847476;10.2863281;4.386574925;5.275451237;4.579417683;4.800311691;6.87576623;5.122557955;5.332000928;3.165696217;7.299425375;3.706192762;6.180806523;3.561873833;2.161186734
2;4.131672708;3.631680165;4.954387916;3.179553261;4.034001679;3.547916249;2.804031003;6.388260137;3.479056867;1.66643198;8.782423631;5.728277412;5.426968351;3.016232852;3.516425711;5.223382649;2.183326463;4.097066772;2.146220326;5.591410769;6.90958042;2.766147114;3.507852151;4.647522314;2.733323615;4.524304391;2.569813716;4.902710614;6.095151114;5.484173827;4.359773369;1.966351171;3.720329219;6.029750476;5.657751685;4.85943308;5.014367762;4.609069437;7.95142412;4.867562572;4.937907324;3.697849837;3.776936867;2.895782925;6.525570861;2.996285655;3.512828326;4.379680614;4.275060227;4.854050598;4.150407551;2.281744052;4.517343686;4.822499495;4.15909452;3.304046753;4.403778746;2.473257733;2.345783087;4.787389015;1.722247942;3.330707327;5.368807103;6.584278078;1.763400054;3.700190873;4.407811315;3.568555037;2.621159602;5.016941955;4.832501821;5.083746391;2.316425766;6.591570997;3.498512192;7.088036077;0.653353291;7.415534817;4.671465412;6.276408455;2.648258672;4.868354048;3.075832138;5.739032875;1.907451138;5.972053476;4.338357634;4.340898705;5.157118331;3.670793724;3.180249906;1.781041518;3.91509044;4.875109637;4.216950469;2.512593342;5.150849694;5.201969872;4.300430845;9.520953079;3.948646703;2.597702881;5.137784931;8.025384773;2.626981401;6.993040915;4.083191999;1.214771708;4.3004331;5.694660236;4.853836914;3.294688879;2.599625995;4.403397369;5.349978624;3.873019248;0.617731998;2.86809161
3;4.07065082;4.363463319;1.821724137;4.933109936;5.117880619;2.064203104;2.2936546;8.354927442;3.85931033;6.373181806;4.493913391;4.720360854;3.749017039;3.003918855;6.662178995;1.637136321;4.954972442;4.097066772;0.343318258;3.644699039;7.606985582;6.177312007;3.999358979;6.572682265;3.387223656;5.160797495;5.681329663;6.127469332;5.005962694;4.499528929;1.815232837;2.443807851;5.074147554;4.634896203;2.926076312;3.33251285;3.696342262;4.567106821;2.860013781;5.877889204;9.062457561;5.688341161;3.615589913;3.525780731;4.471967148;4.294632531;4.497376437;4.765456735;3.934500765;3.36389356;3.711050531;3.785348719;9.479282618;5.071242567;5.310961619;2.193885849;2.860936646;5.061257822;6.11565745;1.976820181;4.957458002;2.711471152;3.83856436;5.483578324;4.797056063;3.572094307;4.367296085;5.85259198;2.704172805;4.776767316;6.541568124;2.309741375;3.268485797;5.285292641;5.583091701;5.774577704;3.104985424;6.89170203;4.792817269;2.516011862;4.119523903;3.105885171;3.059222033;5.360278624;5.284195889;3.207965252;2.911751439;4.340898705;7.111091434;1.9173639;9.784787194;4.300939962;3.525568746;7.428866915;3.542177147;4.044588548;6.06949161;5.201969872;3.0201967;3.621116471;5.988042581;2.934299553;5.73355294;6.112847476;10.2863281;4.386574925;5.275451237;4.579417683;4.800311691;6.87576623;5.122557955;5.332000928;3.165696217;7.299425375;3.706192762;6.180806523;3.561873833;2.161186734
4;4.131672708;3.631680165;4.954387916;3.179553261;4.034001679;3.547916249;2.804031003;6.388260137;3.479056867;1.66643198;8.782423631;5.728277412;5.426968351;3.016232852;3.516425711;5.223382649;2.183326463;4.097066772;2.146220326;5.591410769;6.90958042;1.915429008;3.507852151;4.647522314;2.733323615;4.524304391;2.569813716;4.902710614;6.095151114;5.484173827;4.359773369;1.966351171;3.720329219;6.029750476;5.657751685;4.85943308;5.014367762;4.609069437;7.95142412;3.878591412;4.937907324;3.697849837;3.776936867;2.895782925;6.525570861;2.996285655;3.512828326;4.379680614;4.275060227;4.854050598;4.150407551;2.281744052;4.517343686;4.822499495;4.15909452;3.304046753;4.403778746;2.473257733;2.345783087;4.787389015;1.722247942;3.330707327;5.368807103;6.584278078;1.763400054;3.700190873;4.407811315;3.568555037;2.621159602;5.016941955;4.832501821;5.083746391;2.316425766;6.591570997;3.498512192;7.088036077;0.653353291;7.415534817;4.671465412;6.276408455;2.648258672;4.868354048;3.075832138;5.739032875;1.907451138;5.972053476;4.338357634;4.340898705;5.157118331;3.670793724;3.180249906;1.781041518;3.91509044;4.875109637;4.216950469;2.512593342;5.150849694;5.201969872;4.300430845;9.520953079;3.948646703;2.597702881;5.137784931;8.025384773;2.626981401;6.993040915;4.083191999;1.214771708;4.3004331;5.694660236;4.853836914;3.294688879;2.599625995;4.403397369;5.349978624;3.873019248;0.617731998;2.86809161
5;4.07065082;4.363463319;1.821724137;4.933109936;5.117880619;2.064203104;2.2936546;8.354927442;3.85931033;6.373181806;4.493913391;4.720360854;3.749017039;3.003918855;6.662178995;1.637136321;4.954972442;4.097066772;0.343318258;3.644699039;7.606985582;6.177312007;3.999358979;6.572682265;3.387223656;5.160797495;5.681329663;6.127469332;5.005962694;4.499528929;1.815232837;2.443807851;5.074147554;4.634896203;2.926076312;3.33251285;3.696342262;4.567106821;2.860013781;5.877889204;9.062457561;5.688341161;3.615589913;3.525780731;4.471967148;4.294632531;4.497376437;4.765456735;3.934500765;3.36389356;3.711050531;3.785348719;9.479282618;5.071242567;5.310961619;2.193885849;2.860936646;5.061257822;6.11565745;1.976820181;4.957458002;2.711471152;3.83856436;5.483578324;4.797056063;3.572094307;4.367296085;5.85259198;2.704172805;4.776767316;6.541568124;2.309741375;3.268485797;5.285292641;5.583091701;5.774577704;3.104985424;6.89170203;4.792817269;2.516011862;4.119523903;3.105885171;3.059222033;5.360278624;5.284195889;3.207965252;2.911751439;4.340898705;7.111091434;1.9173639;9.784787194;4.300939962;3.525568746;7.428866915;3.542177147;4.044588548;6.06949161;5.201969872;3.0201967;3.621116471;5.988042581;2.934299553;5.73355294;6.112847476;10.2863281;4.386574925;5.275451237;4.579417683;4.800311691;6.87576623;5.122557955;5.332000928;3.165696217;7.299425375;3.706192762;6.180806523;3.561873833;2.161186734
6;4.131672708;3.631680165;4.954387916;3.179553261;4.034001679;3.547916249;2.804031003;6.388260137;3.479056867;1.66643198;8.782423631;5.728277412;5.426968351;3.016232852;3.516425711;5.223382649;2.183326463;4.097066772;2.146220326;5.591410769;6.90958042;1.915429008;3.507852151;4.647522314;2.733323615;4.524304391;2.569813716;4.902710614;6.095151114;5.484173827;4.359773369;1.966351171;3.720329219;6.029750476;5.657751685;4.85943308;5.014367762;4.609069437;7.95142412;3.878591412;4.937907324;3.697849837;3.776936867;2.895782925;6.525570861;2.996285655;3.512828326;4.379680614;4.275060227;4.854050598;4.150407551;2.281744052;4.517343686;4.822499495;4.15909452;3.304046753;4.403778746;2.473257733;2.345783087;4.787389015;1.722247942;3.330707327;5.368807103;6.584278078;1.763400054;3.700190873;4.407811315;3.568555037;2.621159602;5.016941955;4.832501821;5.083746391;2.316425766;6.591570997;3.498512192;7.088036077;0.653353291;7.415534817;4.671465412;6.276408455;2.648258672;4.868354048;3.075832138;5.739032875;1.907451138;5.972053476;4.338357634;4.340898705;5.157118331;3.670793724;3.180249906;1.781041518;3.91509044;4.875109637;4.216950469;2.512593342;5.150849694;5.201969872;4.300430845;9.520953079;3.948646703;2.597702881;5.137784931;8.025384773;2.626981401;6.993040915;4.083191999;1.214771708;4.3004331;5.694660236;4.853836914;3.294688879;2.599625995;4.403397369;5.349978624;3.873019248;0.617731998;6.044354234
7;4.07065082;4.363463319;1.821724137;4.933109936;5.117880619;2.064203104;2.2936546;8.354927442;3.85931033;6.373181806;4.493913391;4.720360854;3.749017039;3.003918855;6.662178995;1.637136321;4.954972442;4.097066772;0.343318258;3.644699039;7.606985582;6.177312007;3.999358979;6.572682265;3.387223656;5.160797495;5.681329663;6.127469332;5.005962694;4.499528929;1.815232837;2.443807851;5.074147554;4.634896203;2.926076312;3.33251285;3.696342262;4.567106821;2.860013781;5.877889204;9.062457561;5.688341161;3.615589913;3.525780731;4.471967148;4.294632531;4.497376437;4.765456735;3.934500765;3.36389356;3.711050531;3.785348719;7.987198652;5.071242567;5.310961619;2.193885849;2.860936646;5.061257822;6.11565745;3.362718437;4.957458002;2.711471152;3.83856436;5.483578324;4.797056063;3.572094307;4.367296085;5.85259198;2.704172805;4.776767316;6.541568124;2.309741375;3.268485797;5.285292641;5.583091701;5.774577704;3.104985424;6.89170203;4.792817269;2.516011862;4.119523903;3.105885171;3.059222033;5.360278624;5.284195889;3.207965252;2.911751439;4.340898705;7.111091434;1.9173639;9.784787194;4.300939962;3.525568746;7.428866915;3.727742807;4.044588548;6.06949161;5.201969872;3.0201967;3.621116471;5.988042581;2.934299553;5.73355294;6.112847476;10.2863281;4.386574925;5.275451237;4.579417683;4.800311691;6.87576623;5.122557955;5.332000928;3.165696217;7.299425375;3.706192762;6.180806523;3.561873833;2.161186734
8;4.131672708;3.631680165;4.954387916;3.179553261;4.034001679;3.547916249;2.804031003;6.388260137;3.479056867;1.66643198;8.782423631;5.728277412;5.426968351;3.016232852;3.516425711;5.223382649;2.183326463;4.097066772;2.146220326;5.591410769;6.90958042;1.915429008;3.507852151;4.647522314;2.733323615;4.524304391;2.569813716;4.902710614;6.095151114;5.484173827;4.359773369;1.966351171;3.720329219;6.029750476;5.657751685;4.85943308;5.014367762;4.609069437;7.95142412;3.878591412;4.937907324;3.697849837;3.776936867;2.895782925;6.525570861;2.996285655;3.512828326;4.379680614;4.275060227;4.854050598;4.150407551;2.281744052;4.517343686;4.822499495;4.15909452;3.304046753;4.403778746;2.473257733;2.345783087;4.787389015;1.722247942;3.330707327;5.368807103;6.584278078;1.763400054;3.700190873;4.407811315;3.568555037;2.621159602;5.016941955;4.832501821;2.383180967;2.316425766;6.591570997;3.498512192;7.088036077;0.653353291;7.415534817;4.671465412;6.276408455;2.648258672;4.868354048;3.075832138;5.739032875;1.907451138;5.972053476;4.338357634;4.340898705;5.157118331;3.670793724;3.180249906;1.781041518;3.91509044;4.875109637;4.216950469;2.512593342;5.150849694;5.201969872;4.300430845;9.520953079;3.948646703;2.597702881;5.137784931;8.025384773;2.626981401;6.993040915;4.083191999;1.214771708;4.3004331;5.694660236;4.853836914;3.294688879;2.599625995;4.403397369;5.349978624;3.873019248;0.617731998;6.044354234
9;4.07065082;4.363463319;1.821724137;4.933109936;5.117880619;2.064203104;2.2936546;8.354927442;3.85931033;6.373181806;4.493913391;4.720360854;3.749017039;3.003918855;6.662178995;1.637136321;4.954972442;4.097066772;0.343318258;3.644699039;7.606985582;6.177312007;3.999358979;6.572682265;3.387223656;5.160797495;5.681329663;6.127469332;5.005962694;4.499528929;1.815232837;2.443807851;5.074147554;4.634896203;2.926076312;3.33251285;3.696342262;4.567106821;2.860013781;5.877889204;9.062457561;5.688341161;3.615589913;3.525780731;4.471967148;4.294632531;4.497376437;4.765456735;3.934500765;3.36389356;3.711050531;3.785348719;7.987198652;5.071242567;5.310961619;2.193885849;2.860936646;5.061257822;6.11565745;3.362718437;4.957458002;2.711471152;3.83856436;5.483578324;4.797056063;3.572094307;4.367296085;5.85259198;2.704172805;4.776767316;6.541568124;2.309741375;3.268485797;5.285292641;5.583091701;5.774577704;3.104985424;6.89170203;4.792817269;2.516011862;4.119523903;3.105885171;3.059222033;5.360278624;5.284195889;3.207965252;2.911751439;4.340898705;7.111091434;1.9173639;9.784787194;4.300939962;3.525568746;7.428866915;3.727742807;4.044588548;6.06949161;5.201969872;3.0201967;3.621116471;5.988042581;2.934299553;5.73355294;6.112847476;10.2863281;4.386574925;5.275451237;4.579417683;4.800311691;6.87576623;5.122557955;3.119010931;3.165696217;7.299425375;4.356846576;6.180806523;3.561873833;2.161186734
10;4.131672708;3.631680165;2.36973511;3.179553261;4.034001679;3.547916249;5.27223824;6.388260137;3.479056867;1.66643198;8.782423631;5.728277412;5.426968351;3.016232852;3.516425711;5.223382649;2.183326463;4.097066772;2.146220326;5.591410769;6.90958042;1.915429008;3.507852151;4.647522314;2.733323615;4.524304391;2.569813716;4.902710614;6.095151114;5.484173827;4.359773369;1.966351171;3.720329219;6.029750476;5.657751685;4.85943308;5.014367762;4.609069437;7.95142412;3.878591412;4.937907324;3.697849837;3.776936867;2.895782925;6.525570861;2.996285655;3.512828326;4.379680614;4.275060227;4.854050598;4.150407551;2.281744052;4.517343686;4.822499495;4.15909452;3.304046753;4.403778746;2.473257733;2.345783087;4.787389015;1.722247942;3.330707327;5.368807103;6.584278078;1.763400054;3.700190873;4.407811315;3.568555037;2.621159602;5.016941955;4.832501821;2.383180967;2.316425766;6.591570997;3.498512192;7.088036077;0.653353291;7.415534817;4.671465412;6.276408455;2.648258672;4.868354048;3.075832138;5.739032875;1.907451138;5.972053476;4.338357634;4.340898705;5.157118331;3.670793724;3.180249906;1.781041518;3.91509044;4.875109637;4.216950469;2.512593342;5.150849694;5.201969872;4.300430845;9.520953079;3.948646703;2.597702881;5.137784931;8.025384773;2.626981401;6.993040915;4.083191999;1.214771708;4.3004331;5.694660236;4.853836914;3.294688879;2.599625995;4.403397369;5.349978624;3.873019248;0.617731998;6.044354234
