0;Chain_1;Chain_5;Chain_6;Chain_7;Chain_15;Chain_16;Chain_24;Chain_26;Chain_33;Chain_35;Chain_36;Chain_43;Chain_44;Chain_48;Chain_54;Chain_63;Chain_67;Chain_73;Chain_81;Chain_82;Chain_88;Chain_90;Chain_92;Chain_93;Chain_94;Chain_95;Chain_104;Chain_106;Chain_107;Chain_111;Chain_112;Chain_116;Chain_117;Chain_118;Chain_119;Chain_120;Chain_124;Chain_125;Chain_127;Chain_130;Chain_131;Chain_132;Chain_133;Chain_134;Chain_136;Chain_141;Chain_147;Chain_151;Chain_162;Chain_163;Chain_164;Chain_166;Chain_169;Chain_170;Chain_172;Chain_175;Chain_179;Chain_180;Chain_182;Chain_186;Chain_189;Chain_203;Chain_205;Chain_206;Chain_211;Chain_212;Chain_215;Chain_218;Chain_219;Chain_221;Chain_225;Chain_226;Chain_229;Chain_237;Chain_242;Chain_245;Chain_247;Chain_253;Chain_254;Chain_256;Chain_258;Chain_264;Chain_265;Chain_266;Chain_269;Chain_271;Chain_279;Chain_282;Chain_283;Chain_288;Chain_289;Chain_293;Chain_294;Chain_296;Chain_299;Chain_302;Chain_303;Chain_305;Chain_307;Chain_308;Chain_317;Chain_319;Chain_328;Chain_330;Chain_332;Chain_336;Chain_342;Chain_344;Chain_345;Chain_350;Chain_352;Chain_354;Chain_359;Chain_362;Chain_364;Chain_369;Chain_379;Chain_383
1;2.302718286;8.158838017;4.244536013;2.836090087;1.457500181;3.683501041;5.670585111;6.890858539;2.475662288;6.075147005;0.212238423;2.372525185;2.438946163;5.322184557;8.745405509;2.035874638;3.708771323;1.676331998;2.115570486;2.193795345;7.295687826;1.242508768;3.066987845;7.956595425;5.550126654;1.495289355;0.80078597;8.116682898;2.453521917;2.874533011;0.645736681;1.861294621;1.830113286;4.379104916;4.010359626;2.720798338;5.17264383;4.983128987;2.357242242;4.032971641;5.260586972;2.647036867;2.357323622;0.824007514;7.09369999;5.028115969;6.818671672;1.316077476;2.461247861;1.478788087;2.477397042;3.049329736;0.602445544;4.56066398;3.19114872;2.00532363;3.155713034;3.974011832;2.222405401;1.868458638;4.478996802;3.655233842;3.068089374;2.362176656;5.315030436;2.083949087;8.055866233;3.793301581;5.785801047;2.562429017;3.527940114;1.987403119;1.720619731;5.500472689;2.261082014;8.066235289;3.668139847;2.234623169;7.148816609;6.621460655;1.97627938;5.499330279;5.248393127;2.12661514;3.161276727;4.178674557;3.551093672;3.645213235;6.10276854;3.899566428;3.71264628;4.089994745;5.529243106;8.065333488;2.756355422;1.559470321;5.743768538;4.799602317;3.750619434;1.881121096;1.514482598;1.950621731;3.55621691;3.193093795;7.261485297;4.874917855;3.137664511;4.043876983;7.073977193;4.277457366;3.415261402;5.855619505;0.911379205;8.877741839;3.160218954;2.549231476;2.401328778;5.629890308
2;7.113236449;6.589662311;5.960846914;0.764383849;2.052452787;3.126934957;1.031155595;3.085408139;1.950035402;1.64590897;5.470364807;6.039917659;2.256390904;4.540361204;2.51629917;4.44304591;4.958860536;1.676331998;3.426970766;4.15494272;2.375127522;3.877669874;4.359818486;3.541125232;2.891379462;3.076073119;2.674277177;2.866654408;1.631253225;2.843612395;2.181644706;2.469774235;3.201175118;3.207494428;2.029391058;2.843792999;4.753950432;1.456258332;5.855937454;5.791107453;5.1461516;5.096021348;2.418988433;4.677112732;2.587711178;0.590424673;1.469165789;4.427900143;2.48529705;5.762283786;1.739596323;2.311505076;3.07445929;7.540186093;2.614745506;5.004542871;5.31478944;5.768969779;3.261204388;1.923344811;4.400431138;6.854975005;6.821962546;4.899507005;2.971210023;5.499262953;7.210459021;3.083176684;3.780301431;4.900534345;3.184015498;2.038659848;1.036931999;3.684940459;1.956790075;6.828614878;1.96155881;4.644923721;3.930066058;7.658670985;2.607984215;4.577574059;2.730865925;3.487405299;1.817928192;1.133460226;3.614584849;3.645213235;4.840996085;2.448269026;3.616006347;4.601585975;3.023655287;1.985640575;3.08314944;1.71092757;2.679168087;4.799602317;3.640011734;6.583996084;1.579760759;5.942308071;0.481969083;4.678491318;2.322265698;3.837852098;1.888074962;2.34090876;1.185922739;2.140243633;4.610264449;2.271862222;0.967309466;5.949200534;3.388815733;1.217957037;4.197749698;2.152957256
3;2.302718286;8.158838017;4.244536013;2.836090087;1.457500181;3.683501041;5.670585111;6.890858539;2.475662288;6.075147005;0.212238423;2.372525185;2.438946163;5.322184557;8.745405509;2.035874638;3.708771323;1.676331998;2.115570486;2.193795345;7.295687826;1.242508768;3.066987845;7.956595425;5.550126654;1.495289355;0.80078597;8.116682898;2.453521917;2.874533011;0.645736681;1.861294621;2.022473126;4.379104916;4.010359626;2.720798338;5.17264383;4.983128987;2.357242242;4.032971641;5.260586972;2.647036867;2.357323622;0.824007514;7.09369999;5.028115969;6.818671672;1.316077476;2.461247861;1.478788087;2.477397042;3.049329736;0.602445544;4.56066398;3.19114872;2.00532363;3.155713034;3.974011832;2.222405401;1.868458638;4.478996802;3.655233842;3.068089374;2.362176656;5.315030436;2.083949087;8.055866233;3.793301581;5.785801047;2.562429017;3.527940114;1.987403119;1.720619731;5.500472689;2.261082014;8.066235289;3.668139847;2.234623169;7.148816609;6.621460655;1.97627938;5.499330279;5.248393127;2.12661514;3.161276727;4.178674557;3.551093672;3.645213235;6.10276854;3.899566428;3.71264628;4.089994745;5.529243106;8.065333488;2.756355422;1.559470321;5.743768538;4.799602317;3.750619434;1.881121096;1.514482598;1.950621731;3.55621691;3.193093795;7.261485297;4.874917855;3.137664511;4.043876983;7.073977193;4.277457366;3.415261402;5.855619505;0.911379205;8.877741839;3.160218954;2.549231476;2.401328778;5.629890308
4;7.113236449;6.589662311;5.960846914;0.764383849;2.052452787;3.126934957;1.031155595;3.085408139;1.950035402;1.64590897;5.470364807;6.039917659;2.256390904;4.540361204;2.51629917;4.44304591;4.958860536;1.676331998;3.426970766;4.15494272;2.375127522;2.910985429;4.359818486;3.541125232;2.891379462;3.076073119;2.674277177;2.866654408;1.631253225;2.843612395;2.181644706;2.469774235;3.201175118;3.207494428;2.029391058;2.843792999;4.753950432;1.456258332;5.855937454;1.664963932;5.1461516;5.096021348;2.418988433;4.677112732;2.587711178;0.590424673;1.469165789;4.427900143;2.48529705;5.762283786;1.739596323;2.311505076;3.07445929;7.540186093;2.614745506;5.004542871;5.31478944;5.768969779;3.261204388;1.923344811;4.400431138;6.854975005;6.821962546;4.899507005;2.971210023;5.499262953;7.210459021;3.083176684;3.780301431;4.900534345;3.184015498;2.038659848;1.036931999;3.684940459;1.956790075;6.828614878;1.96155881;4.644923721;3.930066058;7.658670985;2.607984215;4.577574059;2.730865925;3.487405299;1.817928192;1.133460226;3.614584849;3.645213235;4.840996085;2.448269026;3.616006347;4.601585975;3.023655287;1.985640575;3.08314944;1.71092757;2.679168087;4.799602317;3.640011734;6.583996084;1.579760759;5.942308071;0.481969083;4.678491318;2.322265698;3.837852098;1.888074962;2.34090876;1.185922739;2.140243633;4.610264449;2.271862222;0.967309466;5.949200534;3.388815733;1.217957037;4.197749698;2.152957256
5;2.302718286;8.158838017;4.244536013;2.836090087;1.457500181;3.683501041;5.670585111;6.890858539;2.475662288;6.075147005;0.212238423;2.372525185;2.438946163;5.322184557;8.745405509;2.035874638;3.708771323;1.676331998;2.115570486;2.193795345;7.295687826;1.242508768;3.066987845;7.956595425;5.550126654;1.495289355;0.80078597;8.116682898;2.453521917;2.874533011;0.645736681;1.861294621;2.022473126;4.379104916;4.010359626;2.720798338;5.17264383;4.983128987;2.357242242;4.032971641;5.260586972;2.647036867;2.357323622;0.824007514;7.09369999;5.028115969;6.818671672;1.316077476;2.461247861;1.478788087;2.477397042;3.049329736;0.602445544;4.56066398;3.19114872;2.00532363;3.155713034;3.974011832;2.222405401;1.868458638;4.478996802;3.655233842;3.068089374;2.362176656;5.315030436;2.083949087;8.055866233;3.793301581;5.785801047;2.562429017;3.527940114;1.987403119;1.720619731;5.500472689;2.261082014;8.066235289;3.668139847;2.234623169;7.148816609;6.621460655;1.97627938;5.499330279;5.248393127;2.12661514;3.161276727;4.178674557;3.551093672;3.645213235;6.10276854;3.899566428;3.71264628;4.089994745;5.529243106;8.065333488;2.756355422;1.559470321;5.743768538;4.799602317;3.750619434;1.881121096;1.514482598;1.950621731;3.55621691;3.193093795;7.261485297;4.874917855;3.137664511;4.043876983;7.073977193;4.277457366;3.415261402;5.855619505;0.911379205;8.877741839;3.160218954;2.549231476;2.401328778;5.629890308
6;7.113236449;6.589662311;5.960846914;0.764383849;2.052452787;3.126934957;1.031155595;3.085408139;1.950035402;1.64590897;5.470364807;6.039917659;2.256390904;4.540361204;2.51629917;4.44304591;4.958860536;1.676331998;3.426970766;4.15494272;2.375127522;2.910985429;4.359818486;3.541125232;2.891379462;3.076073119;2.674277177;2.866654408;1.631253225;2.843612395;2.181644706;2.469774235;3.201175118;3.207494428;2.029391058;2.843792999;4.753950432;1.456258332;5.855937454;1.664963932;5.1461516;5.096021348;2.418988433;4.677112732;2.587711178;0.590424673;1.469165789;4.427900143;2.48529705;5.762283786;1.739596323;2.311505076;3.07445929;7.540186093;2.614745506;5.004542871;5.31478944;5.768969779;3.261204388;1.923344811;4.400431138;6.854975005;6.821962546;4.899507005;2.971210023;5.499262953;7.210459021;3.083176684;3.780301431;4.900534345;3.184015498;2.038659848;1.036931999;3.684940459;1.956790075;6.828614878;1.96155881;4.644923721;3.930066058;7.658670985;2.607984215;4.577574059;2.730865925;3.487405299;1.817928192;1.133460226;3.614584849;3.645213235;4.840996085;2.448269026;3.616006347;4.601585975;3.023655287;1.985640575;3.08314944;1.71092757;2.679168087;4.799602317;3.640011734;6.583996084;1.579760759;5.942308071;0.481969083;4.678491318;2.322265698;3.837852098;1.888074962;2.34090876;1.185922739;2.140243633;4.610264449;2.271862222;0.967309466;5.949200534;3.388815733;1.217957037;4.197749698;2.178898564
7;2.302718286;8.158838017;4.244536013;2.836090087;1.457500181;3.683501041;5.670585111;6.890858539;2.475662288;6.075147005;0.212238423;2.372525185;2.438946163;5.322184557;8.745405509;2.035874638;3.708771323;1.676331998;2.115570486;2.193795345;7.295687826;1.242508768;3.066987845;7.956595425;5.550126654;1.495289355;0.80078597;8.116682898;2.453521917;2.874533011;0.645736681;1.861294621;2.022473126;4.379104916;4.010359626;2.720798338;5.17264383;4.983128987;2.357242242;4.032971641;5.260586972;2.647036867;2.357323622;0.824007514;7.09369999;5.028115969;6.818671672;1.316077476;2.461247861;1.478788087;2.477397042;3.049329736;6.454676966;4.56066398;3.19114872;2.00532363;3.155713034;3.974011832;2.222405401;3.429771737;4.478996802;3.655233842;3.068089374;2.362176656;5.315030436;2.083949087;8.055866233;3.793301581;5.785801047;2.562429017;3.527940114;1.987403119;1.720619731;5.500472689;2.261082014;8.066235289;3.668139847;2.234623169;7.148816609;6.621460655;1.97627938;5.499330279;5.248393127;2.12661514;3.161276727;4.178674557;3.551093672;3.645213235;6.10276854;3.899566428;3.71264628;4.089994745;5.529243106;8.065333488;4.085522417;1.559470321;5.743768538;4.799602317;3.750619434;1.881121096;1.514482598;1.950621731;3.55621691;3.193093795;7.261485297;4.874917855;3.137664511;4.043876983;7.073977193;4.277457366;3.415261402;5.855619505;0.911379205;8.877741839;3.160218954;2.549231476;2.401328778;5.629890308
8;7.113236449;6.589662311;5.960846914;0.764383849;2.052452787;3.126934957;1.031155595;3.085408139;1.950035402;1.64590897;5.470364807;6.039917659;2.256390904;4.540361204;2.51629917;4.44304591;4.958860536;1.676331998;3.426970766;4.15494272;2.375127522;2.910985429;4.359818486;3.541125232;2.891379462;3.076073119;2.674277177;2.866654408;1.631253225;2.843612395;2.181644706;2.469774235;3.201175118;3.207494428;2.029391058;2.843792999;4.753950432;1.456258332;5.855937454;1.664963932;5.1461516;5.096021348;2.418988433;4.677112732;2.587711178;0.590424673;1.469165789;4.427900143;2.48529705;5.762283786;1.739596323;2.311505076;3.07445929;7.540186093;2.614745506;5.004542871;5.31478944;5.768969779;3.261204388;1.923344811;4.400431138;6.854975005;6.821962546;4.899507005;2.971210023;5.499262953;7.210459021;3.083176684;3.780301431;4.900534345;3.184015498;4.407048908;1.036931999;3.684940459;1.956790075;6.828614878;1.96155881;4.644923721;3.930066058;7.658670985;2.607984215;4.577574059;2.730865925;3.487405299;1.817928192;1.133460226;3.614584849;3.645213235;4.840996085;2.448269026;3.616006347;4.601585975;3.023655287;1.985640575;3.08314944;1.71092757;2.679168087;4.799602317;3.640011734;6.583996084;1.579760759;5.942308071;0.481969083;4.678491318;2.322265698;3.837852098;1.888074962;2.34090876;1.185922739;2.140243633;4.610264449;2.271862222;0.967309466;5.949200534;3.388815733;1.217957037;4.197749698;2.178898564
9;2.302718286;8.158838017;4.244536013;2.836090087;1.457500181;3.683501041;5.670585111;6.890858539;2.475662288;6.075147005;0.212238423;2.372525185;2.438946163;5.322184557;8.745405509;2.035874638;3.708771323;1.676331998;2.115570486;2.193795345;7.295687826;1.242508768;3.066987845;7.956595425;5.550126654;1.495289355;0.80078597;8.116682898;2.453521917;2.874533011;0.645736681;1.861294621;2.022473126;4.379104916;4.010359626;2.720798338;5.17264383;4.983128987;2.357242242;4.032971641;5.260586972;2.647036867;2.357323622;0.824007514;7.09369999;5.028115969;6.818671672;1.316077476;2.461247861;1.478788087;2.477397042;3.049329736;6.454676966;4.56066398;3.19114872;2.00532363;3.155713034;3.974011832;2.222405401;3.429771737;4.478996802;3.655233842;3.068089374;2.362176656;5.315030436;2.083949087;8.055866233;3.793301581;5.785801047;2.562429017;3.527940114;1.987403119;1.720619731;5.500472689;2.261082014;8.066235289;3.668139847;2.234623169;7.148816609;6.621460655;1.97627938;5.499330279;5.248393127;2.12661514;3.161276727;4.178674557;3.551093672;3.645213235;6.10276854;3.899566428;3.71264628;4.089994745;5.529243106;8.065333488;4.085522417;1.559470321;5.743768538;4.799602317;3.750619434;1.881121096;1.514482598;1.950621731;3.55621691;3.193093795;7.261485297;4.874917855;3.137664511;4.043876983;7.073977193;4.277457366;3.415261402;4.304872666;0.911379205;8.877741839;5.291194636;2.549231476;2.401328778;5.629890308
10;7.113236449;6.589662311;5.937994778;0.764383849;2.052452787;3.126934957;6.661116167;3.085408139;1.950035402;1.64590897;5.470364807;6.039917659;2.256390904;4.540361204;2.51629917;4.44304591;4.958860536;1.676331998;3.426970766;4.15494272;2.375127522;2.910985429;4.359818486;3.541125232;2.891379462;3.076073119;2.674277177;2.866654408;1.631253225;2.843612395;2.181644706;2.469774235;3.201175118;3.207494428;2.029391058;2.843792999;4.753950432;1.456258332;5.855937454;1.664963932;5.1461516;5.096021348;2.418988433;4.677112732;2.587711178;0.590424673;1.469165789;4.427900143;2.48529705;5.762283786;1.739596323;2.311505076;3.07445929;7.540186093;2.614745506;5.004542871;5.31478944;5.768969779;3.261204388;1.923344811;4.400431138;6.854975005;6.821962546;4.899507005;2.971210023;5.499262953;7.210459021;3.083176684;3.780301431;4.900534345;3.184015498;4.407048908;1.036931999;3.684940459;1.956790075;6.828614878;1.96155881;4.644923721;3.930066058;7.658670985;2.607984215;4.577574059;2.730865925;3.487405299;1.817928192;1.133460226;3.614584849;3.645213235;4.840996085;2.448269026;3.616006347;4.601585975;3.023655287;1.985640575;3.08314944;1.71092757;2.679168087;4.799602317;3.640011734;6.583996084;1.579760759;5.942308071;0.481969083;4.678491318;2.322265698;3.837852098;1.888074962;2.34090876;1.185922739;2.140243633;4.610264449;2.271862222;0.967309466;5.949200534;3.388815733;1.217957037;4.197749698;2.178898564
