;a_EP;a_Err_EP;T_L_EP;T_L_Err_EP;T_M_EP;T_M_Err_EP;m_EP;m_Err_EP;a_PA;a_Err_PA;T_L_PA;T_L_Err_PA;T_M_PA;T_M_Err_PA;m_PA;m_Err_PA;a_Sur;a_Err_Sur;T_L_Sur;T_L_Err_Sur;T_M_Sur;T_M_Err_Sur;m_Sur;m_Err_Sur;ChiSquare
Iteration_454;0.00012392250483716645;;1.0127504508755534;;28.0;;2.5112338088615505;;0.0001002574572494461;;3.8728988121381005;;30.0;;4.010859400697743;;3.0002110198605593e-05;;-0.9943190674597329;;28.0;;1.5024637477079437;;3574.904028927869
Iteration_513;0.00012020190855221291;;1.4135292927937222;;28.0;;2.500000195352127;;0.00010000001115771073;;6.0;;31.944864612826475;;4.994802468775839;;3.775561165840811e-05;;-1.695507810823095;;31.0;;3.4720830982876887;;5540.763966454722
Iteration_74;0.00011123718009737791;;0.7506513088993283;;28.0;;3.3685036016076704;;0.00021038135102798998;;6.0;;31.208427499867103;;4.275671413266275;;3.0001331372781496e-05;;-0.8883068675592671;;28.0;;1.50001937516726;;6584.286676194366
Iteration_235;0.0001098701773213415;;0.5517295817460115;;31.12312351032364;;3.1849409723486963;;0.00010139899887995692;;4.6300294202621135;;35.0;;5.0;;3.6647761490307e-05;;-0.5290296857292764;;31.0;;2.7051224803030083;;23669.654781508012
Iteration_758;7.796731864149976e-05;;0.5025865053633383;;35.0;;3.4194937830748944;;0.00018030725754420682;;3.540784386487498;;35.0;;5.0;;3.000002455826188e-05;;-0.6551884822308143;;28.0;;1.587040535837682;;31103.73415384859
Iteration_441;0.00014695053922590586;;1.6520578904043903;;28.0;;2.864300012521293;;0.00010029129564658808;;6.0;;35.0;;4.582409246135207;;3.0002256608102028e-05;;-0.5008473473145543;;28.0;;1.513516675597161;;31209.56212350043
Iteration_548;0.00012095713002409619;;1.7238502218378087;;28.0;;3.8451924337044625;;0.00010204666882731874;;6.0;;30.0;;3.0;;4.3000388771960115e-05;;-1.0369700042308656;;28.0;;3.5;;34138.2489850307
Iteration_367;0.00019915787238447493;;0.9366985181567979;;33.90917602706622;;4.24177157388603;;0.00010000006760512798;;3.7739520984854362;;30.0;;4.021434021238829;;3.910793375185502e-05;;-1.0289247704124946;;31.0;;1.7255809397431823;;34528.801088286506
Iteration_154;0.00018089391400174476;;0.716232920089079;;29.150796584796353;;5.0;;0.00010839819924858421;;5.592117920814689;;30.0;;3.731613826701231;;5.478192795294738e-05;;-0.9608219200207726;;31.0;;3.5;;35408.84539428211
Iteration_340;0.00014385201990338222;;0.6306074582037958;;31.272356362304244;;2.6853618698847783;;0.00010196159244237456;;4.02093209969402;;35.0;;3.7820759471555476;;3.484752723224948e-05;;-0.5065630450420118;;31.0;;1.501827323681276;;38021.819537093485
Iteration_69;0.0001384629529427457;;1.9513054763937716;;28.0;;4.997377878212606;;0.00011777106473648432;;2.977649871757727;;30.0;;3.2435692598466837;;3.207802164915011e-05;;-1.0238604095065558;;31.0;;2.1399092277189613;;44049.80071880799
Iteration_186;0.00010023927670275874;;0.8300516719706902;;28.0;;3.547573500322452;;0.00010000463858843997;;5.444330143934334;;35.0;;5.0;;3.000000536497487e-05;;-0.7986785256922921;;28.0;;3.267920132504564;;44462.99284609469
Iteration_4;7.426918549997281e-05;;0.9469042551287784;;32.1936993282209;;2.9888507071547017;;0.00010009133385704833;;6.0;;35.0;;4.749695894371455;;3.0000247993641902e-05;;-0.5000008087553844;;28.0;;3.478819137993074;;46814.99608730529
Iteration_6;0.00011871146243675243;;0.5120860104795417;;28.0;;2.5503060224076624;;0.00011052348029215647;;6.0;;35.0;;3.0;;6.494580024147127e-05;;-0.6423103016307916;;31.0;;3.5;;48191.658731240794
Iteration_126;0.00010996619605558157;;0.8618961647358174;;28.018421933882344;;4.905352078647412;;0.00010887934075215437;;6.0;;34.312415697908854;;5.0;;3.006869318780883e-05;;-0.5191447940899545;;28.0;;3.5;;50005.071263548445
Iteration_185;0.00010125751416965649;;1.064842779030526;;35.0;;3.4041598072415953;;0.0001423587113298366;;2.553184744256746;;35.0;;3.0;;3.176781287773951e-05;;-1.141158229121575;;31.0;;1.5000872988754201;;51876.57979138767
Iteration_143;8.692555755558738e-05;;0.7313673130047089;;28.0;;3.11123674206794;;0.0002151117624678303;;3.9150424793607477;;31.859192628841626;;5.0;;3.0002929061239425e-05;;-1.0761293223005577;;28.0;;1.9963708067444141;;52838.848911065266
Iteration_346;0.00025528281690429764;;1.2584123810244652;;35.0;;5.0;;0.00010912745932796295;;3.850883347579038;;30.0;;4.7306598875311305;;9.186263652094794e-05;;-1.607164801697361;;28.0;;3.5;;58480.30860305427
Iteration_516;0.000177018627260392;;1.1919237641436609;;28.0;;5.0;;0.0001473361392842668;;5.919030553578554;;30.0;;5.0;;3.346235386748286e-05;;-0.5927950829750994;;28.0;;1.5000861226546207;;67463.52778317705
Iteration_5;8.172898210357928e-05;;0.7787504908126057;;35.0;;3.9801676443589207;;0.0001378305136304765;;5.761662577076679;;33.36140513206367;;4.185097578033533;;3.0006430381419065e-05;;-0.5003302045850777;;28.0;;2.6916216271446807;;105960.33669642085
Iteration_75;8.318487565361563e-05;;0.9031047665736085;;28.0;;3.9117706006448483;;0.00016848803727952919;;2.448691497951097;;33.20736601607681;;3.23375941897873;;3.3560613657523305e-05;;-1.4693990545477096;;28.0;;3.298961829472022;;107323.05971563884
Iteration_410;8.236142562794339e-05;;1.0946476413216135;;28.0;;3.2521987188649315;;0.00013291439666035694;;3.1359341113433925;;35.0;;3.0;;3.154532865317605e-05;;-1.6330865103152252;;28.101446202348637;;3.5;;123972.51146550485
Iteration_113;7.651001136317286e-05;;1.0767800667072271;;35.0;;2.9249842094943306;;0.00011671288624835402;;5.9775697168963156;;35.0;;4.359887365013244;;3.605836216599599e-05;;-1.6659867602546523;;28.0;;3.5;;156859.14711627163
Iteration_724;8.301952082164188e-05;;1.1706023901829667;;35.0;;2.8647857445148315;;0.00010291705263016556;;5.731107452854621;;30.0;;5.0;;3.3876928515832146e-05;;-0.7216576247308364;;28.0;;3.5;;157624.43497492402
Iteration_405;7.765971711889937e-05;;1.1316573264560625;;28.0;;3.643011904356251;;0.00014797302485654328;;3.3830854146862332;;30.0;;3.0;;3.0079471778723646e-05;;-1.0470573968159762;;28.439260290291397;;3.1049844656031294;;170133.19486400735
Iteration_306;9.684978126808035e-05;;0.991273118145056;;28.0;;2.50402388704171;;0.00019615884164324494;;2.46420379880737;;35.0;;3.9220156816986536;;5.027126523801911e-05;;-1.311350339405836;;31.0;;3.5;;203521.87816913344
Iteration_65;5.037354790177011e-05;;0.5037235569996936;;35.0;;2.501423807628479;;0.00010000069126980117;;6.0;;35.0;;4.298265305159194;;3.0009982372806793e-05;;-0.9189183647935932;;31.0;;3.3796386829335856;;228564.1050530015
Iteration_765;8.525861193134388e-05;;0.8695341694144356;;28.0;;2.5000137569167498;;0.00014249022233831188;;4.298826567963992;;30.0;;3.0631700406590427;;3.0417755587221653e-05;;-1.1082563421367233;;30.981848227522676;;3.111300104038248;;235652.82993803258
Iteration_365;0.0001247401725995467;;0.501181257428759;;35.0;;3.972739535913637;;0.00010000859061453319;;5.7953158010431585;;35.0;;3.6732776180665905;;4.5828143978676037e-05;;-0.9672155771494815;;31.0;;3.5;;257246.8430628637
Iteration_696;0.00013290254940130845;;0.5958342532325278;;28.0;;3.731957019137214;;0.00011146666389427165;;4.320027742806422;;30.0;;5.0;;3.5801002424023945e-05;;-0.758415676451575;;31.0;;1.8921776564699446;;272751.85532318335
Iteration_139;0.00011035143339786655;;0.7959495732005843;;28.0;;2.50003495281694;;0.00014878956366562402;;4.063761448135526;;30.0;;5.0;;3.089629735911244e-05;;-1.2136232003026581;;31.0;;1.5190292931716496;;278234.56737068924
Iteration_394;0.00017952985173053633;;0.5263170062214824;;28.0;;4.494351476345379;;0.00016553740598060314;;4.192963066379061;;35.0;;3.758469183962895;;8.68458789823723e-05;;-2.7272214678862743;;31.0;;3.066041068059141;;283745.248655178
Iteration_355;5.321038173999504e-05;;1.2592943583822376;;35.0;;2.6412888197571736;;0.00012036084264834487;;3.9681156232887522;;30.0;;5.0;;4.10865944501984e-05;;-0.6033725434780344;;28.0;;3.5;;294083.5263305262
Iteration_439;0.00025597856570610785;;0.5055300949687909;;33.96894300986844;;4.498112360961361;;0.0001;;6.0;;30.0;;5.0;;3.538011752692228e-05;;-0.8761494775937484;;28.11539237900879;;1.5;;422833.6816928014
Iteration_574;5.592990464635602e-05;;1.5170597100023409;;28.0;;2.5366475721110895;;0.00010783997126271733;;5.05080290800886;;35.0;;3.1288573916165237;;3.0052646717688895e-05;;-1.0210676407513386;;28.0;;3.5;;441660.2616877377
