0;Chain_8;Chain_10;Chain_12;Chain_21;Chain_23;Chain_26;Chain_28;Chain_29;Chain_30;Chain_34;Chain_35;Chain_40;Chain_41;Chain_43;Chain_49;Chain_53;Chain_54;Chain_56;Chain_60;Chain_74;Chain_77;Chain_91;Chain_95;Chain_99;Chain_100;Chain_101;Chain_104;Chain_106;Chain_108;Chain_120;Chain_141;Chain_153;Chain_166;Chain_168;Chain_173;Chain_177;Chain_184;Chain_187;Chain_205;Chain_206;Chain_222;Chain_229;Chain_243;Chain_245;Chain_248;Chain_250;Chain_251;Chain_255;Chain_264;Chain_267;Chain_269;Chain_275;Chain_288;Chain_295;Chain_301;Chain_304;Chain_324;Chain_326;Chain_327;Chain_334;Chain_335;Chain_338;Chain_340;Chain_351;Chain_358;Chain_366;Chain_376
1;6.638044058;8.947041381;3.401599303;2.658178339;5.021086098;9.638606786;4.489444971;9.309279102;5.848082911;6.826476968;5.92349641;3.120182697;2.393780884;4.64228501;2.84885889;7.775696261;6.036205951;4.987543962;6.709017182;4.163208268;5.150101245;4.270042605;8.535761784;9.260837557;5.521202964;5.257711118;5.139195333;4.440237491;8.118211516;6.777351355;3.424671878;4.754431356;7.433850265;6.275541673;4.460198721;4.697248828;3.306755374;10.75333547;8.03851685;6.196345134;2.63030413;2.572508027;9.28601909;9.353255164;9.357353421;5.675418567;2.956321852;9.567510726;7.372260484;4.118088819;3.263025739;6.581400751;3.945675865;5.144944568;8.251227009;2.784750017;5.468843408;4.723662868;9.959063836;6.974025147;4.863314398;5.911257553;3.517625228;0.36082296;8.12321665;4.460072581;4.694186107
2;4.396430919;5.122215341;3.401599303;1.677361825;7.978000787;5.305297449;4.697677121;8.301602079;6.265655654;3.808976033;3.930551209;4.964073662;6.225308006;7.435928105;3.158248043;5.66951049;7.937797209;3.285505492;3.193045617;3.808943853;5.829201639;5.650721177;2.62956979;4.316680187;4.447775153;5.684498817;3.67633086;7.338775907;5.202058929;2.19321518;8.501574145;1.815877946;9.299745514;6.43027447;7.589212879;3.650216683;8.612554736;5.087091488;3.905833919;6.815865707;8.932569713;8.018860727;4.252512728;3.242310603;6.764049402;7.987061714;4.55893471;2.183823373;8.742268428;8.327662609;3.579014689;5.018336337;5.64539734;0.305905485;7.233758769;3.172605553;1.867900029;5.234870832;2.674295918;4.748377834;3.821954212;3.659962664;5.11400494;4.235069457;5.324336571;2.143537474;6.907839679
3;6.638044058;8.947041381;3.401599303;2.658178339;5.021086098;9.638606786;4.489444971;9.309279102;5.848082911;6.826476968;5.92349641;3.120182697;2.393780884;4.64228501;2.84885889;7.775696261;6.036205951;4.987543962;6.709017182;4.163208268;5.150101245;4.270042605;8.535761784;9.260837557;5.521202964;5.257711118;5.139195333;4.440237491;8.118211516;6.777351355;3.424671878;4.754431356;7.433850265;6.275541673;4.460198721;4.697248828;3.306755374;10.75333547;8.03851685;6.196345134;2.63030413;2.572508027;9.28601909;9.353255164;9.357353421;5.675418567;2.956321852;9.567510726;7.372260484;4.118088819;3.263025739;6.581400751;3.945675865;5.144944568;6.868102741;2.784750017;5.468843408;4.723662868;9.959063836;6.974025147;4.863314398;5.911257553;5.531495306;0.36082296;8.12321665;4.460072581;4.694186107
4;4.396430919;5.122215341;3.401599303;1.677361825;5.547502358;5.305297449;4.697677121;8.301602079;6.265655654;3.808976033;3.930551209;4.964073662;6.225308006;7.435928105;3.158248043;5.66951049;7.937797209;3.285505492;3.193045617;3.808943853;5.829201639;5.650721177;2.62956979;4.316680187;4.447775153;5.684498817;3.67633086;7.338775907;5.202058929;2.19321518;8.501574145;1.815877946;9.299745514;6.43027447;7.589212879;3.650216683;8.612554736;5.087091488;3.905833919;6.815865707;8.932569713;8.018860727;4.252512728;3.242310603;6.764049402;7.987061714;4.55893471;2.183823373;8.742268428;8.327662609;3.579014689;5.018336337;5.64539734;0.305905485;7.233758769;3.172605553;1.867900029;5.234870832;2.674295918;4.748377834;3.821954212;3.659962664;5.11400494;4.235069457;5.324336571;2.143537474;6.907839679
5;6.638044058;8.947041381;3.401599303;2.658178339;5.021086098;9.638606786;4.489444971;9.309279102;5.848082911;6.826476968;5.92349641;3.120182697;2.393780884;4.64228501;2.84885889;7.775696261;6.036205951;5.803443473;6.709017182;4.163208268;5.150101245;4.270042605;8.535761784;9.260837557;4.328183147;5.257711118;5.139195333;4.440237491;8.118211516;6.777351355;3.424671878;4.754431356;7.433850265;6.275541673;4.460198721;4.697248828;3.306755374;10.75333547;8.03851685;6.196345134;2.63030413;2.572508027;9.28601909;9.353255164;9.357353421;5.675418567;2.956321852;9.567510726;7.372260484;4.118088819;3.263025739;6.581400751;3.945675865;5.144944568;6.868102741;2.784750017;5.468843408;4.723662868;9.959063836;6.974025147;4.863314398;5.911257553;5.531495306;0.36082296;8.12321665;4.460072581;4.694186107
6;4.396430919;5.122215341;3.401599303;1.677361825;5.547502358;5.305297449;4.697677121;8.301602079;6.265655654;3.808976033;3.930551209;4.964073662;6.225308006;7.435928105;3.158248043;5.66951049;7.937797209;3.285505492;3.193045617;3.808943853;5.829201639;5.650721177;2.62956979;4.316680187;4.447775153;5.684498817;3.67633086;7.338775907;5.202058929;2.19321518;8.501574145;1.815877946;9.299745514;6.43027447;7.589212879;3.650216683;7.190181821;5.087091488;3.905833919;6.815865707;8.932569713;8.018860727;4.252512728;3.242310603;6.764049402;7.987061714;4.55893471;2.183823373;8.742268428;8.327662609;3.579014689;5.018336337;5.64539734;0.305905485;7.233758769;3.172605553;1.867900029;5.234870832;2.674295918;4.748377834;3.821954212;3.659962664;5.11400494;4.235069457;5.324336571;2.143537474;6.907839679
7;6.638044058;8.947041381;3.401599303;2.658178339;5.021086098;9.638606786;4.489444971;9.309279102;5.848082911;6.826476968;5.92349641;3.120182697;2.393780884;4.64228501;2.84885889;7.775696261;6.036205951;5.803443473;6.709017182;4.163208268;3.673776902;4.270042605;8.535761784;9.260837557;4.328183147;5.257711118;5.139195333;4.440237491;8.118211516;6.777351355;3.424671878;4.754431356;7.433850265;6.275541673;4.460198721;4.697248828;3.306755374;3.572591909;8.03851685;6.196345134;2.63030413;2.572508027;9.28601909;9.353255164;9.357353421;5.675418567;2.956321852;9.567510726;7.372260484;4.118088819;3.263025739;6.581400751;3.945675865;5.144944568;6.868102741;2.784750017;5.468843408;4.723662868;9.959063836;6.974025147;4.863314398;5.911257553;5.531495306;0.36082296;8.12321665;4.460072581;4.694186107
8;4.396430919;5.122215341;3.401599303;3.928971418;5.547502358;5.305297449;4.697677121;8.301602079;6.265655654;3.808976033;3.930551209;4.964073662;6.225308006;7.435928105;3.158248043;5.66951049;7.937797209;3.285505492;3.193045617;3.808943853;5.829201639;5.650721177;2.62956979;4.316680187;4.447775153;5.684498817;3.67633086;7.338775907;5.202058929;2.19321518;8.501574145;1.815877946;9.299745514;6.43027447;7.589212879;3.650216683;7.190181821;5.087091488;3.905833919;6.815865707;8.932569713;8.018860727;4.252512728;3.242310603;6.764049402;7.987061714;4.55893471;2.183823373;8.742268428;8.327662609;3.579014689;5.018336337;5.64539734;0.305905485;7.233758769;3.172605553;1.867900029;5.234870832;2.674295918;4.748377834;3.821954212;3.659962664;5.11400494;4.235069457;5.324336571;2.143537474;6.907839679
9;6.638044058;8.947041381;3.401599303;2.658178339;5.021086098;9.638606786;4.489444971;9.309279102;5.848082911;6.826476968;5.92349641;3.120182697;2.393780884;4.64228501;2.84885889;7.775696261;6.036205951;5.803443473;6.709017182;4.163208268;3.673776902;4.270042605;8.535761784;9.260837557;4.328183147;5.257711118;5.139195333;4.440237491;8.118211516;6.777351355;3.424671878;4.754431356;7.433850265;6.275541673;4.460198721;4.697248828;5.344568197;3.572591909;8.03851685;6.196345134;2.63030413;2.572508027;9.28601909;9.353255164;9.357353421;5.675418567;2.956321852;9.567510726;7.372260484;4.118088819;3.263025739;6.581400751;3.945675865;5.144944568;6.868102741;2.784750017;5.468843408;4.723662868;9.959063836;6.974025147;2.343737924;5.911257553;5.531495306;0.36082296;8.12321665;3.907737479;4.694186107
10;4.396430919;5.122215341;3.401599303;6.351152557;5.547502358;5.305297449;4.697677121;8.301602079;6.265655654;3.808976033;3.930551209;4.964073662;6.225308006;7.435928105;3.158248043;5.66951049;7.937797209;3.285505492;3.193045617;3.808943853;5.829201639;5.650721177;2.62956979;4.316680187;4.447775153;5.684498817;3.67633086;7.338775907;5.202058929;2.19321518;8.501574145;1.815877946;9.299745514;6.43027447;7.589212879;3.650216683;7.190181821;5.087091488;3.905833919;6.815865707;8.932569713;8.018860727;3.218324135;3.242310603;6.764049402;7.987061714;4.55893471;2.183823373;8.742268428;8.327662609;3.579014689;5.018336337;5.64539734;0.305905485;7.233758769;3.172605553;1.867900029;5.234870832;2.674295918;4.748377834;3.821954212;3.659962664;5.11400494;4.235069457;5.324336571;2.143537474;6.907839679
