0;Chain_8;Chain_10;Chain_12;Chain_21;Chain_23;Chain_26;Chain_28;Chain_29;Chain_30;Chain_34;Chain_35;Chain_40;Chain_41;Chain_43;Chain_49;Chain_53;Chain_54;Chain_56;Chain_60;Chain_74;Chain_77;Chain_91;Chain_95;Chain_99;Chain_100;Chain_101;Chain_104;Chain_106;Chain_108;Chain_120;Chain_141;Chain_153;Chain_166;Chain_168;Chain_173;Chain_177;Chain_184;Chain_187;Chain_205;Chain_206;Chain_222;Chain_229;Chain_243;Chain_245;Chain_248;Chain_250;Chain_251;Chain_255;Chain_264;Chain_267;Chain_269;Chain_275;Chain_288;Chain_295;Chain_301;Chain_304;Chain_324;Chain_326;Chain_327;Chain_334;Chain_335;Chain_338;Chain_340;Chain_351;Chain_358;Chain_366;Chain_376
1;-0.33862859;-1.750042682;-1.36109644;-0.825686007;-1.083208856;-1.545809866;-0.94055677;-1.972542995;-0.414964196;-0.482384082;-0.884150349;-1.446089762;-2.101859519;-1.425828209;-1.028013943;-0.868143997;-0.74879995;-0.721282622;-1.50544796;-0.554606857;-1.311676196;-0.981749621;-1.321634168;-1.446821135;-0.868340994;-1.092089917;-1.471893904;-1.14355321;-0.506620147;-0.695632615;-0.428582588;-0.628330548;-0.475250788;-0.201956655;-0.675901993;-0.520216606;-3.001671662;-1.417038293;-0.301506606;-0.418574875;-0.43015664;-1.027775352;-2.038784763;-1.811721401;-0.768803647;-0.668065328;-1.3844712;-0.534752603;-0.659280582;-1.261244573;-1.937211682;-0.640984228;-0.697361173;-0.654493011;-0.490861672;-0.611348491;-1.678615715;-0.173838631;-0.650390112;-0.922454229;-1.308827112;-1.697440471;-0.670359935;-0.853021523;-2.286031307;-0.754237756;-1.853290815
2;-0.31996616;-0.475165435;-1.36109644;-0.534603738;-1.380874006;-0.573542534;-0.309502963;-0.545988936;-0.747599643;-1.394548085;-0.455624488;-1.441610119;-0.674640903;-0.621277037;-1.309314057;-1.506481126;-0.508127425;-0.773392293;-2.112863662;-1.358953279;-2.394968302;-0.736640175;-0.624413498;-0.695602607;-1.924471116;-0.619322228;-0.530445255;-1.845915646;-0.712077202;-2.158382863;-1.879829887;-2.794693016;-1.579255262;-0.388322979;-1.200364762;-0.351794467;-0.747441556;-1.434736959;-0.775812845;-1.983966248;-1.634238257;-0.691435439;-1.679405475;-0.574639595;-3.182275728;-1.125713104;-2.875024527;-0.440629115;-0.277948734;-1.151145661;-0.811255901;-0.820682358;-0.983889458;-2.275711491;-1.655724936;-0.983994177;-0.777607829;-0.780549792;-1.538986608;-1.994642723;-1.96995894;-1.57623058;-0.803993937;-0.788111911;-0.525977721;-0.418844319;-1.256183497
3;-0.33862859;-1.750042682;-1.36109644;-0.825686007;-1.083208856;-1.545809866;-0.94055677;-1.972542995;-0.414964196;-0.482384082;-0.884150349;-1.446089762;-2.101859519;-1.425828209;-1.028013943;-0.868143997;-0.74879995;-0.721282622;-1.50544796;-0.554606857;-1.311676196;-0.981749621;-1.321634168;-1.446821135;-0.868340994;-1.092089917;-1.471893904;-1.14355321;-0.506620147;-0.695632615;-0.428582588;-0.628330548;-0.475250788;-0.201956655;-0.675901993;-0.520216606;-3.001671662;-1.417038293;-0.301506606;-0.418574875;-0.43015664;-1.027775352;-2.038784763;-1.811721401;-0.768803647;-0.668065328;-1.3844712;-0.534752603;-0.659280582;-1.261244573;-1.937211682;-0.640984228;-0.697361173;-0.654493011;-0.139763099;-0.611348491;-1.678615715;-0.173838631;-0.650390112;-0.922454229;-1.308827112;-1.697440471;-1.55620388;-0.853021523;-2.286031307;-0.754237756;-1.853290815
4;-0.31996616;-0.475165435;-1.36109644;-0.534603738;-1.735139783;-0.573542534;-0.309502963;-0.545988936;-0.747599643;-1.394548085;-0.455624488;-1.441610119;-0.674640903;-0.621277037;-1.309314057;-1.506481126;-0.508127425;-0.773392293;-2.112863662;-1.358953279;-2.394968302;-0.736640175;-0.624413498;-0.695602607;-1.924471116;-0.619322228;-0.530445255;-1.845915646;-0.712077202;-2.158382863;-1.879829887;-2.794693016;-1.579255262;-0.388322979;-1.200364762;-0.351794467;-0.747441556;-1.434736959;-0.775812845;-1.983966248;-1.634238257;-0.691435439;-1.679405475;-0.574639595;-3.182275728;-1.125713104;-2.875024527;-0.440629115;-0.277948734;-1.151145661;-0.811255901;-0.820682358;-0.983889458;-2.275711491;-1.655724936;-0.983994177;-0.777607829;-0.780549792;-1.538986608;-1.994642723;-1.96995894;-1.57623058;-0.803993937;-0.788111911;-0.525977721;-0.418844319;-1.256183497
5;-0.33862859;-1.750042682;-1.36109644;-0.825686007;-1.083208856;-1.545809866;-0.94055677;-1.972542995;-0.414964196;-0.482384082;-0.884150349;-1.446089762;-2.101859519;-1.425828209;-1.028013943;-0.868143997;-0.74879995;-0.449601624;-1.50544796;-0.554606857;-1.311676196;-0.981749621;-1.321634168;-1.446821135;0.043193511;-1.092089917;-1.471893904;-1.14355321;-0.506620147;-0.695632615;-0.428582588;-0.628330548;-0.475250788;-0.201956655;-0.675901993;-0.520216606;-3.001671662;-1.417038293;-0.301506606;-0.418574875;-0.43015664;-1.027775352;-2.038784763;-1.811721401;-0.768803647;-0.668065328;-1.3844712;-0.534752603;-0.659280582;-1.261244573;-1.937211682;-0.640984228;-0.697361173;-0.654493011;-0.139763099;-0.611348491;-1.678615715;-0.173838631;-0.650390112;-0.922454229;-1.308827112;-1.697440471;-1.55620388;-0.853021523;-2.286031307;-0.754237756;-1.853290815
6;-0.31996616;-0.475165435;-1.36109644;-0.534603738;-1.735139783;-0.573542534;-0.309502963;-0.545988936;-0.747599643;-1.394548085;-0.455624488;-1.441610119;-0.674640903;-0.621277037;-1.309314057;-1.506481126;-0.508127425;-0.773392293;-2.112863662;-1.358953279;-2.394968302;-0.736640175;-0.624413498;-0.695602607;-1.924471116;-0.619322228;-0.530445255;-1.845915646;-0.712077202;-2.158382863;-1.879829887;-2.794693016;-1.579255262;-0.388322979;-1.200364762;-0.351794467;-0.660153082;-1.434736959;-0.775812845;-1.983966248;-1.634238257;-0.691435439;-1.679405475;-0.574639595;-3.182275728;-1.125713104;-2.875024527;-0.440629115;-0.277948734;-1.151145661;-0.811255901;-0.820682358;-0.983889458;-2.275711491;-1.655724936;-0.983994177;-0.777607829;-0.780549792;-1.538986608;-1.994642723;-1.96995894;-1.57623058;-0.803993937;-0.788111911;-0.525977721;-0.418844319;-1.256183497
7;-0.33862859;-1.750042682;-1.36109644;-0.825686007;-1.083208856;-1.545809866;-0.94055677;-1.972542995;-0.414964196;-0.482384082;-0.884150349;-1.446089762;-2.101859519;-1.425828209;-1.028013943;-0.868143997;-0.74879995;-0.449601624;-1.50544796;-0.554606857;-0.832902636;-0.981749621;-1.321634168;-1.446821135;0.043193511;-1.092089917;-1.471893904;-1.14355321;-0.506620147;-0.695632615;-0.428582588;-0.628330548;-0.475250788;-0.201956655;-0.675901993;-0.520216606;-3.001671662;-0.339642825;-0.301506606;-0.418574875;-0.43015664;-1.027775352;-2.038784763;-1.811721401;-0.768803647;-0.668065328;-1.3844712;-0.534752603;-0.659280582;-1.261244573;-1.937211682;-0.640984228;-0.697361173;-0.654493011;-0.139763099;-0.611348491;-1.678615715;-0.173838631;-0.650390112;-0.922454229;-1.308827112;-1.697440471;-1.55620388;-0.853021523;-2.286031307;-0.754237756;-1.853290815
8;-0.31996616;-0.475165435;-1.36109644;-0.759016402;-1.735139783;-0.573542534;-0.309502963;-0.545988936;-0.747599643;-1.394548085;-0.455624488;-1.441610119;-0.674640903;-0.621277037;-1.309314057;-1.506481126;-0.508127425;-0.773392293;-2.112863662;-1.358953279;-2.394968302;-0.736640175;-0.624413498;-0.695602607;-1.924471116;-0.619322228;-0.530445255;-1.845915646;-0.712077202;-2.158382863;-1.879829887;-2.794693016;-1.579255262;-0.388322979;-1.200364762;-0.351794467;-0.660153082;-1.434736959;-0.775812845;-1.983966248;-1.634238257;-0.691435439;-1.679405475;-0.574639595;-3.182275728;-1.125713104;-2.875024527;-0.440629115;-0.277948734;-1.151145661;-0.811255901;-0.820682358;-0.983889458;-2.275711491;-1.655724936;-0.983994177;-0.777607829;-0.780549792;-1.538986608;-1.994642723;-1.96995894;-1.57623058;-0.803993937;-0.788111911;-0.525977721;-0.418844319;-1.256183497
9;-0.33862859;-1.750042682;-1.36109644;-0.825686007;-1.083208856;-1.545809866;-0.94055677;-1.972542995;-0.414964196;-0.482384082;-0.884150349;-1.446089762;-2.101859519;-1.425828209;-1.028013943;-0.868143997;-0.74879995;-0.449601624;-1.50544796;-0.554606857;-0.832902636;-0.981749621;-1.321634168;-1.446821135;0.043193511;-1.092089917;-1.471893904;-1.14355321;-0.506620147;-0.695632615;-0.428582588;-0.628330548;-0.475250788;-0.201956655;-0.675901993;-0.520216606;-2.668157773;-0.339642825;-0.301506606;-0.418574875;-0.43015664;-1.027775352;-2.038784763;-1.811721401;-0.768803647;-0.668065328;-1.3844712;-0.534752603;-0.659280582;-1.261244573;-1.937211682;-0.640984228;-0.697361173;-0.654493011;-0.139763099;-0.611348491;-1.678615715;-0.173838631;-0.650390112;-0.922454229;-1.815272349;-1.697440471;-1.55620388;-0.853021523;-2.286031307;-0.67893655;-1.853290815
10;-0.31996616;-0.475165435;-1.36109644;-0.847267485;-1.735139783;-0.573542534;-0.309502963;-0.545988936;-0.747599643;-1.394548085;-0.455624488;-1.441610119;-0.674640903;-0.621277037;-1.309314057;-1.506481126;-0.508127425;-0.773392293;-2.112863662;-1.358953279;-2.394968302;-0.736640175;-0.624413498;-0.695602607;-1.924471116;-0.619322228;-0.530445255;-1.845915646;-0.712077202;-2.158382863;-1.879829887;-2.794693016;-1.579255262;-0.388322979;-1.200364762;-0.351794467;-0.660153082;-1.434736959;-0.775812845;-1.983966248;-1.634238257;-0.691435439;-2.551879049;-0.574639595;-3.182275728;-1.125713104;-2.875024527;-0.440629115;-0.277948734;-1.151145661;-0.811255901;-0.820682358;-0.983889458;-2.275711491;-1.655724936;-0.983994177;-0.777607829;-0.780549792;-1.538986608;-1.994642723;-1.96995894;-1.57623058;-0.803993937;-0.788111911;-0.525977721;-0.418844319;-1.256183497
