0;Chain_8;Chain_10;Chain_12;Chain_21;Chain_23;Chain_26;Chain_28;Chain_29;Chain_30;Chain_34;Chain_35;Chain_40;Chain_41;Chain_43;Chain_49;Chain_53;Chain_54;Chain_56;Chain_60;Chain_74;Chain_77;Chain_91;Chain_95;Chain_99;Chain_100;Chain_101;Chain_104;Chain_106;Chain_108;Chain_120;Chain_141;Chain_153;Chain_166;Chain_168;Chain_173;Chain_177;Chain_184;Chain_187;Chain_205;Chain_206;Chain_222;Chain_229;Chain_243;Chain_245;Chain_248;Chain_250;Chain_251;Chain_255;Chain_264;Chain_267;Chain_269;Chain_275;Chain_288;Chain_295;Chain_301;Chain_304;Chain_324;Chain_326;Chain_327;Chain_334;Chain_335;Chain_338;Chain_340;Chain_351;Chain_358;Chain_366;Chain_376
1;46.91031245;34.75787017;38.74345027;30.51059504;31.74911142;29.70676372;47.556778;31.39693944;38.49304507;35.07704111;32.73951236;31.66514553;41.44512547;37.7839519;30.45788099;46.53246333;26.58711815;40.04561978;31.55053108;28.657076;33.22072263;24.81467913;49.30518239;36.02944596;29.67781353;41.03260839;29.21194204;47.15938259;43.5945713;35.14380859;36.06351942;36.15745611;33.53483595;42.2197276;28.25491391;24.86138949;44.79925377;35.48484396;24.31865412;34.18017115;46.2201946;37.90525222;35.5024507;34.46298838;27.81486013;36.7277655;27.47881519;37.92504612;31.29920424;27.38670863;36.58286674;27.79147592;36.13790872;38.64652702;24.71906389;32.76261282;47.04261319;28.55371015;24.84818341;31.15095736;32.43800082;28.0969704;36.7785264;41.95929091;33.89237493;27.65791737;27.95537838
2;34.30934282;47.2835418;38.74345027;27.86372348;30.46791277;29.36012967;43.06617462;52.56031743;28.30712299;35.27514248;44.4921286;42.4477818;36.72361987;34.26448095;31.38542301;27.39486611;43.33069823;31.61605775;27.36086254;39.59568844;40.16878849;25.30128437;40.9888703;26.77217926;31.25558786;54.01954103;48.54179361;25.78866604;23.53571036;31.4544907;45.95763187;24.22830102;43.33522149;29.83016306;35.51301121;30.36776929;30.25412271;29.20734018;36.20587627;27.91786957;31.95474351;31.0516144;26.43676317;41.50279783;35.21577148;46.87684571;46.47374837;31.92847558;28.40389094;33.77923678;57.62183906;36.71380304;24.00711121;32.53882559;31.27545734;25.31882752;25.75179126;27.42485435;32.22772746;32.20848543;43.05906536;33.88378416;44.05604136;28.12276792;25.72078215;67.36537538;48.69748624
3;46.91031245;34.75787017;38.74345027;30.51059504;31.74911142;29.70676372;47.556778;31.39693944;38.49304507;35.07704111;32.73951236;31.66514553;41.44512547;37.7839519;30.45788099;46.53246333;26.58711815;40.04561978;31.55053108;28.657076;33.22072263;24.81467913;49.30518239;36.02944596;29.67781353;41.03260839;29.21194204;47.15938259;43.5945713;35.14380859;36.06351942;36.15745611;33.53483595;42.2197276;28.25491391;24.86138949;44.79925377;35.48484396;24.31865412;34.18017115;46.2201946;37.90525222;35.5024507;34.46298838;27.81486013;36.7277655;27.47881519;37.92504612;31.29920424;27.38670863;36.58286674;27.79147592;36.13790872;38.64652702;29.73592158;32.76261282;47.04261319;28.55371015;24.84818341;31.15095736;32.43800082;28.0969704;38.78626819;41.95929091;33.89237493;27.65791737;27.95537838
4;34.30934282;47.2835418;38.74345027;27.86372348;40.14194002;29.36012967;43.06617462;52.56031743;28.30712299;35.27514248;44.4921286;42.4477818;36.72361987;34.26448095;31.38542301;27.39486611;43.33069823;31.61605775;27.36086254;39.59568844;40.16878849;25.30128437;40.9888703;26.77217926;31.25558786;54.01954103;48.54179361;25.78866604;23.53571036;31.4544907;45.95763187;24.22830102;43.33522149;29.83016306;35.51301121;30.36776929;30.25412271;29.20734018;36.20587627;27.91786957;31.95474351;31.0516144;26.43676317;41.50279783;35.21577148;46.87684571;46.47374837;31.92847558;28.40389094;33.77923678;57.62183906;36.71380304;24.00711121;32.53882559;31.27545734;25.31882752;25.75179126;27.42485435;32.22772746;32.20848543;43.05906536;33.88378416;44.05604136;28.12276792;25.72078215;67.36537538;48.69748624
5;46.91031245;34.75787017;38.74345027;30.51059504;31.74911142;29.70676372;47.556778;31.39693944;38.49304507;35.07704111;32.73951236;31.66514553;41.44512547;37.7839519;30.45788099;46.53246333;26.58711815;34.06554032;31.55053108;28.657076;33.22072263;24.81467913;49.30518239;36.02944596;26.12214833;41.03260839;29.21194204;47.15938259;43.5945713;35.14380859;36.06351942;36.15745611;33.53483595;42.2197276;28.25491391;24.86138949;44.79925377;35.48484396;24.31865412;34.18017115;46.2201946;37.90525222;35.5024507;34.46298838;27.81486013;36.7277655;27.47881519;37.92504612;31.29920424;27.38670863;36.58286674;27.79147592;36.13790872;38.64652702;29.73592158;32.76261282;47.04261319;28.55371015;24.84818341;31.15095736;32.43800082;28.0969704;38.78626819;41.95929091;33.89237493;27.65791737;27.95537838
6;34.30934282;47.2835418;38.74345027;27.86372348;40.14194002;29.36012967;43.06617462;52.56031743;28.30712299;35.27514248;44.4921286;42.4477818;36.72361987;34.26448095;31.38542301;27.39486611;43.33069823;31.61605775;27.36086254;39.59568844;40.16878849;25.30128437;40.9888703;26.77217926;31.25558786;54.01954103;48.54179361;25.78866604;23.53571036;31.4544907;45.95763187;24.22830102;43.33522149;29.83016306;35.51301121;30.36776929;37.46828447;29.20734018;36.20587627;27.91786957;31.95474351;31.0516144;26.43676317;41.50279783;35.21577148;46.87684571;46.47374837;31.92847558;28.40389094;33.77923678;57.62183906;36.71380304;24.00711121;32.53882559;31.27545734;25.31882752;25.75179126;27.42485435;32.22772746;32.20848543;43.05906536;33.88378416;44.05604136;28.12276792;25.72078215;67.36537538;48.69748624
7;46.91031245;34.75787017;38.74345027;30.51059504;31.74911142;29.70676372;47.556778;31.39693944;38.49304507;35.07704111;32.73951236;31.66514553;41.44512547;37.7839519;30.45788099;46.53246333;26.58711815;34.06554032;31.55053108;28.657076;33.38322111;24.81467913;49.30518239;36.02944596;26.12214833;41.03260839;29.21194204;47.15938259;43.5945713;35.14380859;36.06351942;36.15745611;33.53483595;42.2197276;28.25491391;24.86138949;44.79925377;43.11788443;24.31865412;34.18017115;46.2201946;37.90525222;35.5024507;34.46298838;27.81486013;36.7277655;27.47881519;37.92504612;31.29920424;27.38670863;36.58286674;27.79147592;36.13790872;38.64652702;29.73592158;32.76261282;47.04261319;28.55371015;24.84818341;31.15095736;32.43800082;28.0969704;38.78626819;41.95929091;33.89237493;27.65791737;27.95537838
8;34.30934282;47.2835418;38.74345027;36.02921216;40.14194002;29.36012967;43.06617462;52.56031743;28.30712299;35.27514248;44.4921286;42.4477818;36.72361987;34.26448095;31.38542301;27.39486611;43.33069823;31.61605775;27.36086254;39.59568844;40.16878849;25.30128437;40.9888703;26.77217926;31.25558786;54.01954103;48.54179361;25.78866604;23.53571036;31.4544907;45.95763187;24.22830102;43.33522149;29.83016306;35.51301121;30.36776929;37.46828447;29.20734018;36.20587627;27.91786957;31.95474351;31.0516144;26.43676317;41.50279783;35.21577148;46.87684571;46.47374837;31.92847558;28.40389094;33.77923678;57.62183906;36.71380304;24.00711121;32.53882559;31.27545734;25.31882752;25.75179126;27.42485435;32.22772746;32.20848543;43.05906536;33.88378416;44.05604136;28.12276792;25.72078215;67.36537538;48.69748624
9;46.91031245;34.75787017;38.74345027;30.51059504;31.74911142;29.70676372;47.556778;31.39693944;38.49304507;35.07704111;32.73951236;31.66514553;41.44512547;37.7839519;30.45788099;46.53246333;26.58711815;34.06554032;31.55053108;28.657076;33.38322111;24.81467913;49.30518239;36.02944596;26.12214833;41.03260839;29.21194204;47.15938259;43.5945713;35.14380859;36.06351942;36.15745611;33.53483595;42.2197276;28.25491391;24.86138949;25.69393939;43.11788443;24.31865412;34.18017115;46.2201946;37.90525222;35.5024507;34.46298838;27.81486013;36.7277655;27.47881519;37.92504612;31.29920424;27.38670863;36.58286674;27.79147592;36.13790872;38.64652702;29.73592158;32.76261282;47.04261319;28.55371015;24.84818341;31.15095736;33.72252059;28.0969704;38.78626819;41.95929091;33.89237493;36.98948694;27.95537838
10;34.30934282;47.2835418;38.74345027;24.27557605;40.14194002;29.36012967;43.06617462;52.56031743;28.30712299;35.27514248;44.4921286;42.4477818;36.72361987;34.26448095;31.38542301;27.39486611;43.33069823;31.61605775;27.36086254;39.59568844;40.16878849;25.30128437;40.9888703;26.77217926;31.25558786;54.01954103;48.54179361;25.78866604;23.53571036;31.4544907;45.95763187;24.22830102;43.33522149;29.83016306;35.51301121;30.36776929;37.46828447;29.20734018;36.20587627;27.91786957;31.95474351;31.0516144;30.26672352;41.50279783;35.21577148;46.87684571;46.47374837;31.92847558;28.40389094;33.77923678;57.62183906;36.71380304;24.00711121;32.53882559;31.27545734;25.31882752;25.75179126;27.42485435;32.22772746;32.20848543;43.05906536;33.88378416;44.05604136;28.12276792;25.72078215;67.36537538;48.69748624
