0;Chain_8;Chain_10;Chain_12;Chain_21;Chain_23;Chain_26;Chain_28;Chain_29;Chain_30;Chain_34;Chain_35;Chain_40;Chain_41;Chain_43;Chain_49;Chain_53;Chain_54;Chain_56;Chain_60;Chain_74;Chain_77;Chain_91;Chain_95;Chain_99;Chain_100;Chain_101;Chain_104;Chain_106;Chain_108;Chain_120;Chain_141;Chain_153;Chain_166;Chain_168;Chain_173;Chain_177;Chain_184;Chain_187;Chain_205;Chain_206;Chain_222;Chain_229;Chain_243;Chain_245;Chain_248;Chain_250;Chain_251;Chain_255;Chain_264;Chain_267;Chain_269;Chain_275;Chain_288;Chain_295;Chain_301;Chain_304;Chain_324;Chain_326;Chain_327;Chain_334;Chain_335;Chain_338;Chain_340;Chain_351;Chain_358;Chain_366;Chain_376
1;41.33516636;33.08355738;35.39915523;34.73980063;25.50275659;36.96143629;28.88327233;51.09304339;45.96681171;31.56378871;29.23694193;38.2585905;51.98225092;32.09972058;43.66733843;37.86607738;36.80239022;31.11975276;29.40103132;45.3303645;32.0288154;42.45897578;29.90692563;37.76887928;28.44352358;31.32888269;41.96491284;29.07964115;46.25383671;28.07949703;37.1117862;41.8651822;41.75422161;39.35404434;28.40203184;33.45694273;25.65566032;25.81268036;49.47846515;44.76282519;51.72786388;35.23590531;49.60914646;32.62748045;27.07504845;42.37368159;33.82903157;39.05556699;30.38373078;29.66620811;33.71392477;35.50263528;26.80241839;25.30732227;40.37181839;38.96028034;46.86573829;45.48961647;45.20419372;47.76932949;40.91213719;37.26621658;37.1006669;27.53258432;43.72261856;49.95643654;30.9495043
2;29.76816846;38.60807337;35.39915523;28.18999194;41.64963804;28.57082213;39.90576615;48.52313025;36.15135525;35.44417052;53.82835097;50.57849115;32.37033316;61.77140421;34.85659728;29.48205077;59.96214039;38.52727565;33.3799741;34.29291273;43.33598336;55.08360834;25.97018377;31.83365804;32.06900183;31.60520584;34.18282557;38.81018813;28.78515147;44.28247528;30.0479619;27.88127089;39.83863651;31.86339447;51.16286379;50.34606506;40.05655402;30.96755886;27.6971147;27.42237065;43.03582061;35.37194554;24.57831189;42.16736314;44.19623363;34.47200547;33.7681525;25.78772476;31.13777167;27.20074577;25.19067186;27.87920191;23.66568588;37.38438456;33.98465624;26.99146693;22.54678533;47.42263324;37.41885443;25.72060992;27.86914247;34.11350164;45.47928902;33.44399062;28.74685723;31.37072784;53.16625707
3;41.33516636;33.08355738;35.39915523;34.73980063;25.50275659;36.96143629;28.88327233;51.09304339;45.96681171;31.56378871;29.23694193;38.2585905;51.98225092;32.09972058;43.66733843;37.86607738;36.80239022;31.11975276;29.40103132;45.3303645;32.0288154;42.45897578;29.90692563;37.76887928;28.44352358;31.32888269;41.96491284;29.07964115;46.25383671;28.07949703;37.1117862;41.8651822;41.75422161;39.35404434;28.40203184;33.45694273;25.65566032;25.81268036;49.47846515;44.76282519;51.72786388;35.23590531;49.60914646;32.62748045;27.07504845;42.37368159;33.82903157;39.05556699;30.38373078;29.66620811;33.71392477;35.50263528;26.80241839;25.30732227;35.1089403;38.96028034;46.86573829;45.48961647;45.20419372;47.76932949;40.91213719;37.26621658;28.39045176;27.53258432;43.72261856;49.95643654;30.9495043
4;29.76816846;38.60807337;35.39915523;28.18999194;38.7702739;28.57082213;39.90576615;48.52313025;36.15135525;35.44417052;53.82835097;50.57849115;32.37033316;61.77140421;34.85659728;29.48205077;59.96214039;38.52727565;33.3799741;34.29291273;43.33598336;55.08360834;25.97018377;31.83365804;32.06900183;31.60520584;34.18282557;38.81018813;28.78515147;44.28247528;30.0479619;27.88127089;39.83863651;31.86339447;51.16286379;50.34606506;40.05655402;30.96755886;27.6971147;27.42237065;43.03582061;35.37194554;24.57831189;42.16736314;44.19623363;34.47200547;33.7681525;25.78772476;31.13777167;27.20074577;25.19067186;27.87920191;23.66568588;37.38438456;33.98465624;26.99146693;22.54678533;47.42263324;37.41885443;25.72060992;27.86914247;34.11350164;45.47928902;33.44399062;28.74685723;31.37072784;53.16625707
5;41.33516636;33.08355738;35.39915523;34.73980063;25.50275659;36.96143629;28.88327233;51.09304339;45.96681171;31.56378871;29.23694193;38.2585905;51.98225092;32.09972058;43.66733843;37.86607738;36.80239022;30.92844744;29.40103132;45.3303645;32.0288154;42.45897578;29.90692563;37.76887928;27.76930114;31.32888269;41.96491284;29.07964115;46.25383671;28.07949703;37.1117862;41.8651822;41.75422161;39.35404434;28.40203184;33.45694273;25.65566032;25.81268036;49.47846515;44.76282519;51.72786388;35.23590531;49.60914646;32.62748045;27.07504845;42.37368159;33.82903157;39.05556699;30.38373078;29.66620811;33.71392477;35.50263528;26.80241839;25.30732227;35.1089403;38.96028034;46.86573829;45.48961647;45.20419372;47.76932949;40.91213719;37.26621658;28.39045176;27.53258432;43.72261856;49.95643654;30.9495043
6;29.76816846;38.60807337;35.39915523;28.18999194;38.7702739;28.57082213;39.90576615;48.52313025;36.15135525;35.44417052;53.82835097;50.57849115;32.37033316;61.77140421;34.85659728;29.48205077;59.96214039;38.52727565;33.3799741;34.29291273;43.33598336;55.08360834;25.97018377;31.83365804;32.06900183;31.60520584;34.18282557;38.81018813;28.78515147;44.28247528;30.0479619;27.88127089;39.83863651;31.86339447;51.16286379;50.34606506;36.96472977;30.96755886;27.6971147;27.42237065;43.03582061;35.37194554;24.57831189;42.16736314;44.19623363;34.47200547;33.7681525;25.78772476;31.13777167;27.20074577;25.19067186;27.87920191;23.66568588;37.38438456;33.98465624;26.99146693;22.54678533;47.42263324;37.41885443;25.72060992;27.86914247;34.11350164;45.47928902;33.44399062;28.74685723;31.37072784;53.16625707
7;41.33516636;33.08355738;35.39915523;34.73980063;25.50275659;36.96143629;28.88327233;51.09304339;45.96681171;31.56378871;29.23694193;38.2585905;51.98225092;32.09972058;43.66733843;37.86607738;36.80239022;30.92844744;29.40103132;45.3303645;49.34236451;42.45897578;29.90692563;37.76887928;27.76930114;31.32888269;41.96491284;29.07964115;46.25383671;28.07949703;37.1117862;41.8651822;41.75422161;39.35404434;28.40203184;33.45694273;25.65566032;48.28551083;49.47846515;44.76282519;51.72786388;35.23590531;49.60914646;32.62748045;27.07504845;42.37368159;33.82903157;39.05556699;30.38373078;29.66620811;33.71392477;35.50263528;26.80241839;25.30732227;35.1089403;38.96028034;46.86573829;45.48961647;45.20419372;47.76932949;40.91213719;37.26621658;28.39045176;27.53258432;43.72261856;49.95643654;30.9495043
8;29.76816846;38.60807337;35.39915523;37.90208938;38.7702739;28.57082213;39.90576615;48.52313025;36.15135525;35.44417052;53.82835097;50.57849115;32.37033316;61.77140421;34.85659728;29.48205077;59.96214039;38.52727565;33.3799741;34.29291273;43.33598336;55.08360834;25.97018377;31.83365804;32.06900183;31.60520584;34.18282557;38.81018813;28.78515147;44.28247528;30.0479619;27.88127089;39.83863651;31.86339447;51.16286379;50.34606506;36.96472977;30.96755886;27.6971147;27.42237065;43.03582061;35.37194554;24.57831189;42.16736314;44.19623363;34.47200547;33.7681525;25.78772476;31.13777167;27.20074577;25.19067186;27.87920191;23.66568588;37.38438456;33.98465624;26.99146693;22.54678533;47.42263324;37.41885443;25.72060992;27.86914247;34.11350164;45.47928902;33.44399062;28.74685723;31.37072784;53.16625707
9;41.33516636;33.08355738;35.39915523;34.73980063;25.50275659;36.96143629;28.88327233;51.09304339;45.96681171;31.56378871;29.23694193;38.2585905;51.98225092;32.09972058;43.66733843;37.86607738;36.80239022;30.92844744;29.40103132;45.3303645;49.34236451;42.45897578;29.90692563;37.76887928;27.76930114;31.32888269;41.96491284;29.07964115;46.25383671;28.07949703;37.1117862;41.8651822;41.75422161;39.35404434;28.40203184;33.45694273;30.50257263;48.28551083;49.47846515;44.76282519;51.72786388;35.23590531;49.60914646;32.62748045;27.07504845;42.37368159;33.82903157;39.05556699;30.38373078;29.66620811;33.71392477;35.50263528;26.80241839;25.30732227;35.1089403;38.96028034;46.86573829;45.48961647;45.20419372;47.76932949;24.50667729;37.26621658;28.39045176;27.53258432;43.72261856;35.28419209;30.9495043
10;29.76816846;38.60807337;35.39915523;31.98729196;38.7702739;28.57082213;39.90576615;48.52313025;36.15135525;35.44417052;53.82835097;50.57849115;32.37033316;61.77140421;34.85659728;29.48205077;59.96214039;38.52727565;33.3799741;34.29291273;43.33598336;55.08360834;25.97018377;31.83365804;32.06900183;31.60520584;34.18282557;38.81018813;28.78515147;44.28247528;30.0479619;27.88127089;39.83863651;31.86339447;51.16286379;50.34606506;36.96472977;30.96755886;27.6971147;27.42237065;43.03582061;35.37194554;28.68429048;42.16736314;44.19623363;34.47200547;33.7681525;25.78772476;31.13777167;27.20074577;25.19067186;27.87920191;23.66568588;37.38438456;33.98465624;26.99146693;22.54678533;47.42263324;37.41885443;25.72060992;27.86914247;34.11350164;45.47928902;33.44399062;28.74685723;31.37072784;53.16625707
