0;Chain_8;Chain_10;Chain_12;Chain_21;Chain_23;Chain_26;Chain_28;Chain_29;Chain_30;Chain_34;Chain_35;Chain_40;Chain_41;Chain_43;Chain_49;Chain_53;Chain_54;Chain_56;Chain_60;Chain_74;Chain_77;Chain_91;Chain_95;Chain_99;Chain_100;Chain_101;Chain_104;Chain_106;Chain_108;Chain_120;Chain_141;Chain_153;Chain_166;Chain_168;Chain_173;Chain_177;Chain_184;Chain_187;Chain_205;Chain_206;Chain_222;Chain_229;Chain_243;Chain_245;Chain_248;Chain_250;Chain_251;Chain_255;Chain_264;Chain_267;Chain_269;Chain_275;Chain_288;Chain_295;Chain_301;Chain_304;Chain_324;Chain_326;Chain_327;Chain_334;Chain_335;Chain_338;Chain_340;Chain_351;Chain_358;Chain_366;Chain_376
1;8.03E-05;6.45E-05;0.000123013;0.000297277;4.92E-05;8.86E-05;4.40E-05;4.96E-05;7.67E-05;0.000126778;0.000147553;0.000168614;0.000134636;5.84E-05;0.000181927;0.000141863;0.000116559;8.25E-05;0.000124084;0.000135547;0.000128613;9.09E-05;0.000307241;0.000106648;9.42E-05;0.000282252;9.98E-05;0.000148608;0.000152207;4.72E-05;0.000102516;8.63E-05;0.000179938;6.10E-05;0.000341296;9.82E-05;4.19E-05;0.000163126;0.000263049;8.46E-05;4.44E-05;6.31E-05;8.61E-05;0.000223392;0.000175055;0.000296683;0.000126834;0.000208713;9.44E-05;0.000182937;0.000105015;0.000119197;0.000136994;0.00012271;6.89E-05;6.50E-05;8.63E-05;7.53E-05;9.11E-05;0.00028733;0.000158641;7.48E-05;0.000152316;8.65E-05;0.000105361;0.000158496;8.12E-05
2;0.00016781;0.000295114;0.000123013;8.51E-05;8.96E-05;9.65E-05;6.00E-05;3.57E-05;0.000113184;5.96E-05;0.000124232;3.76E-05;9.53E-05;5.10E-05;4.40E-05;0.000180863;0.00011631;3.89E-05;0.000142927;5.80E-05;8.81E-05;0.000153091;5.92E-05;7.38E-05;7.15E-05;0.000130029;0.000170225;0.000113352;0.000116112;3.36E-05;6.08E-05;0.000116883;0.00011009;0.000112697;0.000101914;6.15E-05;0.000281156;9.61E-05;9.84E-05;8.54E-05;0.000115013;0.000147099;8.87E-05;0.000103336;0.00013147;6.54E-05;7.35E-05;0.000100932;8.45E-05;0.000143549;6.84E-05;5.46E-05;0.000145302;8.99E-05;0.000105688;0.000279669;0.000239274;0.000167716;0.000260624;9.21E-05;0.000140847;0.000119107;0.000135727;6.78E-05;0.000102624;0.000117669;0.000117138
3;8.03E-05;6.45E-05;0.000123013;0.000297277;4.92E-05;8.86E-05;4.40E-05;4.96E-05;7.67E-05;0.000126778;0.000147553;0.000168614;0.000134636;5.84E-05;0.000181927;0.000141863;0.000116559;8.25E-05;0.000124084;0.000135547;0.000128613;9.09E-05;0.000307241;0.000106648;9.42E-05;0.000282252;9.98E-05;0.000148608;0.000152207;4.72E-05;0.000102516;8.63E-05;0.000179938;6.10E-05;0.000341296;9.82E-05;4.19E-05;0.000163126;0.000263049;8.46E-05;4.44E-05;6.31E-05;8.61E-05;0.000223392;0.000175055;0.000296683;0.000126834;0.000208713;9.44E-05;0.000182937;0.000105015;0.000119197;0.000136994;0.00012271;0.000145403;6.50E-05;8.63E-05;7.53E-05;9.11E-05;0.00028733;0.000158641;7.48E-05;0.000101954;8.65E-05;0.000105361;0.000158496;8.12E-05
4;0.00016781;0.000295114;0.000123013;8.51E-05;0.000175121;9.65E-05;6.00E-05;3.57E-05;0.000113184;5.96E-05;0.000124232;3.76E-05;9.53E-05;5.10E-05;4.40E-05;0.000180863;0.00011631;3.89E-05;0.000142927;5.80E-05;8.81E-05;0.000153091;5.92E-05;7.38E-05;7.15E-05;0.000130029;0.000170225;0.000113352;0.000116112;3.36E-05;6.08E-05;0.000116883;0.00011009;0.000112697;0.000101914;6.15E-05;0.000281156;9.61E-05;9.84E-05;8.54E-05;0.000115013;0.000147099;8.87E-05;0.000103336;0.00013147;6.54E-05;7.35E-05;0.000100932;8.45E-05;0.000143549;6.84E-05;5.46E-05;0.000145302;8.99E-05;0.000105688;0.000279669;0.000239274;0.000167716;0.000260624;9.21E-05;0.000140847;0.000119107;0.000135727;6.78E-05;0.000102624;0.000117669;0.000117138
5;8.03E-05;6.45E-05;0.000123013;0.000297277;4.92E-05;8.86E-05;4.40E-05;4.96E-05;7.67E-05;0.000126778;0.000147553;0.000168614;0.000134636;5.84E-05;0.000181927;0.000141863;0.000116559;7.94E-05;0.000124084;0.000135547;0.000128613;9.09E-05;0.000307241;0.000106648;6.75E-05;0.000282252;9.98E-05;0.000148608;0.000152207;4.72E-05;0.000102516;8.63E-05;0.000179938;6.10E-05;0.000341296;9.82E-05;4.19E-05;0.000163126;0.000263049;8.46E-05;4.44E-05;6.31E-05;8.61E-05;0.000223392;0.000175055;0.000296683;0.000126834;0.000208713;9.44E-05;0.000182937;0.000105015;0.000119197;0.000136994;0.00012271;0.000145403;6.50E-05;8.63E-05;7.53E-05;9.11E-05;0.00028733;0.000158641;7.48E-05;0.000101954;8.65E-05;0.000105361;0.000158496;8.12E-05
6;0.00016781;0.000295114;0.000123013;8.51E-05;0.000175121;9.65E-05;6.00E-05;3.57E-05;0.000113184;5.96E-05;0.000124232;3.76E-05;9.53E-05;5.10E-05;4.40E-05;0.000180863;0.00011631;3.89E-05;0.000142927;5.80E-05;8.81E-05;0.000153091;5.92E-05;7.38E-05;7.15E-05;0.000130029;0.000170225;0.000113352;0.000116112;3.36E-05;6.08E-05;0.000116883;0.00011009;0.000112697;0.000101914;6.15E-05;9.36E-05;9.61E-05;9.84E-05;8.54E-05;0.000115013;0.000147099;8.87E-05;0.000103336;0.00013147;6.54E-05;7.35E-05;0.000100932;8.45E-05;0.000143549;6.84E-05;5.46E-05;0.000145302;8.99E-05;0.000105688;0.000279669;0.000239274;0.000167716;0.000260624;9.21E-05;0.000140847;0.000119107;0.000135727;6.78E-05;0.000102624;0.000117669;0.000117138
7;8.03E-05;6.45E-05;0.000123013;0.000297277;4.92E-05;8.86E-05;4.40E-05;4.96E-05;7.67E-05;0.000126778;0.000147553;0.000168614;0.000134636;5.84E-05;0.000181927;0.000141863;0.000116559;7.94E-05;0.000124084;0.000135547;6.14E-05;9.09E-05;0.000307241;0.000106648;6.75E-05;0.000282252;9.98E-05;0.000148608;0.000152207;4.72E-05;0.000102516;8.63E-05;0.000179938;6.10E-05;0.000341296;9.82E-05;4.19E-05;8.74E-05;0.000263049;8.46E-05;4.44E-05;6.31E-05;8.61E-05;0.000223392;0.000175055;0.000296683;0.000126834;0.000208713;9.44E-05;0.000182937;0.000105015;0.000119197;0.000136994;0.00012271;0.000145403;6.50E-05;8.63E-05;7.53E-05;9.11E-05;0.00028733;0.000158641;7.48E-05;0.000101954;8.65E-05;0.000105361;0.000158496;8.12E-05
8;0.00016781;0.000295114;0.000123013;0.000101734;0.000175121;9.65E-05;6.00E-05;3.57E-05;0.000113184;5.96E-05;0.000124232;3.76E-05;9.53E-05;5.10E-05;4.40E-05;0.000180863;0.00011631;3.89E-05;0.000142927;5.80E-05;8.81E-05;0.000153091;5.92E-05;7.38E-05;7.15E-05;0.000130029;0.000170225;0.000113352;0.000116112;3.36E-05;6.08E-05;0.000116883;0.00011009;0.000112697;0.000101914;6.15E-05;9.36E-05;9.61E-05;9.84E-05;8.54E-05;0.000115013;0.000147099;8.87E-05;0.000103336;0.00013147;6.54E-05;7.35E-05;0.000100932;8.45E-05;0.000143549;6.84E-05;5.46E-05;0.000145302;8.99E-05;0.000105688;0.000279669;0.000239274;0.000167716;0.000260624;9.21E-05;0.000140847;0.000119107;0.000135727;6.78E-05;0.000102624;0.000117669;0.000117138
9;8.03E-05;6.45E-05;0.000123013;0.000297277;4.92E-05;8.86E-05;4.40E-05;4.96E-05;7.67E-05;0.000126778;0.000147553;0.000168614;0.000134636;5.84E-05;0.000181927;0.000141863;0.000116559;7.94E-05;0.000124084;0.000135547;6.14E-05;9.09E-05;0.000307241;0.000106648;6.75E-05;0.000282252;9.98E-05;0.000148608;0.000152207;4.72E-05;0.000102516;8.63E-05;0.000179938;6.10E-05;0.000341296;9.82E-05;0.000130181;8.74E-05;0.000263049;8.46E-05;4.44E-05;6.31E-05;8.61E-05;0.000223392;0.000175055;0.000296683;0.000126834;0.000208713;9.44E-05;0.000182937;0.000105015;0.000119197;0.000136994;0.00012271;0.000145403;6.50E-05;8.63E-05;7.53E-05;9.11E-05;0.00028733;0.000123665;7.48E-05;0.000101954;8.65E-05;0.000105361;8.24E-05;8.12E-05
10;0.00016781;0.000295114;0.000123013;0.000105975;0.000175121;9.65E-05;6.00E-05;3.57E-05;0.000113184;5.96E-05;0.000124232;3.76E-05;9.53E-05;5.10E-05;4.40E-05;0.000180863;0.00011631;3.89E-05;0.000142927;5.80E-05;8.81E-05;0.000153091;5.92E-05;7.38E-05;7.15E-05;0.000130029;0.000170225;0.000113352;0.000116112;3.36E-05;6.08E-05;0.000116883;0.00011009;0.000112697;0.000101914;6.15E-05;9.36E-05;9.61E-05;9.84E-05;8.54E-05;0.000115013;0.000147099;8.31E-05;0.000103336;0.00013147;6.54E-05;7.35E-05;0.000100932;8.45E-05;0.000143549;6.84E-05;5.46E-05;0.000145302;8.99E-05;0.000105688;0.000279669;0.000239274;0.000167716;0.000260624;9.21E-05;0.000140847;0.000119107;0.000135727;6.78E-05;0.000102624;0.000117669;0.000117138
