0;Chain_8;Chain_10;Chain_12;Chain_21;Chain_23;Chain_26;Chain_28;Chain_29;Chain_30;Chain_34;Chain_35;Chain_40;Chain_41;Chain_43;Chain_49;Chain_53;Chain_54;Chain_56;Chain_60;Chain_74;Chain_77;Chain_91;Chain_95;Chain_99;Chain_100;Chain_101;Chain_104;Chain_106;Chain_108;Chain_120;Chain_141;Chain_153;Chain_166;Chain_168;Chain_173;Chain_177;Chain_184;Chain_187;Chain_205;Chain_206;Chain_222;Chain_229;Chain_243;Chain_245;Chain_248;Chain_250;Chain_251;Chain_255;Chain_264;Chain_267;Chain_269;Chain_275;Chain_288;Chain_295;Chain_301;Chain_304;Chain_324;Chain_326;Chain_327;Chain_334;Chain_335;Chain_338;Chain_340;Chain_351;Chain_358;Chain_366;Chain_376
1;3.19E-05;3.59E-05;2.38E-05;6.39E-05;5.19E-05;2.99E-05;3.04E-05;4.45E-06;3.71E-05;3.43E-05;2.81E-05;2.83E-05;5.11E-05;1.25E-05;4.13E-05;3.89E-05;3.61E-05;4.15E-05;5.26E-05;3.96E-05;4.08E-05;4.60E-05;2.28E-05;3.93E-05;2.48E-05;3.54E-05;4.41E-05;3.70E-05;4.51E-05;1.14E-05;4.07E-05;4.76E-05;4.09E-05;2.76E-05;4.03E-05;1.34E-05;5.74E-06;3.60E-05;4.23E-05;4.36E-05;4.98E-05;3.41E-05;2.96E-05;2.38E-05;4.74E-05;2.08E-05;3.68E-05;1.86E-05;2.65E-05;4.43E-05;4.69E-05;2.85E-05;4.47E-05;2.78E-05;4.18E-05;5.60E-05;3.53E-05;2.57E-05;1.53E-05;5.39E-05;4.39E-05;2.28E-05;4.56E-05;3.92E-05;7.45E-05;1.68E-05;3.69E-05
2;4.22E-05;4.38E-05;2.38E-05;5.57E-05;4.35E-05;2.78E-05;3.64E-05;2.51E-05;3.23E-05;3.29E-05;3.25E-05;3.54E-05;3.92E-05;3.70E-05;1.11E-05;3.53E-05;5.82E-05;1.44E-05;1.27E-05;2.16E-05;4.22E-05;2.20E-05;3.30E-05;4.04E-05;2.69E-05;5.06E-05;1.11E-05;4.76E-05;4.69E-05;4.69E-05;5.00E-05;3.48E-05;4.59E-05;5.09E-05;2.51E-05;4.35E-05;3.16E-05;3.15E-05;3.63E-05;4.98E-05;3.75E-05;5.27E-05;1.83E-05;4.14E-05;5.67E-05;2.74E-05;3.61E-05;1.57E-05;3.93E-05;2.29E-05;1.61E-05;2.86E-05;4.83E-05;3.14E-05;5.11E-05;3.04E-05;3.99E-05;3.87E-05;4.11E-05;3.92E-05;5.13E-05;2.90E-05;3.23E-05;4.74E-05;4.52E-05;3.63E-05;5.74E-05
3;3.19E-05;3.59E-05;2.38E-05;6.39E-05;5.19E-05;2.99E-05;3.04E-05;4.45E-06;3.71E-05;3.43E-05;2.81E-05;2.83E-05;5.11E-05;1.25E-05;4.13E-05;3.89E-05;3.61E-05;4.15E-05;5.26E-05;3.96E-05;4.08E-05;4.60E-05;2.28E-05;3.93E-05;2.48E-05;3.54E-05;4.41E-05;3.70E-05;4.51E-05;1.14E-05;4.07E-05;4.76E-05;4.09E-05;2.76E-05;4.03E-05;1.34E-05;5.74E-06;3.60E-05;4.23E-05;4.36E-05;4.98E-05;3.41E-05;2.96E-05;2.38E-05;4.74E-05;2.08E-05;3.68E-05;1.86E-05;2.65E-05;4.43E-05;4.69E-05;2.85E-05;4.47E-05;2.78E-05;3.77E-05;5.60E-05;3.53E-05;2.57E-05;1.53E-05;5.39E-05;4.39E-05;2.28E-05;2.91E-05;3.92E-05;7.45E-05;1.68E-05;3.69E-05
4;4.22E-05;4.38E-05;2.38E-05;5.57E-05;1.91E-05;2.78E-05;3.64E-05;2.51E-05;3.23E-05;3.29E-05;3.25E-05;3.54E-05;3.92E-05;3.70E-05;1.11E-05;3.53E-05;5.82E-05;1.44E-05;1.27E-05;2.16E-05;4.22E-05;2.20E-05;3.30E-05;4.04E-05;2.69E-05;5.06E-05;1.11E-05;4.76E-05;4.69E-05;4.69E-05;5.00E-05;3.48E-05;4.59E-05;5.09E-05;2.51E-05;4.35E-05;3.16E-05;3.15E-05;3.63E-05;4.98E-05;3.75E-05;5.27E-05;1.83E-05;4.14E-05;5.67E-05;2.74E-05;3.61E-05;1.57E-05;3.93E-05;2.29E-05;1.61E-05;2.86E-05;4.83E-05;3.14E-05;5.11E-05;3.04E-05;3.99E-05;3.87E-05;4.11E-05;3.92E-05;5.13E-05;2.90E-05;3.23E-05;4.74E-05;4.52E-05;3.63E-05;5.74E-05
5;3.19E-05;3.59E-05;2.38E-05;6.39E-05;5.19E-05;2.99E-05;3.04E-05;4.45E-06;3.71E-05;3.43E-05;2.81E-05;2.83E-05;5.11E-05;1.25E-05;4.13E-05;3.89E-05;3.61E-05;3.80E-05;5.26E-05;3.96E-05;4.08E-05;4.60E-05;2.28E-05;3.93E-05;2.72E-05;3.54E-05;4.41E-05;3.70E-05;4.51E-05;1.14E-05;4.07E-05;4.76E-05;4.09E-05;2.76E-05;4.03E-05;1.34E-05;5.74E-06;3.60E-05;4.23E-05;4.36E-05;4.98E-05;3.41E-05;2.96E-05;2.38E-05;4.74E-05;2.08E-05;3.68E-05;1.86E-05;2.65E-05;4.43E-05;4.69E-05;2.85E-05;4.47E-05;2.78E-05;3.77E-05;5.60E-05;3.53E-05;2.57E-05;1.53E-05;5.39E-05;4.39E-05;2.28E-05;2.91E-05;3.92E-05;7.45E-05;1.68E-05;3.69E-05
6;4.22E-05;4.38E-05;2.38E-05;5.57E-05;1.91E-05;2.78E-05;3.64E-05;2.51E-05;3.23E-05;3.29E-05;3.25E-05;3.54E-05;3.92E-05;3.70E-05;1.11E-05;3.53E-05;5.82E-05;1.44E-05;1.27E-05;2.16E-05;4.22E-05;2.20E-05;3.30E-05;4.04E-05;2.69E-05;5.06E-05;1.11E-05;4.76E-05;4.69E-05;4.69E-05;5.00E-05;3.48E-05;4.59E-05;5.09E-05;2.51E-05;4.35E-05;3.24E-05;3.15E-05;3.63E-05;4.98E-05;3.75E-05;5.27E-05;1.83E-05;4.14E-05;5.67E-05;2.74E-05;3.61E-05;1.57E-05;3.93E-05;2.29E-05;1.61E-05;2.86E-05;4.83E-05;3.14E-05;5.11E-05;3.04E-05;3.99E-05;3.87E-05;4.11E-05;3.92E-05;5.13E-05;2.90E-05;3.23E-05;4.74E-05;4.52E-05;3.63E-05;5.74E-05
7;3.19E-05;3.59E-05;2.38E-05;6.39E-05;5.19E-05;2.99E-05;3.04E-05;4.45E-06;3.71E-05;3.43E-05;2.81E-05;2.83E-05;5.11E-05;1.25E-05;4.13E-05;3.89E-05;3.61E-05;3.80E-05;5.26E-05;3.96E-05;2.42E-05;4.60E-05;2.28E-05;3.93E-05;2.72E-05;3.54E-05;4.41E-05;3.70E-05;4.51E-05;1.14E-05;4.07E-05;4.76E-05;4.09E-05;2.76E-05;4.03E-05;1.34E-05;5.74E-06;2.18E-05;4.23E-05;4.36E-05;4.98E-05;3.41E-05;2.96E-05;2.38E-05;4.74E-05;2.08E-05;3.68E-05;1.86E-05;2.65E-05;4.43E-05;4.69E-05;2.85E-05;4.47E-05;2.78E-05;3.77E-05;5.60E-05;3.53E-05;2.57E-05;1.53E-05;5.39E-05;4.39E-05;2.28E-05;2.91E-05;3.92E-05;7.45E-05;1.68E-05;3.69E-05
8;4.22E-05;4.38E-05;2.38E-05;4.38E-05;1.91E-05;2.78E-05;3.64E-05;2.51E-05;3.23E-05;3.29E-05;3.25E-05;3.54E-05;3.92E-05;3.70E-05;1.11E-05;3.53E-05;5.82E-05;1.44E-05;1.27E-05;2.16E-05;4.22E-05;2.20E-05;3.30E-05;4.04E-05;2.69E-05;5.06E-05;1.11E-05;4.76E-05;4.69E-05;4.69E-05;5.00E-05;3.48E-05;4.59E-05;5.09E-05;2.51E-05;4.35E-05;3.24E-05;3.15E-05;3.63E-05;4.98E-05;3.75E-05;5.27E-05;1.83E-05;4.14E-05;5.67E-05;2.74E-05;3.61E-05;1.57E-05;3.93E-05;2.29E-05;1.61E-05;2.86E-05;4.83E-05;3.14E-05;5.11E-05;3.04E-05;3.99E-05;3.87E-05;4.11E-05;3.92E-05;5.13E-05;2.90E-05;3.23E-05;4.74E-05;4.52E-05;3.63E-05;5.74E-05
9;3.19E-05;3.59E-05;2.38E-05;6.39E-05;5.19E-05;2.99E-05;3.04E-05;4.45E-06;3.71E-05;3.43E-05;2.81E-05;2.83E-05;5.11E-05;1.25E-05;4.13E-05;3.89E-05;3.61E-05;3.80E-05;5.26E-05;3.96E-05;2.42E-05;4.60E-05;2.28E-05;3.93E-05;2.72E-05;3.54E-05;4.41E-05;3.70E-05;4.51E-05;1.14E-05;4.07E-05;4.76E-05;4.09E-05;2.76E-05;4.03E-05;1.34E-05;3.07E-05;2.18E-05;4.23E-05;4.36E-05;4.98E-05;3.41E-05;2.96E-05;2.38E-05;4.74E-05;2.08E-05;3.68E-05;1.86E-05;2.65E-05;4.43E-05;4.69E-05;2.85E-05;4.47E-05;2.78E-05;3.77E-05;5.60E-05;3.53E-05;2.57E-05;1.53E-05;5.39E-05;3.92E-05;2.28E-05;2.91E-05;3.92E-05;7.45E-05;5.57E-05;3.69E-05
10;4.22E-05;4.38E-05;2.38E-05;2.35E-05;1.91E-05;2.78E-05;3.64E-05;2.51E-05;3.23E-05;3.29E-05;3.25E-05;3.54E-05;3.92E-05;3.70E-05;1.11E-05;3.53E-05;5.82E-05;1.44E-05;1.27E-05;2.16E-05;4.22E-05;2.20E-05;3.30E-05;4.04E-05;2.69E-05;5.06E-05;1.11E-05;4.76E-05;4.69E-05;4.69E-05;5.00E-05;3.48E-05;4.59E-05;5.09E-05;2.51E-05;4.35E-05;3.24E-05;3.15E-05;3.63E-05;4.98E-05;3.75E-05;5.27E-05;3.33E-05;4.14E-05;5.67E-05;2.74E-05;3.61E-05;1.57E-05;3.93E-05;2.29E-05;1.61E-05;2.86E-05;4.83E-05;3.14E-05;5.11E-05;3.04E-05;3.99E-05;3.87E-05;4.11E-05;3.92E-05;5.13E-05;2.90E-05;3.23E-05;4.74E-05;4.52E-05;3.63E-05;5.74E-05
