0;Chain_8;Chain_10;Chain_12;Chain_21;Chain_23;Chain_26;Chain_28;Chain_29;Chain_30;Chain_34;Chain_35;Chain_40;Chain_41;Chain_43;Chain_49;Chain_53;Chain_54;Chain_56;Chain_60;Chain_74;Chain_77;Chain_91;Chain_95;Chain_99;Chain_100;Chain_101;Chain_104;Chain_106;Chain_108;Chain_120;Chain_141;Chain_153;Chain_166;Chain_168;Chain_173;Chain_177;Chain_184;Chain_187;Chain_205;Chain_206;Chain_222;Chain_229;Chain_243;Chain_245;Chain_248;Chain_250;Chain_251;Chain_255;Chain_264;Chain_267;Chain_269;Chain_275;Chain_288;Chain_295;Chain_301;Chain_304;Chain_324;Chain_326;Chain_327;Chain_334;Chain_335;Chain_338;Chain_340;Chain_351;Chain_358;Chain_366;Chain_376
1;2.655966561;3.166571469;4.019447069;5.100728957;2.561431629;2.836984665;2.829521054;2.619098496;2.398280435;3.919577666;1.879494563;2.602541102;3.346920779;3.594052803;2.343108344;6.711705589;4.52820472;3.312056561;3.318384502;1.374753851;3.598605838;4.121783914;3.44354539;3.547055225;1.777189217;5.622022605;1.901457435;3.442778001;4.321163809;2.322584821;4.183575146;2.879318971;3.706054619;2.974776661;2.408966109;4.450876616;3.881185292;1.659162123;3.943098726;4.717665066;3.857330162;2.290685602;2.361987026;4.368065505;3.077846835;3.150222443;2.074008232;3.739533169;5.119251387;1.774848892;2.633925862;3.46805667;4.357880379;4.620989418;3.860021719;5.120222645;2.23692292;3.111886875;2.201021759;3.778965361;3.50885719;3.050483441;2.656181273;2.703153555;3.380510425;2.599400801;3.326702953
2;3.781070143;2.489557826;4.019447069;4.504689625;2.66140475;2.775697864;4.002717684;2.966330263;4.887270456;2.439783411;3.875758284;4.255344375;5.787429987;3.650318374;3.377604878;3.714437649;2.594038116;1.959606594;2.003989259;3.125357149;3.764884545;2.072026417;3.475983231;1.908625745;3.110947641;4.333401063;5.491497448;2.926733217;1.928994337;2.690509091;2.846170499;3.139249318;3.633340475;2.425333376;4.801019773;4.232743954;3.432135727;2.372402159;4.476052194;2.610836294;2.664674446;3.157636654;3.591019533;3.116023935;3.441202383;1.766650979;4.27181358;3.08322613;4.182869004;2.267876019;4.418659403;2.178396832;0.005502938;1.974309385;2.873022508;2.696315064;3.100962588;3.459652603;1.694104437;1.58909104;2.343627848;4.859168234;2.906339491;4.593620969;3.320653122;4.559008931;4.503354839
3;2.655966561;3.166571469;4.019447069;5.100728957;2.561431629;2.836984665;2.829521054;2.619098496;2.398280435;3.919577666;1.879494563;2.602541102;3.346920779;3.594052803;2.343108344;6.711705589;4.52820472;3.312056561;3.318384502;1.374753851;3.598605838;4.121783914;3.44354539;3.547055225;1.777189217;5.622022605;1.901457435;3.442778001;4.321163809;2.322584821;4.183575146;2.879318971;3.706054619;2.974776661;2.408966109;4.450876616;3.881185292;1.659162123;3.943098726;4.717665066;3.857330162;2.290685602;2.361987026;4.368065505;3.077846835;3.150222443;2.074008232;3.739533169;5.119251387;1.774848892;2.633925862;3.46805667;4.357880379;4.620989418;2.174338467;5.120222645;2.23692292;3.111886875;2.201021759;3.778965361;3.50885719;3.050483441;3.374356272;2.703153555;3.380510425;2.599400801;3.326702953
4;3.781070143;2.489557826;4.019447069;4.504689625;4.08953563;2.775697864;4.002717684;2.966330263;4.887270456;2.439783411;3.875758284;4.255344375;5.787429987;3.650318374;3.377604878;3.714437649;2.594038116;1.959606594;2.003989259;3.125357149;3.764884545;2.072026417;3.475983231;1.908625745;3.110947641;4.333401063;5.491497448;2.926733217;1.928994337;2.690509091;2.846170499;3.139249318;3.633340475;2.425333376;4.801019773;4.232743954;3.432135727;2.372402159;4.476052194;2.610836294;2.664674446;3.157636654;3.591019533;3.116023935;3.441202383;1.766650979;4.27181358;3.08322613;4.182869004;2.267876019;4.418659403;2.178396832;0.005502938;1.974309385;2.873022508;2.696315064;3.100962588;3.459652603;1.694104437;1.58909104;2.343627848;4.859168234;2.906339491;4.593620969;3.320653122;4.559008931;4.503354839
5;2.655966561;3.166571469;4.019447069;5.100728957;2.561431629;2.836984665;2.829521054;2.619098496;2.398280435;3.919577666;1.879494563;2.602541102;3.346920779;3.594052803;2.343108344;6.711705589;4.52820472;4.982050197;3.318384502;1.374753851;3.598605838;4.121783914;3.44354539;3.547055225;2.30050082;5.622022605;1.901457435;3.442778001;4.321163809;2.322584821;4.183575146;2.879318971;3.706054619;2.974776661;2.408966109;4.450876616;3.881185292;1.659162123;3.943098726;4.717665066;3.857330162;2.290685602;2.361987026;4.368065505;3.077846835;3.150222443;2.074008232;3.739533169;5.119251387;1.774848892;2.633925862;3.46805667;4.357880379;4.620989418;2.174338467;5.120222645;2.23692292;3.111886875;2.201021759;3.778965361;3.50885719;3.050483441;3.374356272;2.703153555;3.380510425;2.599400801;3.326702953
6;3.781070143;2.489557826;4.019447069;4.504689625;4.08953563;2.775697864;4.002717684;2.966330263;4.887270456;2.439783411;3.875758284;4.255344375;5.787429987;3.650318374;3.377604878;3.714437649;2.594038116;1.959606594;2.003989259;3.125357149;3.764884545;2.072026417;3.475983231;1.908625745;3.110947641;4.333401063;5.491497448;2.926733217;1.928994337;2.690509091;2.846170499;3.139249318;3.633340475;2.425333376;4.801019773;4.232743954;4.06184661;2.372402159;4.476052194;2.610836294;2.664674446;3.157636654;3.591019533;3.116023935;3.441202383;1.766650979;4.27181358;3.08322613;4.182869004;2.267876019;4.418659403;2.178396832;0.005502938;1.974309385;2.873022508;2.696315064;3.100962588;3.459652603;1.694104437;1.58909104;2.343627848;4.859168234;2.906339491;4.593620969;3.320653122;4.559008931;4.503354839
7;2.655966561;3.166571469;4.019447069;5.100728957;2.561431629;2.836984665;2.829521054;2.619098496;2.398280435;3.919577666;1.879494563;2.602541102;3.346920779;3.594052803;2.343108344;6.711705589;4.52820472;4.982050197;3.318384502;1.374753851;3.060402338;4.121783914;3.44354539;3.547055225;2.30050082;5.622022605;1.901457435;3.442778001;4.321163809;2.322584821;4.183575146;2.879318971;3.706054619;2.974776661;2.408966109;4.450876616;3.881185292;2.741614978;3.943098726;4.717665066;3.857330162;2.290685602;2.361987026;4.368065505;3.077846835;3.150222443;2.074008232;3.739533169;5.119251387;1.774848892;2.633925862;3.46805667;4.357880379;4.620989418;2.174338467;5.120222645;2.23692292;3.111886875;2.201021759;3.778965361;3.50885719;3.050483441;3.374356272;2.703153555;3.380510425;2.599400801;3.326702953
8;3.781070143;2.489557826;4.019447069;4.470701642;4.08953563;2.775697864;4.002717684;2.966330263;4.887270456;2.439783411;3.875758284;4.255344375;5.787429987;3.650318374;3.377604878;3.714437649;2.594038116;1.959606594;2.003989259;3.125357149;3.764884545;2.072026417;3.475983231;1.908625745;3.110947641;4.333401063;5.491497448;2.926733217;1.928994337;2.690509091;2.846170499;3.139249318;3.633340475;2.425333376;4.801019773;4.232743954;4.06184661;2.372402159;4.476052194;2.610836294;2.664674446;3.157636654;3.591019533;3.116023935;3.441202383;1.766650979;4.27181358;3.08322613;4.182869004;2.267876019;4.418659403;2.178396832;0.005502938;1.974309385;2.873022508;2.696315064;3.100962588;3.459652603;1.694104437;1.58909104;2.343627848;4.859168234;2.906339491;4.593620969;3.320653122;4.559008931;4.503354839
9;2.655966561;3.166571469;4.019447069;5.100728957;2.561431629;2.836984665;2.829521054;2.619098496;2.398280435;3.919577666;1.879494563;2.602541102;3.346920779;3.594052803;2.343108344;6.711705589;4.52820472;4.982050197;3.318384502;1.374753851;3.060402338;4.121783914;3.44354539;3.547055225;2.30050082;5.622022605;1.901457435;3.442778001;4.321163809;2.322584821;4.183575146;2.879318971;3.706054619;2.974776661;2.408966109;4.450876616;2.536205204;2.741614978;3.943098726;4.717665066;3.857330162;2.290685602;2.361987026;4.368065505;3.077846835;3.150222443;2.074008232;3.739533169;5.119251387;1.774848892;2.633925862;3.46805667;4.357880379;4.620989418;2.174338467;5.120222645;2.23692292;3.111886875;2.201021759;3.778965361;1.851804843;3.050483441;3.374356272;2.703153555;3.380510425;3.433618595;3.326702953
10;3.781070143;2.489557826;4.019447069;1.697457448;4.08953563;2.775697864;4.002717684;2.966330263;4.887270456;2.439783411;3.875758284;4.255344375;5.787429987;3.650318374;3.377604878;3.714437649;2.594038116;1.959606594;2.003989259;3.125357149;3.764884545;2.072026417;3.475983231;1.908625745;3.110947641;4.333401063;5.491497448;2.926733217;1.928994337;2.690509091;2.846170499;3.139249318;3.633340475;2.425333376;4.801019773;4.232743954;4.06184661;2.372402159;4.476052194;2.610836294;2.664674446;3.157636654;2.156920904;3.116023935;3.441202383;1.766650979;4.27181358;3.08322613;4.182869004;2.267876019;4.418659403;2.178396832;0.005502938;1.974309385;2.873022508;2.696315064;3.100962588;3.459652603;1.694104437;1.58909104;2.343627848;4.859168234;2.906339491;4.593620969;3.320653122;4.559008931;4.503354839
11;2.655966561;3.166571469;4.019447069;5.100728957;2.561431629;2.836984665;2.829521054;2.619098496;2.398280435;3.919577666;1.879494563;2.602541102;3.346920779;3.594052803;2.343108344;6.711705589;4.52820472;4.982050197;3.318384502;1.374753851;3.060402338;4.121783914;3.44354539;3.547055225;2.30050082;5.622022605;1.901457435;3.442778001;4.321163809;2.322584821;4.183575146;2.879318971;3.706054619;2.974776661;2.408966109;4.450876616;2.536205204;2.741614978;3.943098726;4.717665066;3.857330162;2.290685602;2.361987026;4.368065505;3.077846835;3.150222443;2.074008232;3.739533169;5.119251387;1.774848892;2.633925862;3.46805667;4.357880379;4.620989418;2.174338467;5.120222645;2.23692292;3.111886875;2.201021759;3.778965361;1.851804843;3.050483441;3.374356272;2.703153555;3.380510425;3.433618595;3.326702953
12;3.781070143;2.489557826;4.019447069;1.697457448;4.08953563;2.775697864;4.002717684;2.966330263;4.887270456;2.439783411;3.875758284;4.255344375;5.787429987;2.650004502;3.465601987;3.714437649;2.594038116;1.959606594;2.003989259;3.125357149;3.764884545;2.072026417;3.475983231;1.908625745;3.110947641;4.333401063;3.814602173;2.926733217;1.928994337;2.093675374;2.846170499;3.139249318;3.633340475;2.425333376;4.801019773;4.232743954;4.06184661;2.372402159;4.476052194;2.610836294;3.214048534;3.157636654;2.156920904;3.116023935;3.441202383;1.766650979;4.27181358;3.08322613;4.182869004;2.267876019;4.418659403;2.178396832;0.005502938;1.974309385;2.873022508;2.696315064;3.100962588;3.459652603;1.694104437;1.58909104;2.343627848;4.859168234;2.906339491;4.593620969;3.320653122;4.559008931;4.503354839
13;2.655966561;3.166571469;4.019447069;5.100728957;2.561431629;2.836984665;2.829521054;2.619098496;2.398280435;3.919577666;1.879494563;2.602541102;3.346920779;3.594052803;2.343108344;6.711705589;4.52820472;4.982050197;3.318384502;1.374753851;3.205131906;4.121783914;3.44354539;3.547055225;2.30050082;5.622022605;1.901457435;3.442778001;4.321163809;2.322584821;4.183575146;2.879318971;3.706054619;2.974776661;2.408966109;4.450876616;2.536205204;2.741614978;3.943098726;4.717665066;3.857330162;2.290685602;2.361987026;4.368065505;3.077846835;3.150222443;2.074008232;3.739533169;5.119251387;1.774848892;2.633925862;3.46805667;4.357880379;4.620989418;2.174338467;5.120222645;2.23692292;3.111886875;2.201021759;3.778965361;1.851804843;3.050483441;3.374356272;2.703153555;3.380510425;3.433618595;3.326702953
14;3.781070143;2.489557826;4.019447069;1.697457448;4.08953563;2.775697864;4.002717684;2.966330263;4.887270456;2.439783411;3.875758284;4.255344375;5.787429987;2.650004502;3.465601987;3.714437649;2.594038116;1.959606594;2.003989259;3.125357149;3.764884545;2.072026417;3.475983231;1.908625745;3.110947641;4.333401063;3.814602173;2.926733217;1.928994337;2.093675374;2.846170499;3.139249318;3.633340475;2.425333376;4.801019773;4.232743954;4.06184661;2.372402159;4.476052194;2.610836294;3.214048534;3.157636654;2.156920904;3.116023935;1.993260073;1.766650979;4.27181358;3.08322613;4.182869004;2.267876019;4.418659403;2.178396832;5.000529579;1.974309385;2.873022508;2.696315064;3.100962588;3.459652603;1.694104437;1.58909104;2.343627848;4.859168234;2.906339491;4.593620969;3.320653122;4.559008931;4.503354839
15;2.655966561;3.166571469;4.019447069;5.100728957;2.561431629;2.836984665;2.829521054;2.619098496;2.398280435;3.919577666;1.879494563;2.602541102;3.346920779;3.594052803;2.343108344;6.711705589;4.52820472;4.982050197;3.318384502;1.374753851;3.205131906;4.121783914;3.44354539;3.547055225;2.30050082;5.622022605;1.901457435;3.442778001;4.321163809;2.322584821;4.183575146;2.879318971;3.706054619;2.974776661;2.408966109;4.450876616;2.536205204;2.741614978;3.943098726;4.717665066;3.857330162;2.290685602;2.361987026;4.368065505;3.077846835;3.150222443;2.074008232;3.739533169;5.119251387;1.774848892;2.633925862;3.46805667;4.357880379;4.620989418;2.174338467;5.120222645;2.23692292;3.111886875;2.201021759;3.778965361;1.851804843;3.050483441;3.374356272;2.703153555;3.380510425;3.433618595;3.326702953
