0;Chain_8;Chain_10;Chain_12;Chain_21;Chain_23;Chain_26;Chain_28;Chain_29;Chain_30;Chain_34;Chain_35;Chain_40;Chain_41;Chain_43;Chain_49;Chain_53;Chain_54;Chain_56;Chain_60;Chain_74;Chain_77;Chain_91;Chain_95;Chain_99;Chain_100;Chain_101;Chain_104;Chain_106;Chain_108;Chain_120;Chain_141;Chain_153;Chain_166;Chain_168;Chain_173;Chain_177;Chain_184;Chain_187;Chain_205;Chain_206;Chain_222;Chain_229;Chain_243;Chain_245;Chain_248;Chain_250;Chain_251;Chain_255;Chain_264;Chain_267;Chain_269;Chain_275;Chain_288;Chain_295;Chain_301;Chain_304;Chain_324;Chain_326;Chain_327;Chain_334;Chain_335;Chain_338;Chain_340;Chain_351;Chain_358;Chain_366;Chain_376
1;4.172894438;4.354826574;3.175068704;2.407864197;9.080668054;5.703844979;4.9371907;6.952212247;5.70191776;5.469307256;3.758213189;6.795778191;6.372548742;5.755629253;5.08512134;5.132077798;1.892669562;5.029523616;5.895580469;4.518393304;6.408732296;3.039111196;2.240582132;5.939487703;4.943335436;4.103244065;5.221212601;0.20382122;3.689116029;7.511846916;4.22805226;6.258153613;5.961724099;6.349686267;3.87509082;5.892117989;6.283136888;2.171107761;4.442299203;4.660552408;2.412366512;3.798772844;4.064170624;4.703387651;3.693849041;5.234320981;5.560549813;3.274719735;6.215087668;1.916186641;3.984706549;2.27217571;7.142562657;5.889054306;4.926600366;8.373753416;4.335794618;6.309633042;3.972614561;4.165948522;4.850160768;4.477744992;4.968424229;5.167447982;4.366135411;7.554671004;6.108527205
2;6.937110434;3.25547482;3.175068704;4.105996481;6.879675245;8.284325526;5.051991799;3.528220779;5.829043662;4.248170741;5.998040818;3.506716521;6.058943184;1.677340032;4.087591324;7.847106883;8.017972518;5.50317213;7.978649056;4.756484907;5.093101974;3.24975209;5.800151482;4.326067656;7.283726416;3.430227397;5.528538929;6.096534685;1.834876231;5.963303532;2.450346889;7.381473224;6.413625447;6.243379696;6.690532891;4.247163544;4.37559348;4.669078357;7.610859841;3.265473784;9.023068477;5.651237116;7.637945306;3.582805045;6.474059182;6.237034732;4.00668406;7.059888173;1.120072421;4.351711857;5.518020841;7.417422403;7.263614932;7.836789843;5.114963569;4.959267863;6.837096117;5.5086221;6.106550402;3.383423899;4.615366343;6.04314914;2.183319647;3.478102694;8.390259626;5.023475881;4.974581911
3;4.172894438;4.354826574;3.175068704;2.407864197;9.080668054;5.703844979;4.9371907;6.952212247;5.70191776;5.469307256;3.758213189;6.795778191;6.372548742;5.755629253;5.08512134;5.132077798;1.892669562;5.029523616;5.895580469;4.518393304;6.408732296;3.039111196;2.240582132;5.939487703;4.943335436;4.103244065;5.221212601;0.20382122;3.689116029;7.511846916;4.22805226;6.258153613;5.961724099;6.349686267;3.87509082;5.892117989;6.283136888;2.171107761;4.442299203;4.660552408;2.412366512;3.798772844;4.064170624;4.703387651;3.693849041;5.234320981;5.560549813;3.274719735;6.215087668;1.916186641;3.984706549;2.27217571;7.142562657;5.889054306;1.627803259;8.373753416;4.335794618;6.309633042;3.972614561;4.165948522;4.850160768;4.477744992;4.790839707;5.167447982;4.366135411;7.554671004;6.108527205
4;6.937110434;3.25547482;3.175068704;4.105996481;2.945494053;8.284325526;5.051991799;3.528220779;5.829043662;4.248170741;5.998040818;3.506716521;6.058943184;1.677340032;4.087591324;7.847106883;8.017972518;5.50317213;7.978649056;4.756484907;5.093101974;3.24975209;5.800151482;4.326067656;7.283726416;3.430227397;5.528538929;6.096534685;1.834876231;5.963303532;2.450346889;7.381473224;6.413625447;6.243379696;6.690532891;4.247163544;4.37559348;4.669078357;7.610859841;3.265473784;9.023068477;5.651237116;7.637945306;3.582805045;6.474059182;6.237034732;4.00668406;7.059888173;1.120072421;4.351711857;5.518020841;7.417422403;7.263614932;7.836789843;5.114963569;4.959267863;6.837096117;5.5086221;6.106550402;3.383423899;4.615366343;6.04314914;2.183319647;3.478102694;8.390259626;5.023475881;4.974581911
5;4.172894438;4.354826574;3.175068704;2.407864197;9.080668054;5.703844979;4.9371907;6.952212247;5.70191776;5.469307256;3.758213189;6.795778191;6.372548742;5.755629253;5.08512134;5.132077798;1.892669562;2.258176252;5.895580469;4.518393304;6.408732296;3.039111196;2.240582132;5.939487703;4.157104023;4.103244065;5.221212601;0.20382122;3.689116029;7.511846916;4.22805226;6.258153613;5.961724099;6.349686267;3.87509082;5.892117989;6.283136888;2.171107761;4.442299203;4.660552408;2.412366512;3.798772844;4.064170624;4.703387651;3.693849041;5.234320981;5.560549813;3.274719735;6.215087668;1.916186641;3.984706549;2.27217571;7.142562657;5.889054306;1.627803259;8.373753416;4.335794618;6.309633042;3.972614561;4.165948522;4.850160768;4.477744992;4.790839707;5.167447982;4.366135411;7.554671004;6.108527205
6;6.937110434;3.25547482;3.175068704;4.105996481;2.945494053;8.284325526;5.051991799;3.528220779;5.829043662;4.248170741;5.998040818;3.506716521;6.058943184;1.677340032;4.087591324;7.847106883;8.017972518;5.50317213;7.978649056;4.756484907;5.093101974;3.24975209;5.800151482;4.326067656;7.283726416;3.430227397;5.528538929;6.096534685;1.834876231;5.963303532;2.450346889;7.381473224;6.413625447;6.243379696;6.690532891;4.247163544;3.453179386;4.669078357;7.610859841;3.265473784;9.023068477;5.651237116;7.637945306;3.582805045;6.474059182;6.237034732;4.00668406;7.059888173;1.120072421;4.351711857;5.518020841;7.417422403;7.263614932;7.836789843;5.114963569;4.959267863;6.837096117;5.5086221;6.106550402;3.383423899;4.615366343;6.04314914;2.183319647;3.478102694;8.390259626;5.023475881;4.974581911
7;4.172894438;4.354826574;3.175068704;2.407864197;9.080668054;5.703844979;4.9371907;6.952212247;5.70191776;5.469307256;3.758213189;6.795778191;6.372548742;5.755629253;5.08512134;5.132077798;1.892669562;2.258176252;5.895580469;4.518393304;2.870285829;3.039111196;2.240582132;5.939487703;4.157104023;4.103244065;5.221212601;0.20382122;3.689116029;7.511846916;4.22805226;6.258153613;5.961724099;6.349686267;3.87509082;5.892117989;6.283136888;4.188555484;4.442299203;4.660552408;2.412366512;3.798772844;4.064170624;4.703387651;3.693849041;5.234320981;5.560549813;3.274719735;6.215087668;1.916186641;3.984706549;2.27217571;7.142562657;5.889054306;1.627803259;8.373753416;4.335794618;6.309633042;3.972614561;4.165948522;4.850160768;4.477744992;4.790839707;5.167447982;4.366135411;7.554671004;6.108527205
8;6.937110434;3.25547482;3.175068704;5.69463983;2.945494053;8.284325526;5.051991799;3.528220779;5.829043662;4.248170741;5.998040818;3.506716521;6.058943184;1.677340032;4.087591324;7.847106883;8.017972518;5.50317213;7.978649056;4.756484907;5.093101974;3.24975209;5.800151482;4.326067656;7.283726416;3.430227397;5.528538929;6.096534685;1.834876231;5.963303532;2.450346889;7.381473224;6.413625447;6.243379696;6.690532891;4.247163544;3.453179386;4.669078357;7.610859841;3.265473784;9.023068477;5.651237116;7.637945306;3.582805045;6.474059182;6.237034732;4.00668406;7.059888173;1.120072421;4.351711857;5.518020841;7.417422403;7.263614932;7.836789843;5.114963569;4.959267863;6.837096117;5.5086221;6.106550402;3.383423899;4.615366343;6.04314914;2.183319647;3.478102694;8.390259626;5.023475881;4.974581911
9;4.172894438;4.354826574;3.175068704;2.407864197;9.080668054;5.703844979;4.9371907;6.952212247;5.70191776;5.469307256;3.758213189;6.795778191;6.372548742;5.755629253;5.08512134;5.132077798;1.892669562;2.258176252;5.895580469;4.518393304;2.870285829;3.039111196;2.240582132;5.939487703;4.157104023;4.103244065;5.221212601;0.20382122;3.689116029;7.511846916;4.22805226;6.258153613;5.961724099;6.349686267;3.87509082;5.892117989;5.422846427;4.188555484;4.442299203;4.660552408;2.412366512;3.798772844;4.064170624;4.703387651;3.693849041;5.234320981;5.560549813;3.274719735;6.215087668;1.916186641;3.984706549;2.27217571;7.142562657;5.889054306;1.627803259;8.373753416;4.335794618;6.309633042;3.972614561;4.165948522;4.358761007;4.477744992;4.790839707;5.167447982;4.366135411;4.411989943;6.108527205
10;6.937110434;3.25547482;3.175068704;5.176238228;2.945494053;8.284325526;5.051991799;3.528220779;5.829043662;4.248170741;5.998040818;3.506716521;6.058943184;1.677340032;4.087591324;7.847106883;8.017972518;5.50317213;7.978649056;4.756484907;5.093101974;3.24975209;5.800151482;4.326067656;7.283726416;3.430227397;5.528538929;6.096534685;1.834876231;5.963303532;2.450346889;7.381473224;6.413625447;6.243379696;6.690532891;4.247163544;3.453179386;4.669078357;7.610859841;3.265473784;9.023068477;5.651237116;5.555923755;3.582805045;6.474059182;6.237034732;4.00668406;7.059888173;1.120072421;4.351711857;5.518020841;7.417422403;7.263614932;7.836789843;5.114963569;4.959267863;6.837096117;5.5086221;6.106550402;3.383423899;4.615366343;6.04314914;2.183319647;3.478102694;8.390259626;5.023475881;4.974581911
