0;Chain_8;Chain_10;Chain_12;Chain_21;Chain_23;Chain_26;Chain_28;Chain_29;Chain_30;Chain_34;Chain_35;Chain_40;Chain_41;Chain_43;Chain_49;Chain_53;Chain_54;Chain_56;Chain_60;Chain_74;Chain_77;Chain_91;Chain_95;Chain_99;Chain_100;Chain_101;Chain_104;Chain_106;Chain_108;Chain_120;Chain_141;Chain_153;Chain_166;Chain_168;Chain_173;Chain_177;Chain_184;Chain_187;Chain_205;Chain_206;Chain_222;Chain_229;Chain_243;Chain_245;Chain_248;Chain_250;Chain_251;Chain_255;Chain_264;Chain_267;Chain_269;Chain_275;Chain_288;Chain_295;Chain_301;Chain_304;Chain_324;Chain_326;Chain_327;Chain_334;Chain_335;Chain_338;Chain_340;Chain_351;Chain_358;Chain_366;Chain_376
1;2.279785379;2.387639663;1.579836634;1.985588832;3.802536364;4.373083735;3.952504218;1.443855332;3.061745042;2.562927064;2.162025029;1.867245819;4.08519942;2.942770076;2.070258246;2.020720455;2.006899856;3.75949289;2.880382763;3.265155277;4.685404394;3.092229085;2.207550419;3.901881308;2.876325927;1.80385232;2.893276123;1.85621398;3.280473641;3.124690158;1.588602566;3.172678716;1.945647424;2.406195575;1.624675644;0.830620568;2.104047339;2.954869233;1.837346652;3.258771881;2.881865253;2.370547838;2.64895173;1.682028359;2.10423654;1.405761434;2.456536548;1.489043709;1.694167922;2.743166003;2.711655037;2.049787716;2.780689586;1.423191644;4.499933414;3.056815755;3.865286753;2.531663621;2.730791888;1.592097209;2.200118072;3.156069671;2.220628369;2.09934031;7.132428524;2.966816723;3.378480837
2;3.031165186;1.439674818;1.579836634;4.733783466;3.304675628;3.022074682;2.755278296;5.496970565;1.460444313;1.454372988;2.437528999;1.996352655;3.99384747;3.691645895;1.866211658;2.842661354;3.559343031;2.204993373;3.852694552;0.712836416;5.450840642;2.82362581;3.803015691;1.957229073;2.845455792;2.686249358;2.779295259;2.407473183;1.874848425;2.142433185;3.924551838;6.373673575;4.821593566;4.143578321;2.382455043;2.274048082;2.540028565;2.196058518;3.256382389;2.087303511;3.337136011;2.90526851;3.69910283;2.399807635;3.235311944;4.287716322;3.568173202;1.739701019;1.531355331;1.801288417;3.004386058;2.776271864;2.733352381;1.487875801;3.498417839;1.478466624;2.023645908;1.948078134;2.121537945;6.41133897;3.152706141;3.500953264;1.391815623;1.964565291;1.522395173;2.686754717;2.863586578
3;2.279785379;2.387639663;1.579836634;1.985588832;3.802536364;4.373083735;3.952504218;1.443855332;3.061745042;2.562927064;2.162025029;1.867245819;4.08519942;2.942770076;2.070258246;2.020720455;2.006899856;3.75949289;2.880382763;3.265155277;4.685404394;3.092229085;2.207550419;3.901881308;2.876325927;1.80385232;2.893276123;1.85621398;3.280473641;3.124690158;1.588602566;3.172678716;1.945647424;2.406195575;1.624675644;0.830620568;2.104047339;2.954869233;1.837346652;3.258771881;2.881865253;2.370547838;2.64895173;1.682028359;2.10423654;1.405761434;2.456536548;1.489043709;1.694167922;2.743166003;2.711655037;2.049787716;2.780689586;1.423191644;1.691615846;3.056815755;3.865286753;2.531663621;2.730791888;1.592097209;2.200118072;3.156069671;1.196014889;2.09934031;7.132428524;2.966816723;3.378480837
4;3.031165186;1.439674818;1.579836634;4.733783466;2.4893921;3.022074682;2.755278296;5.496970565;1.460444313;1.454372988;2.437528999;1.996352655;3.99384747;3.691645895;1.866211658;2.842661354;3.559343031;2.204993373;3.852694552;0.712836416;5.450840642;2.82362581;3.803015691;1.957229073;2.845455792;2.686249358;2.779295259;2.407473183;1.874848425;2.142433185;3.924551838;6.373673575;4.821593566;4.143578321;2.382455043;2.274048082;2.540028565;2.196058518;3.256382389;2.087303511;3.337136011;2.90526851;3.69910283;2.399807635;3.235311944;4.287716322;3.568173202;1.739701019;1.531355331;1.801288417;3.004386058;2.776271864;2.733352381;1.487875801;3.498417839;1.478466624;2.023645908;1.948078134;2.121537945;6.41133897;3.152706141;3.500953264;1.391815623;1.964565291;1.522395173;2.686754717;2.863586578
5;2.279785379;2.387639663;1.579836634;1.985588832;3.802536364;4.373083735;3.952504218;1.443855332;3.061745042;2.562927064;2.162025029;1.867245819;4.08519942;2.942770076;2.070258246;2.020720455;2.006899856;2.056346364;2.880382763;3.265155277;4.685404394;3.092229085;2.207550419;3.901881308;1.221117603;1.80385232;2.893276123;1.85621398;3.280473641;3.124690158;1.588602566;3.172678716;1.945647424;2.406195575;1.624675644;0.830620568;2.104047339;2.954869233;1.837346652;3.258771881;2.881865253;2.370547838;2.64895173;1.682028359;2.10423654;1.405761434;2.456536548;1.489043709;1.694167922;2.743166003;2.711655037;2.049787716;2.780689586;1.423191644;1.691615846;3.056815755;3.865286753;2.531663621;2.730791888;1.592097209;2.200118072;3.156069671;1.196014889;2.09934031;7.132428524;2.966816723;3.378480837
6;3.031165186;1.439674818;1.579836634;4.733783466;2.4893921;3.022074682;2.755278296;5.496970565;1.460444313;1.454372988;2.437528999;1.996352655;3.99384747;3.691645895;1.866211658;2.842661354;3.559343031;2.204993373;3.852694552;0.712836416;5.450840642;2.82362581;3.803015691;1.957229073;2.845455792;2.686249358;2.779295259;2.407473183;1.874848425;2.142433185;3.924551838;6.373673575;4.821593566;4.143578321;2.382455043;2.274048082;2.437613784;2.196058518;3.256382389;2.087303511;3.337136011;2.90526851;3.69910283;2.399807635;3.235311944;4.287716322;3.568173202;1.739701019;1.531355331;1.801288417;3.004386058;2.776271864;2.733352381;1.487875801;3.498417839;1.478466624;2.023645908;1.948078134;2.121537945;6.41133897;3.152706141;3.500953264;1.391815623;1.964565291;1.522395173;2.686754717;2.863586578
7;2.279785379;2.387639663;1.579836634;1.985588832;3.802536364;4.373083735;3.952504218;1.443855332;3.061745042;2.562927064;2.162025029;1.867245819;4.08519942;2.942770076;2.070258246;2.020720455;2.006899856;2.056346364;2.880382763;3.265155277;4.20572691;3.092229085;2.207550419;3.901881308;1.221117603;1.80385232;2.893276123;1.85621398;3.280473641;3.124690158;1.588602566;3.172678716;1.945647424;2.406195575;1.624675644;0.830620568;2.104047339;1.561703675;1.837346652;3.258771881;2.881865253;2.370547838;2.64895173;1.682028359;2.10423654;1.405761434;2.456536548;1.489043709;1.694167922;2.743166003;2.711655037;2.049787716;2.780689586;1.423191644;1.691615846;3.056815755;3.865286753;2.531663621;2.730791888;1.592097209;2.200118072;3.156069671;1.196014889;2.09934031;7.132428524;2.966816723;3.378480837
8;3.031165186;1.439674818;1.579836634;2.778220872;2.4893921;3.022074682;2.755278296;5.496970565;1.460444313;1.454372988;2.437528999;1.996352655;3.99384747;3.691645895;1.866211658;2.842661354;3.559343031;2.204993373;3.852694552;0.712836416;5.450840642;2.82362581;3.803015691;1.957229073;2.845455792;2.686249358;2.779295259;2.407473183;1.874848425;2.142433185;3.924551838;6.373673575;4.821593566;4.143578321;2.382455043;2.274048082;2.437613784;2.196058518;3.256382389;2.087303511;3.337136011;2.90526851;3.69910283;2.399807635;3.235311944;4.287716322;3.568173202;1.739701019;1.531355331;1.801288417;3.004386058;2.776271864;2.733352381;1.487875801;3.498417839;1.478466624;2.023645908;1.948078134;2.121537945;6.41133897;3.152706141;3.500953264;1.391815623;1.964565291;1.522395173;2.686754717;2.863586578
9;2.279785379;2.387639663;1.579836634;1.985588832;3.802536364;4.373083735;3.952504218;1.443855332;3.061745042;2.562927064;2.162025029;1.867245819;4.08519942;2.942770076;2.070258246;2.020720455;2.006899856;2.056346364;2.880382763;3.265155277;4.20572691;3.092229085;2.207550419;3.901881308;1.221117603;1.80385232;2.893276123;1.85621398;3.280473641;3.124690158;1.588602566;3.172678716;1.945647424;2.406195575;1.624675644;0.830620568;3.534219308;1.561703675;1.837346652;3.258771881;2.881865253;2.370547838;2.64895173;1.682028359;2.10423654;1.405761434;2.456536548;1.489043709;1.694167922;2.743166003;2.711655037;2.049787716;2.780689586;1.423191644;1.691615846;3.056815755;3.865286753;2.531663621;2.730791888;1.592097209;2.85609432;3.156069671;1.196014889;2.09934031;7.132428524;2.28293914;3.378480837
10;3.031165186;1.439674818;1.579836634;3.43966767;2.4893921;3.022074682;2.755278296;5.496970565;1.460444313;1.454372988;2.437528999;1.996352655;3.99384747;3.691645895;1.866211658;2.842661354;3.559343031;2.204993373;3.852694552;0.712836416;5.450840642;2.82362581;3.803015691;1.957229073;2.845455792;2.686249358;2.779295259;2.407473183;1.874848425;2.142433185;3.924551838;6.373673575;4.821593566;4.143578321;2.382455043;2.274048082;2.437613784;2.196058518;3.256382389;2.087303511;3.337136011;2.90526851;3.955378717;2.399807635;3.235311944;4.287716322;3.568173202;1.739701019;1.531355331;1.801288417;3.004386058;2.776271864;2.733352381;1.487875801;3.498417839;1.478466624;2.023645908;1.948078134;2.121537945;6.41133897;3.152706141;3.500953264;1.391815623;1.964565291;1.522395173;2.686754717;2.863586578
